Agg(open=15.92, high=16, low=15.64, close=15.68, volume=78712, vwap=15.7398, timestamp=1673964000000, transactions=1075, otc=None)
Agg(open=15.67, high=15.82, low=15.665, close=15.715, volume=88791, vwap=15.7427, timestamp=1673967600000, transactions=1579, otc=None)
Agg(open=15.72, high=15.73, low=15.53, close=15.585, volume=129862, vwap=15.5825, timestamp=1673971200000, transactions=1497, otc=None)
Agg(open=15.59, high=15.71, low=15.59, close=15.69, volume=75752, vwap=15.6356, timestamp=1673974800000, transactions=966, otc=None)
Agg(open=15.695, high=15.785, low=15.68, close=15.785, volume=70341, vwap=15.7295, timestamp=1673978400000, transactions=1023, otc=None)
Agg(open=15.78, high=15.79, low=15.69, close=15.7, volume=89317, vwap=15.7306, timestamp=1673982000000, transactions=1240, otc=None)
Agg(open=15.705, high=15.82, low=15.7, close=15.81, volume=299056, vwap=15.773, timestamp=1673985600000, transactions=2831, otc=None)
Agg(open=15.81, high=15.81, low=15.81, close=15.81, volume=35015, vwap=15.81, timestamp=1673989200000, transactions=23, otc=None)
Agg(open=15.87, high=15.94, low=15.82, close=15.835, volume=66718, vwap=15.8751, timestamp=1674050400000, transactions=562, otc=None)
Agg(open=15.825, high=15.99, low=15.74, close=15.78, volume=132363, vwap=15.8773, timestamp=1674054000000, transactions=1391, otc=None)
Agg(open=15.78, high=15.78, low=15.555, close=15.585, volume=71627, vwap=15.6413, timestamp=1674057600000, transactions=1080, otc=None)
Agg(open=15.59, high=15.59, low=15.375, close=15.38, volume=129247, vwap=15.4868, timestamp=1674061200000, transactions=1349, otc=None)
Agg(open=15.38, high=15.59, low=15.375, close=15.55, volume=102398, vwap=15.4836, timestamp=1674064800000, transactions=1502, otc=None)
Agg(open=15.56, high=15.61, low=15.51, close=15.52, volume=117605, vwap=15.5601, timestamp=1674068400000, transactions=1536, otc=None)
Agg(open=15.51, high=15.55, low=15.44, close=15.53, volume=468918, vwap=15.5074, timestamp=1674072000000, transactions=4171, otc=None)
Agg(open=15.53, high=15.53, low=15.53, close=15.53, volume=27367, vwap=15.53, timestamp=1674075600000, transactions=24, otc=None)
Agg(open=15.42, high=15.45, low=15.23, close=15.4, volume=91293, vwap=15.3456, timestamp=1674136800000, transactions=949, otc=None)
Agg(open=15.41, high=15.45, low=15.135, close=15.175, volume=110787, vwap=15.3015, timestamp=1674140400000, transactions=1477, otc=None)
Agg(open=15.185, high=15.23, low=15.14, close=15.16, volume=119039, vwap=15.176, timestamp=1674144000000, transactions=1820, otc=None)
Agg(open=15.17, high=15.31, low=15.17, close=15.255, volume=148893, vwap=15.2451, timestamp=1674147600000, transactions=1815, otc=None)
Agg(open=15.25, high=15.35, low=15.215, close=15.35, volume=302967, vwap=15.2874, timestamp=1674151200000, transactions=1867, otc=None)
Agg(open=15.35, high=15.47, low=15.32, close=15.46, volume=472512, vwap=15.404, timestamp=1674154800000, transactions=2855, otc=None)
Agg(open=15.46, high=15.48, low=15.29, close=15.31, volume=513611, vwap=15.3477, timestamp=1674158400000, transactions=4490, otc=None)
Agg(open=15.32, high=15.32, low=15.32, close=15.32, volume=29510, vwap=15.32, timestamp=1674162000000, transactions=26, otc=None)
Agg(open=15.71, high=15.71, low=15.71, close=15.71, volume=100, vwap=15.71, timestamp=1674165600000, transactions=1, otc=None)
Agg(open=15.4, high=15.44, low=15.11, close=15.285, volume=112538, vwap=15.2395, timestamp=1674223200000, transactions=1207, otc=None)
Agg(open=15.28, high=15.29, low=15.07, close=15.2, volume=404323, vwap=15.1743, timestamp=1674226800000, transactions=3298, otc=None)
Agg(open=15.21, high=15.34, low=15.2, close=15.32, volume=246401, vwap=15.2717, timestamp=1674230400000, transactions=2521, otc=None)
Agg(open=15.32, high=15.35, low=15.18, close=15.225, volume=169239, vwap=15.2514, timestamp=1674234000000, transactions=1799, otc=None)
Agg(open=15.23, high=15.325, low=15.18, close=15.265, volume=136560, vwap=15.2388, timestamp=1674237600000, transactions=1410, otc=None)
Agg(open=15.25, high=15.31, low=15.22, close=15.29, volume=135252, vwap=15.2707, timestamp=1674241200000, transactions=1335, otc=None)
Agg(open=15.3, high=15.37, low=15.27, close=15.37, volume=321231, vwap=15.3333, timestamp=1674244800000, transactions=2875, otc=None)
Agg(open=15.37, high=15.37, low=15.37, close=15.37, volume=28547, vwap=15.37, timestamp=1674248400000, transactions=23, otc=None)
