Agg(open=15.31, high=15.31, low=15.31, close=15.31, volume=229, vwap=15.3292, timestamp=1676980800000, transactions=4, otc=None)
Agg(open=15.29, high=15.36, low=15.14, close=15.14, volume=107665, vwap=15.2902, timestamp=1676988000000, transactions=1209, otc=None)
Agg(open=15.135, high=15.21, low=15.025, close=15.025, volume=181349, vwap=15.1314, timestamp=1676991600000, transactions=1871, otc=None)
Agg(open=15.03, high=15.07, low=14.93, close=14.96, volume=149948, vwap=14.9989, timestamp=1676995200000, transactions=1645, otc=None)
Agg(open=14.955, high=14.975, low=14.84, close=14.9, volume=144795, vwap=14.8982, timestamp=1676998800000, transactions=1437, otc=None)
Agg(open=14.895, high=14.91, low=14.81, close=14.885, volume=121335, vwap=14.8613, timestamp=1677002400000, transactions=1561, otc=None)
Agg(open=14.89, high=14.945, low=14.815, close=14.88, volume=147911, vwap=14.8864, timestamp=1677006000000, transactions=1490, otc=None)
Agg(open=14.885, high=14.96, low=14.85, close=14.93, volume=509929, vwap=14.9311, timestamp=1677009600000, transactions=4201, otc=None)
Agg(open=14.93, high=14.93, low=14.93, close=14.93, volume=40391, vwap=14.93, timestamp=1677013200000, transactions=26, otc=None)
Agg(open=14.9, high=15.09, low=14.9, close=14.95, volume=87617, vwap=14.9984, timestamp=1677074400000, transactions=869, otc=None)
Agg(open=14.95, high=14.96, low=14.84, close=14.875, volume=147008, vwap=14.8819, timestamp=1677078000000, transactions=1479, otc=None)
Agg(open=14.87, high=14.91, low=14.825, close=14.875, volume=128316, vwap=14.8716, timestamp=1677081600000, transactions=1271, otc=None)
Agg(open=14.875, high=14.97, low=14.87, close=14.93, volume=109180, vwap=14.9198, timestamp=1677085200000, transactions=1200, otc=None)
Agg(open=14.92, high=14.97, low=14.88, close=14.89, volume=110885, vwap=14.9311, timestamp=1677088800000, transactions=1337, otc=None)
Agg(open=14.88, high=14.93, low=14.75, close=14.765, volume=181536, vwap=14.839, timestamp=1677092400000, transactions=2169, otc=None)
Agg(open=14.77, high=14.78, low=14.63, close=14.72, volume=451171, vwap=14.7004, timestamp=1677096000000, transactions=3869, otc=None)
Agg(open=14.71, high=14.71, low=14.71, close=14.71, volume=45833, vwap=14.71, timestamp=1677099600000, transactions=36, otc=None)
Agg(open=14.75, high=14.76, low=14.75, close=14.76, volume=1699, vwap=14.7594, timestamp=1677142800000, transactions=5, otc=None)
Agg(open=14.85, high=14.86, low=14.85, close=14.86, volume=795, vwap=14.8587, timestamp=1677153600000, transactions=3, otc=None)
Agg(open=14.86, high=14.86, low=14.86, close=14.86, volume=1605, vwap=14.86, timestamp=1677157200000, transactions=5, otc=None)
Agg(open=14.8, high=14.98, low=14.8, close=14.93, volume=95126, vwap=14.8853, timestamp=1677160800000, transactions=824, otc=None)
Agg(open=14.93, high=14.965, low=14.76, close=14.76, volume=69031, vwap=14.8607, timestamp=1677164400000, transactions=1009, otc=None)
Agg(open=14.76, high=14.82, low=14.6291, close=14.63, volume=64560, vwap=14.7296, timestamp=1677168000000, transactions=944, otc=None)
Agg(open=14.625, high=14.69, low=14.6, close=14.62, volume=80602, vwap=14.6319, timestamp=1677171600000, transactions=1052, otc=None)
Agg(open=14.62, high=14.65, low=14.56, close=14.6, volume=72379, vwap=14.6099, timestamp=1677175200000, transactions=1024, otc=None)
Agg(open=14.59, high=14.72, low=14.5766, close=14.715, volume=64152, vwap=14.6723, timestamp=1677178800000, transactions=996, otc=None)
Agg(open=14.715, high=14.78, low=14.675, close=14.735, volume=241282, vwap=14.7306, timestamp=1677182400000, transactions=2872, otc=None)
Agg(open=14.73, high=14.73, low=14.73, close=14.73, volume=18453, vwap=14.73, timestamp=1677186000000, transactions=21, otc=None)
Agg(open=14.52, high=14.53, low=14.28, close=14.295, volume=107091, vwap=14.3829, timestamp=1677247200000, transactions=879, otc=None)
Agg(open=14.295, high=14.415, low=14.25, close=14.325, volume=222033, vwap=14.3078, timestamp=1677250800000, transactions=1722, otc=None)
Agg(open=14.3291, high=14.43, low=14.3, close=14.39, volume=145561, vwap=14.3668, timestamp=1677254400000, transactions=1439, otc=None)
Agg(open=14.395, high=14.4, low=14.295, close=14.36, volume=194105, vwap=14.3573, timestamp=1677258000000, transactions=1831, otc=None)
Agg(open=14.355, high=14.49, low=14.3309, close=14.47, volume=153949, vwap=14.384, timestamp=1677261600000, transactions=1490, otc=None)
Agg(open=14.47, high=14.52, low=14.455, close=14.52, volume=151689, vwap=14.4867, timestamp=1677265200000, transactions=1495, otc=None)
Agg(open=14.52, high=14.52, low=14.355, close=14.44, volume=411844, vwap=14.415, timestamp=1677268800000, transactions=3454, otc=None)
Agg(open=14.43, high=14.43, low=14.43, close=14.43, volume=16099, vwap=14.43, timestamp=1677272400000, transactions=24, otc=None)
