Agg(open=16, high=16, low=15.34, close=15.59, volume=495779, vwap=15.5405, timestamp=1673272800000, transactions=4184, otc=None)
Agg(open=15.595, high=15.75, low=15.58, close=15.58, volume=383493, vwap=15.6557, timestamp=1673276400000, transactions=5127, otc=None)
Agg(open=15.575, high=15.82, low=15.575, close=15.8, volume=208932, vwap=15.7309, timestamp=1673280000000, transactions=3562, otc=None)
Agg(open=15.81, high=15.92, low=15.805, close=15.82, volume=202207, vwap=15.8506, timestamp=1673283600000, transactions=3473, otc=None)
Agg(open=15.82, high=15.895, low=15.71, close=15.79, volume=405454, vwap=15.8363, timestamp=1673287200000, transactions=3917, otc=None)
Agg(open=15.795, high=15.94, low=15.79, close=15.855, volume=251314, vwap=15.8707, timestamp=1673290800000, transactions=4204, otc=None)
Agg(open=15.855, high=15.98, low=15.77, close=15.82, volume=1117573.0, vwap=15.8758, timestamp=1673294400000, transactions=12003, otc=None)
Agg(open=15.82, high=15.82, low=15.82, close=15.82, volume=69233, vwap=15.82, timestamp=1673298000000, transactions=29, otc=None)
Agg(open=15.86, high=15.88, low=15.86, close=15.88, volume=400, vwap=15.87, timestamp=1673352000000, transactions=2, otc=None)
Agg(open=15.69, high=15.75, low=15.12, close=15.13, volume=756314, vwap=15.2627, timestamp=1673359200000, transactions=6484, otc=None)
Agg(open=15.135, high=15.21, low=14.715, close=14.77, volume=1167505.0, vwap=14.9903, timestamp=1673362800000, transactions=10011, otc=None)
Agg(open=14.77, high=14.96, low=14.6, close=14.955, volume=1719585.0, vwap=14.7625, timestamp=1673366400000, transactions=11825, otc=None)
Agg(open=14.955, high=15.36, low=14.84, close=15.32, volume=894645, vwap=15.0959, timestamp=1673370000000, transactions=7147, otc=None)
Agg(open=15.32, high=15.355, low=15.05, close=15.07, volume=730305, vwap=15.211, timestamp=1673373600000, transactions=5986, otc=None)
Agg(open=15.08, high=15.155, low=14.84, close=14.86, volume=816350, vwap=14.9748, timestamp=1673377200000, transactions=7241, otc=None)
Agg(open=14.86, high=15, low=14.785, close=14.825, volume=2070222.0, vwap=14.8468, timestamp=1673380800000, transactions=15763, otc=None)
Agg(open=14.83, high=14.83, low=14.83, close=14.83, volume=38054, vwap=14.83, timestamp=1673384400000, transactions=31, otc=None)
Agg(open=14.83, high=14.83, low=14.83, close=14.83, volume=307, vwap=14.83, timestamp=1673388000000, transactions=2, otc=None)
Agg(open=14.83, high=14.83, low=14.7, close=14.81, volume=1326, vwap=14.8111, timestamp=1673391600000, transactions=6, otc=None)
Agg(open=14.81, high=14.83, low=14.81, close=14.83, volume=4674, vwap=14.8287, timestamp=1673395200000, transactions=12, otc=None)
Agg(open=14.83, high=14.83, low=14.78, close=14.78, volume=504, vwap=14.8052, timestamp=1673427600000, transactions=8, otc=None)
Agg(open=14.93, high=14.93, low=14.87, close=14.87, volume=6167, vwap=14.91, timestamp=1673438400000, transactions=13, otc=None)
Agg(open=14.92, high=14.98, low=14.88, close=14.98, volume=1587, vwap=14.9013, timestamp=1673442000000, transactions=13, otc=None)
Agg(open=14.86, high=14.93, low=14.61, close=14.87, volume=287949, vwap=14.7851, timestamp=1673445600000, transactions=2962, otc=None)
Agg(open=14.86, high=14.86, low=14.6, close=14.62, volume=532748, vwap=14.6944, timestamp=1673449200000, transactions=5947, otc=None)
Agg(open=14.62, high=15, low=14.62, close=14.955, volume=496740, vwap=14.8373, timestamp=1673452800000, transactions=4622, otc=None)
Agg(open=14.955, high=15.0275, low=14.935, close=14.99, volume=260375, vwap=14.9869, timestamp=1673456400000, transactions=3118, otc=None)
Agg(open=14.991, high=15.01, low=14.8215, close=14.865, volume=282287, vwap=14.905, timestamp=1673460000000, transactions=3482, otc=None)
Agg(open=14.87, high=14.995, low=14.82, close=14.945, volume=225789, vwap=14.9088, timestamp=1673463600000, transactions=3477, otc=None)
Agg(open=14.945, high=15.075, low=14.93, close=15.04, volume=1087277.0, vwap=15.0038, timestamp=1673467200000, transactions=9967, otc=None)
Agg(open=15.05, high=15.25, low=14.97, close=14.97, volume=168006, vwap=15.0501, timestamp=1673470800000, transactions=51, otc=None)
Agg(open=14.95, high=14.95, low=14.95, close=14.95, volume=400, vwap=14.95, timestamp=1673514000000, transactions=3, otc=None)
Agg(open=14.95, high=14.95, low=14.95, close=14.95, volume=182, vwap=14.9521, timestamp=1673521200000, transactions=4, otc=None)
Agg(open=15.05, high=15.05, low=14.94, close=14.94, volume=1500, vwap=15.0133, timestamp=1673528400000, transactions=2, otc=None)
Agg(open=15.2, high=15.29, low=14.73, close=14.8, volume=360581, vwap=15.0207, timestamp=1673532000000, transactions=3388, otc=None)
Agg(open=14.81, high=14.955, low=14.77, close=14.835, volume=640463, vwap=14.849, timestamp=1673535600000, transactions=6083, otc=None)
Agg(open=14.83, high=15.13, low=14.74, close=15.07, volume=480521, vwap=14.9797, timestamp=1673539200000, transactions=4591, otc=None)
Agg(open=15.07, high=15.26, low=15.06, close=15.225, volume=458681, vwap=15.2127, timestamp=1673542800000, transactions=4801, otc=None)
Agg(open=15.23, high=15.35, low=15.19, close=15.31, volume=876356, vwap=15.2923, timestamp=1673546400000, transactions=6584, otc=None)
Agg(open=15.32, high=15.355, low=15.17, close=15.2101, volume=636082, vwap=15.2798, timestamp=1673550000000, transactions=6141, otc=None)
Agg(open=15.22, high=15.225, low=15.05, close=15.06, volume=943189, vwap=15.0993, timestamp=1673553600000, transactions=10549, otc=None)
Agg(open=15.06, high=15.06, low=14.98, close=15, volume=131286, vwap=15.0593, timestamp=1673557200000, transactions=47, otc=None)
Agg(open=15, high=15, low=15, close=15, volume=500, vwap=15, timestamp=1673560800000, transactions=1, otc=None)
Agg(open=15.09, high=15.09, low=15.09, close=15.09, volume=602, vwap=15.0881, timestamp=1673564400000, transactions=3, otc=None)
Agg(open=15.06, high=15.06, low=15.05, close=15.05, volume=856, vwap=15.0576, timestamp=1673568000000, transactions=4, otc=None)
Agg(open=14.95, high=14.95, low=14.9, close=14.9, volume=2469, vwap=14.9083, timestamp=1673611200000, transactions=7, otc=None)
Agg(open=14.9, high=14.9, low=14.9, close=14.9, volume=481, vwap=14.9, timestamp=1673614800000, transactions=2, otc=None)
Agg(open=14.81, high=14.88, low=14.715, close=14.795, volume=355484, vwap=14.7882, timestamp=1673618400000, transactions=3095, otc=None)
Agg(open=14.79, high=14.8689, low=14.69, close=14.725, volume=800372, vwap=14.7549, timestamp=1673622000000, transactions=6257, otc=None)
Agg(open=14.725, high=14.73, low=14.56, close=14.56, volume=527659, vwap=14.6474, timestamp=1673625600000, transactions=4189, otc=None)
Agg(open=14.56, high=14.615, low=14.48, close=14.56, volume=500191, vwap=14.5454, timestamp=1673629200000, transactions=4323, otc=None)
Agg(open=14.56, high=14.64, low=14.53, close=14.61, volume=339273, vwap=14.5925, timestamp=1673632800000, transactions=3424, otc=None)
Agg(open=14.61, high=14.62, low=14.53, close=14.54, volume=269505, vwap=14.579, timestamp=1673636400000, transactions=3026, otc=None)
Agg(open=14.545, high=14.5597, low=14.445, close=14.5, volume=1303376.0, vwap=14.4983, timestamp=1673640000000, transactions=9821, otc=None)
Agg(open=14.49, high=14.5, low=14.49, close=14.5, volume=38196, vwap=14.4901, timestamp=1673643600000, transactions=42, otc=None)
Agg(open=14.5, high=14.5, low=14.5, close=14.5, volume=800, vwap=14.5, timestamp=1673647200000, transactions=4, otc=None)
