Agg(open=6.28, high=6.28, low=6.2, close=6.2, volume=5088, vwap=6.2164, timestamp=1684152000000, transactions=31, otc=None)
Agg(open=6.22, high=6.38, low=6.17, close=6.305, volume=1005727.0, vwap=6.306, timestamp=1684155600000, transactions=5982, otc=None)
Agg(open=6.305, high=6.475, low=6.25, close=6.4699, volume=1695031.0, vwap=6.3651, timestamp=1684159200000, transactions=9979, otc=None)
Agg(open=6.465, high=6.55, low=6.46, close=6.501, volume=1372753.0, vwap=6.5112, timestamp=1684162800000, transactions=7290, otc=None)
Agg(open=6.505, high=6.59, low=6.475, close=6.585, volume=1337221.0, vwap=6.5314, timestamp=1684166400000, transactions=6592, otc=None)
Agg(open=6.585, high=6.64, low=6.53, close=6.605, volume=1674316.0, vwap=6.5987, timestamp=1684170000000, transactions=7199, otc=None)
Agg(open=6.61, high=6.62, low=6.565, close=6.58, volume=1038736.0, vwap=6.5957, timestamp=1684173600000, transactions=6066, otc=None)
Agg(open=6.575, high=6.6, low=6.53, close=6.56, volume=2595747.0, vwap=6.5682, timestamp=1684177200000, transactions=13085, otc=None)
Agg(open=6.57, high=6.58, low=6.57, close=6.58, volume=308251, vwap=6.5702, timestamp=1684180800000, transactions=44, otc=None)
Agg(open=6.57, high=6.89, low=6.57, close=6.76, volume=127539, vwap=6.7562, timestamp=1684184400000, transactions=257, otc=None)
Agg(open=6.79, high=6.79, low=6.75, close=6.76, volume=11406, vwap=6.7651, timestamp=1684188000000, transactions=46, otc=None)
Agg(open=6.8, high=6.84, low=6.76, close=6.83, volume=10694, vwap=6.7952, timestamp=1684191600000, transactions=48, otc=None)
Agg(open=6.77, high=6.77, low=6.77, close=6.77, volume=450, vwap=6.7767, timestamp=1684224000000, transactions=5, otc=None)
Agg(open=6.85, high=6.86, low=6.82, close=6.83, volume=3446, vwap=6.8364, timestamp=1684231200000, transactions=37, otc=None)
Agg(open=6.83, high=7, low=6.82, close=6.99, volume=71413, vwap=6.9515, timestamp=1684234800000, transactions=176, otc=None)
Agg(open=6.8594, high=7.15, low=6.85, close=7, volume=148858, vwap=7.0349, timestamp=1684238400000, transactions=389, otc=None)
Agg(open=7, high=7.08, low=6.57, close=6.65, volume=2495692.0, vwap=6.813, timestamp=1684242000000, transactions=12611, otc=None)
Agg(open=6.65, high=6.715, low=6.57, close=6.69, volume=1705553.0, vwap=6.6599, timestamp=1684245600000, transactions=10667, otc=None)
Agg(open=6.695, high=6.715, low=6.595, close=6.61, volume=1064738.0, vwap=6.6456, timestamp=1684249200000, transactions=6066, otc=None)
Agg(open=6.6089, high=6.64, low=6.57, close=6.625, volume=912181, vwap=6.6047, timestamp=1684252800000, transactions=4542, otc=None)
Agg(open=6.625, high=6.63, low=6.48, close=6.535, volume=1001195.0, vwap=6.5434, timestamp=1684256400000, transactions=5109, otc=None)
Agg(open=6.54, high=6.6, low=6.47, close=6.585, volume=1313776.0, vwap=6.5477, timestamp=1684260000000, transactions=6142, otc=None)
Agg(open=6.585, high=6.585, low=6.475, close=6.485, volume=2158586.0, vwap=6.5294, timestamp=1684263600000, transactions=9427, otc=None)
Agg(open=6.48, high=6.59, low=6.48, close=6.59, volume=72539, vwap=6.4814, timestamp=1684267200000, transactions=32, otc=None)
Agg(open=6.51, high=6.51, low=6.5, close=6.5006, volume=2100, vwap=6.508, timestamp=1684270800000, transactions=6, otc=None)
Agg(open=6.5888, high=6.59, low=6.588, close=6.59, volume=1047, vwap=6.5894, timestamp=1684274400000, transactions=7, otc=None)
Agg(open=6.55, high=6.55, low=6.54, close=6.54, volume=1100, vwap=6.5464, timestamp=1684278000000, transactions=4, otc=None)
Agg(open=6.48, high=6.48, low=6.48, close=6.48, volume=200, vwap=6.48, timestamp=1684317600000, transactions=1, otc=None)
Agg(open=6.6, high=6.6, low=6.6, close=6.6, volume=700, vwap=6.5983, timestamp=1684324800000, transactions=6, otc=None)
Agg(open=6.56, high=6.63, low=6.485, close=6.515, volume=444964, vwap=6.5499, timestamp=1684328400000, transactions=2956, otc=None)
Agg(open=6.51, high=6.9, low=6.495, close=6.8801, volume=1675597.0, vwap=6.7148, timestamp=1684332000000, transactions=8725, otc=None)
Agg(open=6.89, high=6.925, low=6.805, close=6.865, volume=1836188.0, vwap=6.8683, timestamp=1684335600000, transactions=10594, otc=None)
Agg(open=6.865, high=6.97, low=6.7606, close=6.965, volume=1085119.0, vwap=6.8642, timestamp=1684339200000, transactions=7010, otc=None)
Agg(open=6.9694, high=6.98, low=6.9, close=6.925, volume=1096195.0, vwap=6.9372, timestamp=1684342800000, transactions=6661, otc=None)
Agg(open=6.925, high=6.945, low=6.85, close=6.85, volume=785028, vwap=6.8917, timestamp=1684346400000, transactions=4867, otc=None)
Agg(open=6.855, high=6.91, low=6.845, close=6.85, volume=2082947.0, vwap=6.8756, timestamp=1684350000000, transactions=11570, otc=None)
Agg(open=6.86, high=6.86, low=6.77, close=6.77, volume=110661, vwap=6.8557, timestamp=1684353600000, transactions=52, otc=None)
Agg(open=6.81, high=6.81, low=6.79, close=6.79, volume=532, vwap=6.7956, timestamp=1684357200000, transactions=3, otc=None)
Agg(open=6.79, high=6.79, low=6.79, close=6.79, volume=100, vwap=6.79, timestamp=1684360800000, transactions=1, otc=None)
Agg(open=6.8, high=6.84, low=6.8, close=6.84, volume=660, vwap=6.817, timestamp=1684364400000, transactions=6, otc=None)
Agg(open=6.8, high=6.8, low=6.8, close=6.8, volume=100, vwap=6.8, timestamp=1684396800000, transactions=1, otc=None)
