Agg(open=1.55, high=1.59, low=1.54, close=1.59, volume=3834, vwap=1.5505, timestamp=1673254800000, transactions=11, otc=None)
Agg(open=1.58, high=1.59, low=1.58, close=1.58, volume=11759, vwap=1.5809, timestamp=1673258400000, transactions=8, otc=None)
Agg(open=1.58, high=1.58, low=1.56, close=1.56, volume=1839, vwap=1.5778, timestamp=1673262000000, transactions=10, otc=None)
Agg(open=1.55, high=1.56, low=1.53, close=1.54, volume=9730, vwap=1.5449, timestamp=1673265600000, transactions=38, otc=None)
Agg(open=1.53, high=1.56, low=1.52, close=1.53, volume=74237, vwap=1.5437, timestamp=1673269200000, transactions=149, otc=None)
Agg(open=1.53, high=1.56, low=1.46, close=1.535, volume=3361705.0, vwap=1.5111, timestamp=1673272800000, transactions=4203, otc=None)
Agg(open=1.535, high=1.55, low=1.5, close=1.525, volume=5100277.0, vwap=1.5259, timestamp=1673276400000, transactions=5624, otc=None)
Agg(open=1.525, high=1.59, low=1.52, close=1.575, volume=3574003.0, vwap=1.5551, timestamp=1673280000000, transactions=3937, otc=None)
Agg(open=1.575, high=1.58, low=1.55, close=1.565, volume=1809885.0, vwap=1.5668, timestamp=1673283600000, transactions=2888, otc=None)
Agg(open=1.565, high=1.62, low=1.56, close=1.615, volume=3565879.0, vwap=1.5989, timestamp=1673287200000, transactions=3904, otc=None)
Agg(open=1.61, high=1.62, low=1.58, close=1.585, volume=2317466.0, vwap=1.6005, timestamp=1673290800000, transactions=3274, otc=None)
Agg(open=1.585, high=1.59, low=1.55, close=1.55, volume=2869758.0, vwap=1.5642, timestamp=1673294400000, transactions=5212, otc=None)
Agg(open=1.56, high=1.56, low=1.53, close=1.56, volume=6975, vwap=1.5508, timestamp=1673298000000, transactions=10, otc=None)
Agg(open=1.56, high=1.56, low=1.55, close=1.55, volume=1025, vwap=1.5573, timestamp=1673301600000, transactions=8, otc=None)
Agg(open=1.55, high=1.58, low=1.55, close=1.55, volume=61812, vwap=1.5512, timestamp=1673305200000, transactions=21, otc=None)
Agg(open=1.54, high=1.55, low=1.52, close=1.52, volume=11184, vwap=1.5324, timestamp=1673308800000, transactions=31, otc=None)
Agg(open=1.56, high=1.56, low=1.55, close=1.56, volume=1974, vwap=1.5555, timestamp=1673341200000, transactions=12, otc=None)
Agg(open=1.55, high=1.55, low=1.55, close=1.55, volume=10830, vwap=1.55, timestamp=1673344800000, transactions=24, otc=None)
Agg(open=1.55, high=1.55, low=1.55, close=1.55, volume=982, vwap=1.55, timestamp=1673352000000, transactions=9, otc=None)
Agg(open=1.56, high=1.56, low=1.53, close=1.54, volume=26052, vwap=1.5412, timestamp=1673355600000, transactions=81, otc=None)
Agg(open=1.54, high=1.57, low=1.5, close=1.525, volume=1681267.0, vwap=1.5321, timestamp=1673359200000, transactions=2359, otc=None)
Agg(open=1.525, high=1.55, low=1.47, close=1.515, volume=6260227.0, vwap=1.5006, timestamp=1673362800000, transactions=5350, otc=None)
Agg(open=1.5185, high=1.53, low=1.485, close=1.495, volume=2764652.0, vwap=1.5048, timestamp=1673366400000, transactions=3012, otc=None)
Agg(open=1.495, high=1.51, low=1.485, close=1.5, volume=1841133.0, vwap=1.4987, timestamp=1673370000000, transactions=3137, otc=None)
Agg(open=1.505, high=1.51, low=1.49, close=1.505, volume=1950661.0, vwap=1.4989, timestamp=1673373600000, transactions=3137, otc=None)
Agg(open=1.505, high=1.54, low=1.5, close=1.54, volume=2488363.0, vwap=1.5211, timestamp=1673377200000, transactions=3252, otc=None)
Agg(open=1.54, high=1.54, low=1.53, close=1.535, volume=2620030.0, vwap=1.536, timestamp=1673380800000, transactions=7251, otc=None)
Agg(open=1.54, high=1.54, low=1.53, close=1.53, volume=46105, vwap=1.5376, timestamp=1673384400000, transactions=48, otc=None)
Agg(open=1.54, high=1.54, low=1.5393, close=1.54, volume=4027, vwap=1.54, timestamp=1673388000000, transactions=10, otc=None)
Agg(open=1.54, high=1.54, low=1.52, close=1.52, volume=3401, vwap=1.5296, timestamp=1673391600000, transactions=17, otc=None)
Agg(open=1.52, high=1.54, low=1.52, close=1.53, volume=16908, vwap=1.5281, timestamp=1673395200000, transactions=28, otc=None)
Agg(open=1.54, high=1.54, low=1.54, close=1.54, volume=653, vwap=1.54, timestamp=1673427600000, transactions=7, otc=None)
Agg(open=1.55, high=1.55, low=1.54, close=1.54, volume=6990, vwap=1.5494, timestamp=1673431200000, transactions=10, otc=None)
Agg(open=1.54, high=1.54, low=1.54, close=1.54, volume=121, vwap=1.5399, timestamp=1673434800000, transactions=3, otc=None)
Agg(open=1.55, high=1.59, low=1.52, close=1.55, volume=103981, vwap=1.5558, timestamp=1673438400000, transactions=212, otc=None)
Agg(open=1.55, high=1.59, low=1.53, close=1.57, volume=249290, vwap=1.5581, timestamp=1673442000000, transactions=383, otc=None)
Agg(open=1.57, high=1.62, low=1.53, close=1.6044, volume=3922293.0, vwap=1.583, timestamp=1673445600000, transactions=4265, otc=None)
Agg(open=1.6025, high=1.66, low=1.59, close=1.6016, volume=5439715.0, vwap=1.6297, timestamp=1673449200000, transactions=5743, otc=None)
Agg(open=1.605, high=1.65, low=1.6, close=1.6434, volume=1822069.0, vwap=1.6252, timestamp=1673452800000, transactions=2751, otc=None)
Agg(open=1.645, high=1.67, low=1.64, close=1.655, volume=3174606.0, vwap=1.651, timestamp=1673456400000, transactions=3293, otc=None)
Agg(open=1.655, high=1.7, low=1.65, close=1.7, volume=3010605.0, vwap=1.6709, timestamp=1673460000000, transactions=3110, otc=None)
Agg(open=1.6901, high=1.7, low=1.66, close=1.675, volume=2689895.0, vwap=1.6807, timestamp=1673463600000, transactions=3198, otc=None)
Agg(open=1.68, high=1.71, low=1.67, close=1.71, volume=6630320.0, vwap=1.6978, timestamp=1673467200000, transactions=8857, otc=None)
Agg(open=1.71, high=1.73, low=1.69, close=1.72, volume=104124, vwap=1.7159, timestamp=1673470800000, transactions=137, otc=None)
Agg(open=1.71, high=1.72, low=1.7, close=1.71, volume=19874, vwap=1.7096, timestamp=1673474400000, transactions=29, otc=None)
Agg(open=1.71, high=1.71, low=1.67, close=1.71, volume=8032, vwap=1.6912, timestamp=1673478000000, transactions=30, otc=None)
Agg(open=1.71, high=1.72, low=1.71, close=1.71, volume=14133, vwap=1.7165, timestamp=1673481600000, transactions=22, otc=None)
Agg(open=1.7, high=1.72, low=1.7, close=1.71, volume=13083, vwap=1.7112, timestamp=1673514000000, transactions=16, otc=None)
Agg(open=1.71, high=1.72, low=1.7, close=1.71, volume=2170, vwap=1.7089, timestamp=1673517600000, transactions=11, otc=None)
Agg(open=1.71, high=1.71, low=1.71, close=1.71, volume=2925, vwap=1.71, timestamp=1673521200000, transactions=9, otc=None)
Agg(open=1.7, high=1.71, low=1.67, close=1.69, volume=9037, vwap=1.6968, timestamp=1673524800000, transactions=54, otc=None)
Agg(open=1.71, high=1.73, low=1.66, close=1.72, volume=198569, vwap=1.695, timestamp=1673528400000, transactions=279, otc=None)
Agg(open=1.73, high=1.74, low=1.63, close=1.655, volume=4005758.0, vwap=1.6735, timestamp=1673532000000, transactions=4766, otc=None)
Agg(open=1.655, high=1.73, low=1.65, close=1.675, volume=4321932.0, vwap=1.7005, timestamp=1673535600000, transactions=5410, otc=None)
Agg(open=1.675, high=1.73, low=1.66, close=1.73, volume=2944263.0, vwap=1.6907, timestamp=1673539200000, transactions=3116, otc=None)
Agg(open=1.7255, high=1.78, low=1.72, close=1.7721, volume=2277728.0, vwap=1.7521, timestamp=1673542800000, transactions=3158, otc=None)
Agg(open=1.775, high=1.8, low=1.75, close=1.7921, volume=2840605.0, vwap=1.779, timestamp=1673546400000, transactions=3834, otc=None)
Agg(open=1.795, high=1.83, low=1.79, close=1.815, volume=2842389.0, vwap=1.8123, timestamp=1673550000000, transactions=3706, otc=None)
Agg(open=1.815, high=1.86, low=1.81, close=1.85, volume=7322943.0, vwap=1.834, timestamp=1673553600000, transactions=6932, otc=None)
Agg(open=1.83, high=1.86, low=1.83, close=1.84, volume=96842, vwap=1.8521, timestamp=1673557200000, transactions=106, otc=None)
Agg(open=1.85, high=1.86, low=1.84, close=1.86, volume=29107, vwap=1.8489, timestamp=1673560800000, transactions=37, otc=None)
Agg(open=1.85, high=1.86, low=1.76, close=1.8, volume=67811, vwap=1.8192, timestamp=1673564400000, transactions=61, otc=None)
Agg(open=1.8, high=1.83, low=1.78, close=1.8, volume=15314, vwap=1.8014, timestamp=1673568000000, transactions=39, otc=None)
Agg(open=1.76, high=1.84, low=1.76, close=1.83, volume=1792, vwap=1.8281, timestamp=1673600400000, transactions=12, otc=None)
Agg(open=1.83, high=1.83, low=1.8, close=1.8, volume=1383, vwap=1.8141, timestamp=1673604000000, transactions=7, otc=None)
Agg(open=1.8, high=1.83, low=1.8, close=1.81, volume=9004, vwap=1.8037, timestamp=1673607600000, transactions=16, otc=None)
Agg(open=1.82, high=1.84, low=1.8, close=1.81, volume=28780, vwap=1.8236, timestamp=1673611200000, transactions=46, otc=None)
Agg(open=1.83, high=1.84, low=1.78, close=1.79, volume=119841, vwap=1.7926, timestamp=1673614800000, transactions=223, otc=None)
Agg(open=1.8, high=1.83, low=1.71, close=1.775, volume=4366254.0, vwap=1.7586, timestamp=1673618400000, transactions=4811, otc=None)
Agg(open=1.77, high=1.85, low=1.77, close=1.845, volume=3469175.0, vwap=1.8103, timestamp=1673622000000, transactions=3843, otc=None)
Agg(open=1.85, high=1.87, low=1.83, close=1.8435, volume=2964719.0, vwap=1.8447, timestamp=1673625600000, transactions=3511, otc=None)
Agg(open=1.85, high=1.9, low=1.845, close=1.885, volume=1367397.0, vwap=1.8796, timestamp=1673629200000, transactions=2033, otc=None)
Agg(open=1.88, high=1.89, low=1.84, close=1.855, volume=1914779.0, vwap=1.866, timestamp=1673632800000, transactions=2168, otc=None)
Agg(open=1.86, high=1.86, low=1.84, close=1.845, volume=827415, vwap=1.8469, timestamp=1673636400000, transactions=1303, otc=None)
Agg(open=1.85, high=1.89, low=1.84, close=1.865, volume=2958849.0, vwap=1.865, timestamp=1673640000000, transactions=4385, otc=None)
Agg(open=1.86, high=1.86, low=1.83, close=1.8501, volume=35628, vwap=1.8526, timestamp=1673643600000, transactions=55, otc=None)
Agg(open=1.85, high=1.86, low=1.85, close=1.85, volume=10411, vwap=1.8564, timestamp=1673647200000, transactions=14, otc=None)
Agg(open=1.86, high=1.86, low=1.83, close=1.85, volume=3965, vwap=1.8497, timestamp=1673650800000, transactions=9, otc=None)
Agg(open=1.85, high=1.85, low=1.8301, close=1.84, volume=9418, vwap=1.8418, timestamp=1673654400000, transactions=11, otc=None)
