Agg(open=13.18, high=13.35, low=13.18, close=13.35, volume=2522, vwap=13.2946, timestamp=1673953200000, transactions=13, otc=None)
Agg(open=13.36, high=13.47, low=13.36, close=13.47, volume=200, vwap=13.415, timestamp=1673956800000, transactions=2, otc=None)
Agg(open=13.48, high=13.49, low=13.47, close=13.49, volume=1072, vwap=13.4787, timestamp=1673960400000, transactions=4, otc=None)
Agg(open=13.48, high=13.75, low=13.39, close=13.64, volume=260363, vwap=13.5095, timestamp=1673964000000, transactions=1695, otc=None)
Agg(open=13.65, high=13.75, low=13.52, close=13.62, volume=296258, vwap=13.6521, timestamp=1673967600000, transactions=2750, otc=None)
Agg(open=13.62, high=13.62, low=13.52, close=13.535, volume=177479, vwap=13.5618, timestamp=1673971200000, transactions=1726, otc=None)
Agg(open=13.535, high=13.65, low=13.52, close=13.6425, volume=227031, vwap=13.5834, timestamp=1673974800000, transactions=2018, otc=None)
Agg(open=13.65, high=13.69, low=13.64, close=13.66, volume=129776, vwap=13.6662, timestamp=1673978400000, transactions=1598, otc=None)
Agg(open=13.665, high=13.69, low=13.62, close=13.64, volume=240761, vwap=13.6536, timestamp=1673982000000, transactions=2508, otc=None)
Agg(open=13.645, high=13.695, low=13.57, close=13.62, volume=827601, vwap=13.6418, timestamp=1673985600000, transactions=4799, otc=None)
Agg(open=13.62, high=13.62, low=13.62, close=13.62, volume=25530, vwap=13.62, timestamp=1673989200000, transactions=20, otc=None)
Agg(open=13.62, high=13.62, low=13.62, close=13.62, volume=12982, vwap=13.62, timestamp=1673996400000, transactions=1, otc=None)
Agg(open=13.7, high=13.8, low=13.66, close=13.755, volume=81684, vwap=13.7416, timestamp=1674050400000, transactions=789, otc=None)
Agg(open=13.76, high=13.805, low=13.73, close=13.75, volume=171214, vwap=13.7685, timestamp=1674054000000, transactions=1939, otc=None)
Agg(open=13.745, high=13.75, low=13.61, close=13.63, volume=129128, vwap=13.6892, timestamp=1674057600000, transactions=1688, otc=None)
Agg(open=13.63, high=13.65, low=13.58, close=13.6, volume=108615, vwap=13.616, timestamp=1674061200000, transactions=1575, otc=None)
Agg(open=13.595, high=13.68, low=13.555, close=13.63, volume=127004, vwap=13.6108, timestamp=1674064800000, transactions=1787, otc=None)
Agg(open=13.63, high=13.65, low=13.57, close=13.575, volume=141511, vwap=13.611, timestamp=1674068400000, transactions=2078, otc=None)
Agg(open=13.575, high=13.645, low=13.565, close=13.6, volume=545396, vwap=13.6139, timestamp=1674072000000, transactions=5983, otc=None)
Agg(open=13.59, high=13.59, low=13.59, close=13.59, volume=24925, vwap=13.59, timestamp=1674075600000, transactions=21, otc=None)
Agg(open=13.59, high=13.59, low=13.59, close=13.59, volume=719, vwap=13.59, timestamp=1674079200000, transactions=1, otc=None)
Agg(open=13.51, high=13.665, low=13.51, close=13.64, volume=106931, vwap=13.5964, timestamp=1674136800000, transactions=972, otc=None)
Agg(open=13.63, high=13.63, low=13.5, close=13.51, volume=291785, vwap=13.5823, timestamp=1674140400000, transactions=2368, otc=None)
Agg(open=13.515, high=13.61, low=13.5, close=13.6, volume=275708, vwap=13.5566, timestamp=1674144000000, transactions=2698, otc=None)
Agg(open=13.605, high=13.635, low=13.54, close=13.58, volume=198052, vwap=13.5781, timestamp=1674147600000, transactions=2409, otc=None)
Agg(open=13.58, high=13.63, low=13.56, close=13.605, volume=166047, vwap=13.5974, timestamp=1674151200000, transactions=2220, otc=None)
Agg(open=13.6, high=13.75, low=13.6, close=13.745, volume=250654, vwap=13.6884, timestamp=1674154800000, transactions=2001, otc=None)
Agg(open=13.745, high=13.87, low=13.74, close=13.76, volume=732173, vwap=13.79, timestamp=1674158400000, transactions=6391, otc=None)
Agg(open=13.76, high=13.76, low=13.76, close=13.76, volume=32614, vwap=13.76, timestamp=1674162000000, transactions=16, otc=None)
Agg(open=13.8, high=13.85, low=13.685, close=13.82, volume=71782, vwap=13.7839, timestamp=1674223200000, transactions=804, otc=None)
Agg(open=13.825, high=13.92, low=13.815, close=13.86, volume=204583, vwap=13.8635, timestamp=1674226800000, transactions=1655, otc=None)
Agg(open=13.85, high=13.875, low=13.8, close=13.815, volume=91570, vwap=13.8471, timestamp=1674230400000, transactions=1455, otc=None)
Agg(open=13.82, high=13.82, low=13.74, close=13.745, volume=96112, vwap=13.7943, timestamp=1674234000000, transactions=1309, otc=None)
Agg(open=13.75, high=13.7675, low=13.7, close=13.76, volume=111911, vwap=13.7362, timestamp=1674237600000, transactions=1358, otc=None)
Agg(open=13.7675, high=13.87, low=13.75, close=13.83, volume=186069, vwap=13.8126, timestamp=1674241200000, transactions=1779, otc=None)
Agg(open=13.84, high=14.02, low=13.82, close=13.97, volume=607153, vwap=13.9489, timestamp=1674244800000, transactions=5027, otc=None)
Agg(open=13.98, high=13.98, low=13.98, close=13.98, volume=25908, vwap=13.98, timestamp=1674248400000, transactions=18, otc=None)
Agg(open=13.98, high=13.98, low=13.98, close=13.98, volume=4839, vwap=13.98, timestamp=1674255600000, transactions=1, otc=None)
