Agg(open=9.98, high=10.01, low=9.93, close=10, volume=71471, vwap=9.9781, timestamp=1684760400000, transactions=713, otc=None)
Agg(open=10.005, high=10.06, low=9.96, close=10.055, volume=208465, vwap=10.0163, timestamp=1684764000000, transactions=1899, otc=None)
Agg(open=10.055, high=10.175, low=10.055, close=10.175, volume=212532, vwap=10.1115, timestamp=1684767600000, transactions=1846, otc=None)
Agg(open=10.175, high=10.215, low=10.155, close=10.185, volume=197691, vwap=10.1845, timestamp=1684771200000, transactions=1852, otc=None)
Agg(open=10.185, high=10.21, low=10.14, close=10.21, volume=188185, vwap=10.1725, timestamp=1684774800000, transactions=1950, otc=None)
Agg(open=10.2, high=10.27, low=10.18, close=10.255, volume=181758, vwap=10.2236, timestamp=1684778400000, transactions=2207, otc=None)
Agg(open=10.255, high=10.285, low=10.19, close=10.22, volume=724072, vwap=10.2327, timestamp=1684782000000, transactions=6583, otc=None)
Agg(open=10.22, high=10.22, low=10.22, close=10.22, volume=15340, vwap=10.22, timestamp=1684785600000, transactions=9, otc=None)
Agg(open=10.22, high=10.22, low=10.22, close=10.22, volume=1657548.0, vwap=10.22, timestamp=1684843200000, transactions=1, otc=None)
Agg(open=10.22, high=10.435, low=10.13, close=10.385, volume=109417, vwap=10.2979, timestamp=1684846800000, transactions=1050, otc=None)
Agg(open=10.39, high=10.485, low=10.39, close=10.485, volume=373669, vwap=10.4498, timestamp=1684850400000, transactions=2452, otc=None)
Agg(open=10.49, high=10.495, low=10.44, close=10.45, volume=168433, vwap=10.4606, timestamp=1684854000000, transactions=1329, otc=None)
Agg(open=10.455, high=10.455, low=10.19, close=10.215, volume=183382, vwap=10.3161, timestamp=1684857600000, transactions=1828, otc=None)
Agg(open=10.2134, high=10.24, low=10.155, close=10.205, volume=117872, vwap=10.2049, timestamp=1684861200000, transactions=1232, otc=None)
Agg(open=10.205, high=10.22, low=10.15, close=10.175, volume=286195, vwap=10.1789, timestamp=1684864800000, transactions=2352, otc=None)
Agg(open=10.175, high=10.2, low=10.12, close=10.14, volume=868960, vwap=10.1508, timestamp=1684868400000, transactions=6279, otc=None)
Agg(open=10.14, high=10.14, low=10.14, close=10.14, volume=11820, vwap=10.14, timestamp=1684872000000, transactions=20, otc=None)
Agg(open=10.1, high=10.1, low=9.86, close=9.87, volume=131486, vwap=9.9309, timestamp=1684933200000, transactions=1158, otc=None)
Agg(open=9.87, high=9.895, low=9.81, close=9.83, volume=123510, vwap=9.8608, timestamp=1684936800000, transactions=1503, otc=None)
Agg(open=9.835, high=9.85, low=9.76, close=9.815, volume=313651, vwap=9.8103, timestamp=1684940400000, transactions=2182, otc=None)
Agg(open=9.815, high=9.855, low=9.79, close=9.83, volume=192820, vwap=9.8215, timestamp=1684944000000, transactions=1601, otc=None)
Agg(open=9.835, high=9.89, low=9.815, close=9.865, volume=119272, vwap=9.8452, timestamp=1684947600000, transactions=1388, otc=None)
Agg(open=9.87, high=9.88, low=9.8, close=9.81, volume=134848, vwap=9.8432, timestamp=1684951200000, transactions=1384, otc=None)
Agg(open=9.815, high=9.87, low=9.79, close=9.81, volume=549924, vwap=9.8181, timestamp=1684954800000, transactions=4594, otc=None)
Agg(open=9.81, high=9.81, low=9.81, close=9.81, volume=154791, vwap=9.81, timestamp=1684958400000, transactions=24, otc=None)
Agg(open=9.89, high=9.9, low=9.72, close=9.785, volume=77085, vwap=9.778, timestamp=1685019600000, transactions=536, otc=None)
Agg(open=9.79, high=9.805, low=9.71, close=9.74, volume=135034, vwap=9.7566, timestamp=1685023200000, transactions=1489, otc=None)
Agg(open=9.735, high=9.74, low=9.655, close=9.7, volume=130551, vwap=9.6955, timestamp=1685026800000, transactions=1413, otc=None)
Agg(open=9.71, high=9.72, low=9.62, close=9.6399, volume=112600, vwap=9.6691, timestamp=1685030400000, transactions=1170, otc=None)
Agg(open=9.63, high=9.7, low=9.63, close=9.7, volume=138302, vwap=9.671, timestamp=1685034000000, transactions=1459, otc=None)
Agg(open=9.7, high=9.73, low=9.68, close=9.69, volume=204285, vwap=9.7027, timestamp=1685037600000, transactions=1761, otc=None)
Agg(open=9.69, high=9.72, low=9.68, close=9.71, volume=507898, vwap=9.7006, timestamp=1685041200000, transactions=5025, otc=None)
Agg(open=9.72, high=9.72, low=9.72, close=9.72, volume=22471, vwap=9.72, timestamp=1685044800000, transactions=18, otc=None)
Agg(open=9.6, high=9.76, low=9.58, close=9.68, volume=49752, vwap=9.6834, timestamp=1685106000000, transactions=414, otc=None)
Agg(open=9.67, high=9.78, low=9.67, close=9.755, volume=154973, vwap=9.7502, timestamp=1685109600000, transactions=1824, otc=None)
Agg(open=9.755, high=9.76, low=9.71, close=9.725, volume=153077, vwap=9.7334, timestamp=1685113200000, transactions=1987, otc=None)
Agg(open=9.72, high=9.85, low=9.72, close=9.795, volume=245166, vwap=9.8072, timestamp=1685116800000, transactions=2394, otc=None)
Agg(open=9.795, high=9.805, low=9.72, close=9.72, volume=135607, vwap=9.7712, timestamp=1685120400000, transactions=1773, otc=None)
Agg(open=9.725, high=9.725, low=9.625, close=9.635, volume=267559, vwap=9.668, timestamp=1685124000000, transactions=2605, otc=None)
Agg(open=9.635, high=9.72, low=9.63, close=9.7, volume=600266, vwap=9.6889, timestamp=1685127600000, transactions=5207, otc=None)
Agg(open=9.71, high=9.71, low=9.71, close=9.71, volume=13529, vwap=9.71, timestamp=1685131200000, transactions=14, otc=None)
