Agg(open=12.25, high=12.295, low=12.18, close=12.27, volume=15992, vwap=12.2529, timestamp=1676296800000, transactions=440, otc=None)
Agg(open=12.27, high=12.325, low=12.235, close=12.315, volume=31793, vwap=12.2682, timestamp=1676300400000, transactions=823, otc=None)
Agg(open=12.31, high=12.4, low=12.31, close=12.395, volume=33484, vwap=12.3754, timestamp=1676304000000, transactions=658, otc=None)
Agg(open=12.3976, high=12.585, low=12.38, close=12.48, volume=233008, vwap=12.4569, timestamp=1676307600000, transactions=1468, otc=None)
Agg(open=12.48, high=12.58, low=12.46, close=12.58, volume=37579, vwap=12.5381, timestamp=1676311200000, transactions=815, otc=None)
Agg(open=12.58, high=12.585, low=12.52, close=12.52, volume=54799, vwap=12.5488, timestamp=1676314800000, transactions=970, otc=None)
Agg(open=12.52, high=12.59, low=12.51, close=12.57, volume=177743, vwap=12.5527, timestamp=1676318400000, transactions=2439, otc=None)
Agg(open=12.55, high=12.551506, low=12.55, close=12.551506, volume=17773, vwap=12.55, timestamp=1676322000000, transactions=13, otc=None)
Agg(open=12.6, high=12.6, low=12.6, close=12.6, volume=107, vwap=12.6, timestamp=1676379600000, transactions=2, otc=None)
Agg(open=12.43, high=12.43, low=12.1795, close=12.4094, volume=34740, vwap=12.2923, timestamp=1676383200000, transactions=687, otc=None)
Agg(open=12.42, high=12.455, low=12.18, close=12.2, volume=51339, vwap=12.3174, timestamp=1676386800000, transactions=1141, otc=None)
Agg(open=12.195, high=12.24, low=12.13, close=12.1687, volume=70676, vwap=12.1819, timestamp=1676390400000, transactions=1302, otc=None)
Agg(open=12.16, high=12.19, low=12.135, close=12.18, volume=62429, vwap=12.1617, timestamp=1676394000000, transactions=1015, otc=None)
Agg(open=12.18, high=12.32, low=12.18, close=12.2575, volume=77783, vwap=12.2639, timestamp=1676397600000, transactions=1304, otc=None)
Agg(open=12.255, high=12.29, low=12.2, close=12.235, volume=191720, vwap=12.2379, timestamp=1676401200000, transactions=1994, otc=None)
Agg(open=12.235, high=12.29, low=12.195, close=12.23, volume=423960, vwap=12.2567, timestamp=1676404800000, transactions=3270, otc=None)
Agg(open=12.24, high=12.41, low=12.24, close=12.41, volume=11800, vwap=12.2436, timestamp=1676408400000, transactions=17, otc=None)
Agg(open=12.41, high=12.41, low=12.41, close=12.41, volume=210, vwap=12.41, timestamp=1676412000000, transactions=1, otc=None)
Agg(open=12.42, high=12.42, low=12.14, close=12.14, volume=2100, vwap=12.2067, timestamp=1676419200000, transactions=3, otc=None)
Agg(open=12.05, high=12.05, low=12.05, close=12.05, volume=200, vwap=12.05, timestamp=1676451600000, transactions=1, otc=None)
Agg(open=12.23, high=12.24, low=12.23, close=12.24, volume=712, vwap=12.2337, timestamp=1676458800000, transactions=5, otc=None)
Agg(open=12.41, high=12.42, low=12.41, close=12.42, volume=582, vwap=12.4148, timestamp=1676462400000, transactions=5, otc=None)
Agg(open=12.9855, high=13, low=12.42, close=12.75, volume=24932, vwap=12.6946, timestamp=1676466000000, transactions=42, otc=None)
Agg(open=12.89, high=13.25, low=12.51, close=13.03, volume=214341, vwap=12.9662, timestamp=1676469600000, transactions=2135, otc=None)
Agg(open=13.03, high=13.04, low=12.73, close=12.84, volume=285149, vwap=12.9009, timestamp=1676473200000, transactions=2834, otc=None)
Agg(open=12.84, high=13.005, low=12.815, close=12.82, volume=216423, vwap=12.9384, timestamp=1676476800000, transactions=2219, otc=None)
Agg(open=12.82, high=12.99, low=12.79, close=12.99, volume=145956, vwap=12.9106, timestamp=1676480400000, transactions=1827, otc=None)
Agg(open=12.995, high=13.005, low=12.92, close=12.975, volume=121248, vwap=12.9585, timestamp=1676484000000, transactions=1394, otc=None)
Agg(open=12.975, high=13.055, low=12.925, close=13.013, volume=151438, vwap=12.9962, timestamp=1676487600000, transactions=1738, otc=None)
Agg(open=13.015, high=13.1, low=13.015, close=13.07, volume=433728, vwap=13.0491, timestamp=1676491200000, transactions=4009, otc=None)
Agg(open=13.07, high=13.18, low=13, close=13, volume=12842, vwap=13.0719, timestamp=1676494800000, transactions=25, otc=None)
Agg(open=13.05, high=13.05, low=13.05, close=13.05, volume=305, vwap=13.05, timestamp=1676505600000, transactions=3, otc=None)
Agg(open=12.95, high=12.95, low=12.95, close=12.95, volume=500, vwap=12.95, timestamp=1676548800000, transactions=3, otc=None)
Agg(open=12.93, high=13.06, low=12.87, close=12.96, volume=1352, vwap=12.9519, timestamp=1676552400000, transactions=7, otc=None)
Agg(open=13, high=13.64, low=12.97, close=13.33, volume=174047, vwap=13.3462, timestamp=1676556000000, transactions=2038, otc=None)
Agg(open=13.31, high=13.4151, low=13.23, close=13.405, volume=183117, vwap=13.336, timestamp=1676559600000, transactions=1989, otc=None)
Agg(open=13.405, high=13.485, low=13.3047, close=13.32, volume=90938, vwap=13.3906, timestamp=1676563200000, transactions=1480, otc=None)
Agg(open=13.31, high=13.39, low=13.3, close=13.355, volume=58045, vwap=13.3498, timestamp=1676566800000, transactions=1136, otc=None)
