Agg(open=13.77, high=13.96, low=13.745, close=13.94, volume=203126, vwap=13.8538, timestamp=1688389200000, transactions=1357, otc=None)
Agg(open=13.94, high=14.03, low=13.91, close=13.96, volume=214035, vwap=13.974, timestamp=1688392800000, transactions=2154, otc=None)
Agg(open=13.955, high=14.035, low=13.955, close=13.98, volume=219789, vwap=13.9969, timestamp=1688396400000, transactions=1969, otc=None)
Agg(open=13.985, high=13.985, low=13.87, close=13.92, volume=264355, vwap=13.9202, timestamp=1688400000000, transactions=2562, otc=None)
Agg(open=13.99, high=13.99, low=13.99, close=13.99, volume=200, vwap=13.99, timestamp=1688410800000, transactions=2, otc=None)
Agg(open=14.34, high=14.34, low=14.34, close=14.34, volume=100, vwap=14.34, timestamp=1688558400000, transactions=1, otc=None)
Agg(open=13.9, high=13.915, low=13.75, close=13.88, volume=101531, vwap=13.8233, timestamp=1688562000000, transactions=1141, otc=None)
Agg(open=13.89, high=14.155, low=13.89, close=14.07, volume=564521, vwap=14.0037, timestamp=1688565600000, transactions=2870, otc=None)
Agg(open=14.07, high=14.23, low=14.065, close=14.19, volume=270477, vwap=14.1807, timestamp=1688569200000, transactions=2122, otc=None)
Agg(open=14.2, high=14.21, low=14.135, close=14.1695, volume=218093, vwap=14.1779, timestamp=1688572800000, transactions=1964, otc=None)
Agg(open=14.16, high=14.23, low=14.13, close=14.23, volume=194636, vwap=14.1827, timestamp=1688576400000, transactions=1862, otc=None)
Agg(open=14.225, high=14.27, low=14.1626, close=14.25, volume=333458, vwap=14.221, timestamp=1688580000000, transactions=2918, otc=None)
Agg(open=14.245, high=14.255, low=14.13, close=14.14, volume=614140, vwap=14.1779, timestamp=1688583600000, transactions=5168, otc=None)
Agg(open=14.35, high=14.35, low=14.35, close=14.35, volume=200, vwap=14.3423, timestamp=1688598000000, transactions=4, otc=None)
Agg(open=13.92, high=13.92, low=13.69, close=13.84, volume=164687, vwap=13.8084, timestamp=1688648400000, transactions=1295, otc=None)
Agg(open=13.83, high=13.86, low=13.78, close=13.8198, volume=134021, vwap=13.8217, timestamp=1688652000000, transactions=1587, otc=None)
Agg(open=13.81, high=13.91, low=13.78, close=13.9, volume=143872, vwap=13.8481, timestamp=1688655600000, transactions=1592, otc=None)
Agg(open=13.91, high=13.955, low=13.9, close=13.955, volume=75696, vwap=13.9293, timestamp=1688659200000, transactions=1074, otc=None)
Agg(open=13.95, high=14.0091, low=13.925, close=13.995, volume=84596, vwap=13.9676, timestamp=1688662800000, transactions=1040, otc=None)
Agg(open=13.995, high=14.026, low=13.97, close=14.015, volume=118698, vwap=13.9984, timestamp=1688666400000, transactions=1289, otc=None)
Agg(open=14.015, high=14.03, low=13.97, close=14, volume=340032, vwap=14.0008, timestamp=1688670000000, transactions=3493, otc=None)
Agg(open=14.01, high=14.01, low=14.01, close=14.01, volume=20121, vwap=14.01, timestamp=1688673600000, transactions=15, otc=None)
Agg(open=13.91, high=14, low=13.91, close=13.985, volume=53995, vwap=13.9543, timestamp=1688734800000, transactions=689, otc=None)
Agg(open=13.99, high=14.08, low=13.96, close=14.06, volume=102083, vwap=14.036, timestamp=1688738400000, transactions=1271, otc=None)
Agg(open=14.0594, high=14.09, low=13.99, close=14.0031, volume=110771, vwap=14.0549, timestamp=1688742000000, transactions=1409, otc=None)
Agg(open=14, high=14.1, low=14, close=14.085, volume=83985, vwap=14.044, timestamp=1688745600000, transactions=1117, otc=None)
Agg(open=14.09, high=14.1, low=14.02, close=14.03, volume=110136, vwap=14.067, timestamp=1688749200000, transactions=1314, otc=None)
Agg(open=14.03, high=14.03, low=13.97, close=13.98, volume=67520, vwap=14.0027, timestamp=1688752800000, transactions=1072, otc=None)
Agg(open=13.98, high=13.99, low=13.87, close=13.88, volume=311343, vwap=13.9225, timestamp=1688756400000, transactions=3529, otc=None)
Agg(open=13.88, high=13.88, low=13.88, close=13.88, volume=12902, vwap=13.88, timestamp=1688760000000, transactions=6, otc=None)
