Agg(open=19.08, high=19.28, low=18.87, close=18.895, volume=31174, vwap=19.0496, timestamp=1698670800000, transactions=360, otc=None)
Agg(open=18.895, high=18.95, low=18.59, close=18.6001, volume=65165, vwap=18.78, timestamp=1698674400000, transactions=1433, otc=None)
Agg(open=18.62, high=18.68, low=18.6, close=18.635, volume=47110, vwap=18.6203, timestamp=1698678000000, transactions=1436, otc=None)
Agg(open=18.62, high=18.64, low=18.4, close=18.425, volume=155000, vwap=18.4881, timestamp=1698681600000, transactions=1836, otc=None)
Agg(open=18.44, high=18.63, low=18.42, close=18.63, volume=60184, vwap=18.5018, timestamp=1698685200000, transactions=1374, otc=None)
Agg(open=18.65, high=18.69, low=18.57, close=18.58, volume=42882, vwap=18.627, timestamp=1698688800000, transactions=1047, otc=None)
Agg(open=18.58, high=18.63, low=18.51, close=18.53, volume=123587, vwap=18.5661, timestamp=1698692400000, transactions=3168, otc=None)
Agg(open=18.54, high=18.54, low=18.54, close=18.54, volume=17843, vwap=18.54, timestamp=1698696000000, transactions=14, otc=None)
Agg(open=18.54, high=18.54, low=18.54, close=18.54, volume=1000, vwap=18.54, timestamp=1698746400000, transactions=5, otc=None)
Agg(open=18.34, high=18.34, low=18.34, close=18.34, volume=100, vwap=18.34, timestamp=1698750000000, transactions=1, otc=None)
Agg(open=18.49, high=18.78, low=18.46, close=18.72, volume=47649, vwap=18.6318, timestamp=1698757200000, transactions=373, otc=None)
Agg(open=18.725, high=18.8, low=18.68, close=18.79, volume=37486, vwap=18.7531, timestamp=1698760800000, transactions=916, otc=None)
Agg(open=18.8, high=19.05, low=18.8, close=19.03, volume=62745, vwap=18.9508, timestamp=1698764400000, transactions=1240, otc=None)
Agg(open=19.02, high=19.02, low=18.915, close=18.92, volume=22048, vwap=18.9555, timestamp=1698768000000, transactions=573, otc=None)
Agg(open=18.94, high=19.1, low=18.93, close=19.09, volume=27245, vwap=19.0294, timestamp=1698771600000, transactions=702, otc=None)
Agg(open=19.09, high=19.12, low=19, close=19.06, volume=28873, vwap=19.0569, timestamp=1698775200000, transactions=685, otc=None)
Agg(open=19.06, high=19.13, low=19.01, close=19.07, volume=120780, vwap=19.0778, timestamp=1698778800000, transactions=2446, otc=None)
Agg(open=19.07, high=19.08, low=19.07, close=19.08, volume=354305, vwap=19.07, timestamp=1698782400000, transactions=21, otc=None)
Agg(open=19, high=19, low=19, close=19, volume=200, vwap=19, timestamp=1698825600000, transactions=2, otc=None)
Agg(open=19.07, high=19.09, low=19.07, close=19.09, volume=700, vwap=19.08, timestamp=1698832800000, transactions=8, otc=None)
Agg(open=19.09, high=19.1, low=19.08, close=19.1, volume=461, vwap=19.0922, timestamp=1698836400000, transactions=4, otc=None)
Agg(open=19.21, high=19.4645, low=19.19, close=19.26, volume=163431, vwap=19.2414, timestamp=1698843600000, transactions=716, otc=None)
Agg(open=19.25, high=19.48, low=19.18, close=19.42, volume=41638, vwap=19.3605, timestamp=1698847200000, transactions=1077, otc=None)
Agg(open=19.42, high=19.47, low=19.38, close=19.45, volume=23713, vwap=19.4268, timestamp=1698850800000, transactions=725, otc=None)
Agg(open=19.44, high=19.58, low=19.43, close=19.46, volume=72307, vwap=19.4871, timestamp=1698854400000, transactions=1119, otc=None)
Agg(open=19.466, high=19.48, low=19.395, close=19.44, volume=29741, vwap=19.437, timestamp=1698858000000, transactions=784, otc=None)
Agg(open=19.455, high=19.47, low=19.33, close=19.44, volume=55063, vwap=19.4141, timestamp=1698861600000, transactions=1592, otc=None)
Agg(open=19.455, high=19.55, low=19.42, close=19.495, volume=187923, vwap=19.4899, timestamp=1698865200000, transactions=4128, otc=None)
Agg(open=19.5, high=19.5, low=18.53, close=18.53, volume=65587, vwap=19.4978, timestamp=1698868800000, transactions=17, otc=None)
Agg(open=19.3999, high=19.3999, low=19.3999, close=19.3999, volume=100, vwap=19.3999, timestamp=1698872400000, transactions=1, otc=None)
Agg(open=19.48, high=19.54, low=19.41, close=19.41, volume=2057, vwap=19.4922, timestamp=1698926400000, transactions=15, otc=None)
