Agg(open=30.94, high=31.26, low=30.84, close=31.09, volume=27057, vwap=31.0779, timestamp=1682341200000, transactions=283, otc=None)
Agg(open=31.14, high=31.2, low=30.871, close=30.92, volume=22603, vwap=31.0887, timestamp=1682344800000, transactions=442, otc=None)
Agg(open=30.925, high=30.925, low=30.705, close=30.72, volume=13851, vwap=30.7866, timestamp=1682348400000, transactions=366, otc=None)
Agg(open=30.73, high=30.815, low=30.67, close=30.79, volume=14718, vwap=30.7515, timestamp=1682352000000, transactions=451, otc=None)
Agg(open=30.785, high=30.89, low=30.74, close=30.88, volume=13753, vwap=30.8182, timestamp=1682355600000, transactions=413, otc=None)
Agg(open=30.87, high=30.87, low=30.805, close=30.8278, volume=19123, vwap=30.8285, timestamp=1682359200000, transactions=523, otc=None)
Agg(open=30.83, high=30.83, low=30.7, close=30.8, volume=88409, vwap=30.7746, timestamp=1682362800000, transactions=1611, otc=None)
Agg(open=30.79, high=30.79, low=30.31, close=30.31, volume=1894, vwap=30.6316, timestamp=1682366400000, transactions=7, otc=None)
Agg(open=30.72, high=30.88, low=30.5401, close=30.85, volume=17337, vwap=30.7744, timestamp=1682427600000, transactions=236, otc=None)
Agg(open=30.86, high=31.04, low=30.75, close=30.795, volume=108548, vwap=30.8518, timestamp=1682431200000, transactions=1193, otc=None)
Agg(open=30.79, high=30.8, low=30.75, close=30.79, volume=32556, vwap=30.7791, timestamp=1682434800000, transactions=756, otc=None)
Agg(open=30.77, high=30.865, low=30.67, close=30.67, volume=33239, vwap=30.7897, timestamp=1682438400000, transactions=700, otc=None)
Agg(open=30.68, high=30.73, low=30.485, close=30.59, volume=17237, vwap=30.5702, timestamp=1682442000000, transactions=507, otc=None)
Agg(open=30.58, high=30.58, low=30.51, close=30.52, volume=18265, vwap=30.5425, timestamp=1682445600000, transactions=537, otc=None)
Agg(open=30.53, high=30.61, low=30.46, close=30.56, volume=85982, vwap=30.5385, timestamp=1682449200000, transactions=1616, otc=None)
Agg(open=30.56, high=30.56, low=30.56, close=30.56, volume=6251, vwap=30.56, timestamp=1682452800000, transactions=11, otc=None)
Agg(open=30.48, high=30.53, low=30.16, close=30.47, volume=34443, vwap=30.3394, timestamp=1682514000000, transactions=409, otc=None)
Agg(open=30.44, high=30.64, low=30.32, close=30.63, volume=146392, vwap=30.5187, timestamp=1682517600000, transactions=1045, otc=None)
Agg(open=30.65, high=30.79, low=30.61, close=30.64, volume=28056, vwap=30.6757, timestamp=1682521200000, transactions=623, otc=None)
Agg(open=30.64, high=30.735, low=30.63, close=30.65, volume=27095, vwap=30.6729, timestamp=1682524800000, transactions=676, otc=None)
Agg(open=30.66, high=30.78, low=30.62, close=30.74, volume=39829, vwap=30.7014, timestamp=1682528400000, transactions=871, otc=None)
Agg(open=30.74, high=30.78, low=30.49, close=30.555, volume=37563, vwap=30.6501, timestamp=1682532000000, transactions=839, otc=None)
Agg(open=30.55, high=30.69, low=30.495, close=30.69, volume=126282, vwap=30.5813, timestamp=1682535600000, transactions=2344, otc=None)
Agg(open=30.68, high=30.68, low=30.68, close=30.68, volume=5382, vwap=30.68, timestamp=1682539200000, transactions=19, otc=None)
Agg(open=30.69, high=30.98, low=30.59, close=30.73, volume=16126, vwap=30.7732, timestamp=1682600400000, transactions=246, otc=None)
Agg(open=30.725, high=30.77, low=30.48, close=30.59, volume=26216, vwap=30.6648, timestamp=1682604000000, transactions=681, otc=None)
Agg(open=30.585, high=31, low=30.41, close=30.94, volume=197492, vwap=30.559, timestamp=1682607600000, transactions=1702, otc=None)
Agg(open=30.93, high=30.98, low=30.81, close=30.85, volume=51491, vwap=30.8803, timestamp=1682611200000, transactions=1030, otc=None)
Agg(open=30.85, high=31.16, low=30.84, close=31.126, volume=32046, vwap=30.9913, timestamp=1682614800000, transactions=859, otc=None)
Agg(open=31.16, high=31.3, low=31.14, close=31.27, volume=29074, vwap=31.2217, timestamp=1682618400000, transactions=795, otc=None)
Agg(open=31.28, high=31.38, low=31.16, close=31.2, volume=121625, vwap=31.2531, timestamp=1682622000000, transactions=2515, otc=None)
Agg(open=31.22, high=31.22, low=31.22, close=31.22, volume=21005, vwap=31.22, timestamp=1682625600000, transactions=16, otc=None)
Agg(open=31.2, high=31.47, low=30.67, close=31.17, volume=21822, vwap=31.174, timestamp=1682686800000, transactions=229, otc=None)
Agg(open=31.16, high=31.16, low=30.93, close=30.965, volume=72221, vwap=31.0872, timestamp=1682690400000, transactions=1416, otc=None)
Agg(open=30.97, high=31, low=30.79, close=30.88, volume=39748, vwap=30.8783, timestamp=1682694000000, transactions=924, otc=None)
Agg(open=30.87, high=30.92, low=30.775, close=30.92, volume=36208, vwap=30.8231, timestamp=1682697600000, transactions=938, otc=None)
Agg(open=30.895, high=30.94, low=30.74, close=30.74, volume=41505, vwap=30.8158, timestamp=1682701200000, transactions=984, otc=None)
Agg(open=30.76, high=30.775, low=30.66, close=30.775, volume=53911, vwap=30.7162, timestamp=1682704800000, transactions=1342, otc=None)
Agg(open=30.775, high=30.79, low=30.56, close=30.69, volume=207989, vwap=30.691, timestamp=1682708400000, transactions=3364, otc=None)
Agg(open=30.7, high=30.7, low=30.7, close=30.7, volume=12977, vwap=30.7, timestamp=1682712000000, transactions=12, otc=None)
