Agg(open=9.7, high=9.72, low=9.49, close=9.715, volume=237463, vwap=9.6378, timestamp=1679922000000, transactions=920, otc=None)
Agg(open=9.735, high=9.76, low=9.67, close=9.72, volume=313905, vwap=9.7205, timestamp=1679925600000, transactions=2137, otc=None)
Agg(open=9.73, high=9.76, low=9.69, close=9.76, volume=224800, vwap=9.7314, timestamp=1679929200000, transactions=1513, otc=None)
Agg(open=9.76, high=9.85, low=9.76, close=9.81, volume=146537, vwap=9.8024, timestamp=1679932800000, transactions=916, otc=None)
Agg(open=9.81, high=9.86, low=9.78, close=9.83, volume=80281, vwap=9.8212, timestamp=1679936400000, transactions=535, otc=None)
Agg(open=9.835, high=9.9, low=9.82, close=9.89, volume=71185, vwap=9.8505, timestamp=1679940000000, transactions=578, otc=None)
Agg(open=9.8901, high=9.955, low=9.87, close=9.93, volume=597138, vwap=9.9187, timestamp=1679943600000, transactions=3586, otc=None)
Agg(open=9.95, high=9.95, low=9.95, close=9.95, volume=132634, vwap=9.95, timestamp=1679947200000, transactions=9, otc=None)
Agg(open=9.98, high=9.98, low=9.98, close=9.98, volume=502, vwap=9.98, timestamp=1679954400000, transactions=1, otc=None)
Agg(open=9.97, high=10, low=9.96, close=10, volume=2275, vwap=9.9875, timestamp=1679958000000, transactions=13, otc=None)
Agg(open=10.05, high=10.05, low=9.98, close=10.01, volume=1600, vwap=10.0119, timestamp=1680004800000, transactions=5, otc=None)
Agg(open=9.97, high=10.06, low=9.77, close=9.785, volume=154329, vwap=9.8545, timestamp=1680008400000, transactions=923, otc=None)
Agg(open=9.785, high=9.98, low=9.77, close=9.975, volume=180921, vwap=9.9067, timestamp=1680012000000, transactions=1136, otc=None)
Agg(open=9.975, high=10.12, low=9.975, close=10.1, volume=403000, vwap=10.0426, timestamp=1680015600000, transactions=1732, otc=None)
Agg(open=10.1, high=10.165, low=10.08, close=10.135, volume=230959, vwap=10.1265, timestamp=1680019200000, transactions=1230, otc=None)
Agg(open=10.1352, high=10.22, low=10.11, close=10.2, volume=233576, vwap=10.173, timestamp=1680022800000, transactions=1534, otc=None)
Agg(open=10.19, high=10.195, low=10.095, close=10.165, volume=167791, vwap=10.1435, timestamp=1680026400000, transactions=1113, otc=None)
Agg(open=10.165, high=10.19, low=10.15, close=10.17, volume=429291, vwap=10.1721, timestamp=1680030000000, transactions=2382, otc=None)
Agg(open=10.17, high=10.17, low=10.17, close=10.17, volume=20308, vwap=10.17, timestamp=1680033600000, transactions=3, otc=None)
Agg(open=10.25, high=10.25, low=10.25, close=10.25, volume=1365, vwap=10.2497, timestamp=1680040800000, transactions=4, otc=None)
Agg(open=10.21, high=10.21, low=10.21, close=10.21, volume=200, vwap=10.21, timestamp=1680087600000, transactions=1, otc=None)
Agg(open=10.14, high=10.298, low=10, close=10.265, volume=184434, vwap=10.2242, timestamp=1680094800000, transactions=1034, otc=None)
Agg(open=10.265, high=10.435, low=10.225, close=10.43, volume=287879, vwap=10.3493, timestamp=1680098400000, transactions=2037, otc=None)
Agg(open=10.42, high=10.435, low=10.28, close=10.365, volume=327738, vwap=10.3726, timestamp=1680102000000, transactions=1885, otc=None)
Agg(open=10.37, high=10.375, low=10.26, close=10.315, volume=164115, vwap=10.3134, timestamp=1680105600000, transactions=923, otc=None)
Agg(open=10.31, high=10.31, low=10.2201, close=10.265, volume=112372, vwap=10.2637, timestamp=1680109200000, transactions=948, otc=None)
Agg(open=10.265, high=10.3175, low=10.2521, close=10.28, volume=144662, vwap=10.2879, timestamp=1680112800000, transactions=1096, otc=None)
Agg(open=10.285, high=10.31, low=10.22, close=10.29, volume=597471, vwap=10.2742, timestamp=1680116400000, transactions=3566, otc=None)
Agg(open=10.29, high=10.29, low=10.29, close=10.29, volume=14800, vwap=10.29, timestamp=1680120000000, transactions=5, otc=None)
Agg(open=10.45, high=10.45, low=10.45, close=10.45, volume=530, vwap=10.45, timestamp=1680177600000, transactions=3, otc=None)
Agg(open=10.45, high=10.45, low=10.28, close=10.34, volume=125739, vwap=10.358, timestamp=1680181200000, transactions=959, otc=None)
Agg(open=10.34, high=10.415, low=10.33, close=10.405, volume=112713, vwap=10.3684, timestamp=1680184800000, transactions=1003, otc=None)
Agg(open=10.41, high=10.45, low=10.35, close=10.38, volume=109550, vwap=10.4122, timestamp=1680188400000, transactions=990, otc=None)
Agg(open=10.37, high=10.446, low=10.37, close=10.445, volume=113915, vwap=10.4065, timestamp=1680192000000, transactions=848, otc=None)
Agg(open=10.445, high=10.45, low=10.35, close=10.36, volume=119935, vwap=10.3908, timestamp=1680195600000, transactions=792, otc=None)
Agg(open=10.3599, high=10.4159, low=10.355, close=10.415, volume=81554, vwap=10.387, timestamp=1680199200000, transactions=553, otc=None)
Agg(open=10.415, high=10.49, low=10.38, close=10.45, volume=637582, vwap=10.4507, timestamp=1680202800000, transactions=3516, otc=None)
Agg(open=10.46, high=10.46, low=10.46, close=10.46, volume=2077, vwap=10.46, timestamp=1680206400000, transactions=1, otc=None)
Agg(open=10.5, high=10.5, low=10.5, close=10.5, volume=825, vwap=10.5, timestamp=1680264000000, transactions=3, otc=None)
Agg(open=10.46, high=10.56, low=10.4401, close=10.53, volume=105219, vwap=10.4925, timestamp=1680267600000, transactions=539, otc=None)
Agg(open=10.52, high=10.565, low=10.442, close=10.4799, volume=189292, vwap=10.4873, timestamp=1680271200000, transactions=1114, otc=None)
Agg(open=10.47, high=10.48, low=10.365, close=10.39, volume=145143, vwap=10.4024, timestamp=1680274800000, transactions=1076, otc=None)
Agg(open=10.39, high=10.39, low=10.295, close=10.33, volume=88905, vwap=10.3361, timestamp=1680278400000, transactions=717, otc=None)
