Agg(open=11.11, high=11.11, low=10.955, close=11, volume=301559, vwap=11.0314, timestamp=1678111200000, transactions=2143, otc=None)
Agg(open=11.0037, high=11.155, low=10.99, close=11.065, volume=391470, vwap=11.0926, timestamp=1678114800000, transactions=3364, otc=None)
Agg(open=11.065, high=11.115, low=11.01, close=11.02, volume=372053, vwap=11.0646, timestamp=1678118400000, transactions=3032, otc=None)
Agg(open=11.03, high=11.03, low=10.875, close=10.895, volume=360526, vwap=10.9615, timestamp=1678122000000, transactions=3182, otc=None)
Agg(open=10.89, high=10.91, low=10.8, close=10.815, volume=662112, vwap=10.8493, timestamp=1678125600000, transactions=4360, otc=None)
Agg(open=10.82, high=10.85, low=10.755, close=10.79, volume=780878, vwap=10.8002, timestamp=1678129200000, transactions=5280, otc=None)
Agg(open=10.795, high=10.87, low=10.765, close=10.835, volume=1980294.0, vwap=10.8336, timestamp=1678132800000, transactions=10894, otc=None)
Agg(open=10.84, high=10.84, low=10.84, close=10.84, volume=54302, vwap=10.84, timestamp=1678136400000, transactions=37, otc=None)
Agg(open=10.9, high=10.9, low=10.9, close=10.9, volume=500, vwap=10.9, timestamp=1678190400000, transactions=3, otc=None)
Agg(open=10.85, high=10.85, low=10.77, close=10.8, volume=344777, vwap=10.8184, timestamp=1678197600000, transactions=2541, otc=None)
Agg(open=10.81, high=10.81, low=10.6, close=10.6, volume=955347, vwap=10.6721, timestamp=1678201200000, transactions=7083, otc=None)
Agg(open=10.6, high=10.66, low=10.575, close=10.595, volume=636866, vwap=10.6078, timestamp=1678204800000, transactions=4821, otc=None)
Agg(open=10.595, high=10.69, low=10.59, close=10.665, volume=807459, vwap=10.6342, timestamp=1678208400000, transactions=5080, otc=None)
Agg(open=10.66, high=10.665, low=10.54, close=10.54, volume=465164, vwap=10.5981, timestamp=1678212000000, transactions=3687, otc=None)
Agg(open=10.54, high=10.6, low=10.54, close=10.59, volume=613768, vwap=10.5757, timestamp=1678215600000, transactions=4013, otc=None)
Agg(open=10.59, high=10.66, low=10.5814, close=10.63, volume=1976682.0, vwap=10.6203, timestamp=1678219200000, transactions=11711, otc=None)
Agg(open=10.62, high=10.7, low=10.62, close=10.7, volume=103387, vwap=10.6201, timestamp=1678222800000, transactions=54, otc=None)
Agg(open=10.65, high=10.69, low=10.55, close=10.69, volume=665, vwap=10.6432, timestamp=1678226400000, transactions=3, otc=None)
Agg(open=10.7, high=10.7, low=10.7, close=10.7, volume=500, vwap=10.7, timestamp=1678233600000, transactions=1, otc=None)
Agg(open=10.69, high=10.69, low=10.69, close=10.69, volume=600, vwap=10.69, timestamp=1678266000000, transactions=1, otc=None)
Agg(open=10.7, high=10.7, low=10.69, close=10.69, volume=500, vwap=10.694, timestamp=1678273200000, transactions=4, otc=None)
Agg(open=10.7, high=10.7, low=10.7, close=10.7, volume=2787, vwap=10.7, timestamp=1678276800000, transactions=4, otc=None)
Agg(open=10.81, high=10.82, low=10.64, close=10.695, volume=293306, vwap=10.6968, timestamp=1678284000000, transactions=2023, otc=None)
Agg(open=10.69, high=10.77, low=10.62, close=10.73, volume=577190, vwap=10.7104, timestamp=1678287600000, transactions=4424, otc=None)
Agg(open=10.7375, high=10.8, low=10.7, close=10.75, volume=451718, vwap=10.7495, timestamp=1678291200000, transactions=3459, otc=None)
Agg(open=10.76, high=10.77, low=10.71, close=10.735, volume=413935, vwap=10.738, timestamp=1678294800000, transactions=3139, otc=None)
Agg(open=10.7306, high=10.745, low=10.64, close=10.645, volume=292939, vwap=10.6939, timestamp=1678298400000, transactions=2447, otc=None)
Agg(open=10.65, high=10.685, low=10.635, close=10.65, volume=403148, vwap=10.6635, timestamp=1678302000000, transactions=3076, otc=None)
Agg(open=10.655, high=10.685, low=10.62, close=10.645, volume=1326883.0, vwap=10.6527, timestamp=1678305600000, transactions=7566, otc=None)
Agg(open=10.64, high=10.67, low=10.64, close=10.64, volume=126871, vwap=10.6401, timestamp=1678309200000, transactions=57, otc=None)
Agg(open=10.7, high=10.7, low=10.7, close=10.7, volume=500, vwap=10.7, timestamp=1678312800000, transactions=1, otc=None)
Agg(open=10.7, high=10.7, low=10.7, close=10.7, volume=100, vwap=10.7, timestamp=1678316400000, transactions=1, otc=None)
Agg(open=10.62, high=10.62, low=10.62, close=10.62, volume=200, vwap=10.6103, timestamp=1678320000000, transactions=3, otc=None)
Agg(open=10.6, high=10.6, low=10.6, close=10.6, volume=392, vwap=10.6, timestamp=1678366800000, transactions=3, otc=None)
Agg(open=10.64, high=10.7, low=10.54, close=10.625, volume=464303, vwap=10.6144, timestamp=1678370400000, transactions=2382, otc=None)
Agg(open=10.625, high=10.66, low=10.525, close=10.54, volume=580354, vwap=10.5907, timestamp=1678374000000, transactions=5799, otc=None)
Agg(open=10.55, high=10.55, low=10.455, close=10.455, volume=421205, vwap=10.4926, timestamp=1678377600000, transactions=3633, otc=None)
Agg(open=10.455, high=10.51, low=10.44, close=10.445, volume=468435, vwap=10.4688, timestamp=1678381200000, transactions=4294, otc=None)
Agg(open=10.445, high=10.4491, low=10.31, close=10.325, volume=530716, vwap=10.3699, timestamp=1678384800000, transactions=4698, otc=None)
Agg(open=10.3206, high=10.325, low=10.235, close=10.245, volume=655616, vwap=10.2766, timestamp=1678388400000, transactions=6272, otc=None)
Agg(open=10.245, high=10.27, low=10.1, close=10.11, volume=2082889.0, vwap=10.1616, timestamp=1678392000000, transactions=13587, otc=None)
Agg(open=10.11, high=10.11, low=10.11, close=10.11, volume=116616, vwap=10.11, timestamp=1678395600000, transactions=32, otc=None)
