Agg(open=10.05, high=10.19, low=10, close=10.185, volume=329913, vwap=10.1126, timestamp=1688994000000, transactions=2672, otc=None)
Agg(open=10.19, high=10.2, low=10.06, close=10.115, volume=431231, vwap=10.1278, timestamp=1688997600000, transactions=3652, otc=None)
Agg(open=10.12, high=10.2, low=10.085, close=10.185, volume=560719, vwap=10.1332, timestamp=1689001200000, transactions=3205, otc=None)
Agg(open=10.185, high=10.205, low=10.14, close=10.165, volume=474428, vwap=10.1722, timestamp=1689004800000, transactions=2563, otc=None)
Agg(open=10.165, high=10.25, low=10.155, close=10.185, volume=741643, vwap=10.1994, timestamp=1689008400000, transactions=4225, otc=None)
Agg(open=10.185, high=10.2205, low=10.14, close=10.2105, volume=771175, vwap=10.1634, timestamp=1689012000000, transactions=3842, otc=None)
Agg(open=10.215, high=10.22, low=10.14, close=10.15, volume=1427196.0, vwap=10.1697, timestamp=1689015600000, transactions=8061, otc=None)
Agg(open=10.15, high=10.15, low=10.15, close=10.15, volume=60392, vwap=10.15, timestamp=1689019200000, transactions=23, otc=None)
Agg(open=10.3, high=10.335, low=10.19, close=10.245, volume=231520, vwap=10.2475, timestamp=1689080400000, transactions=1907, otc=None)
Agg(open=10.25, high=10.36, low=10.235, close=10.33, volume=648419, vwap=10.3012, timestamp=1689084000000, transactions=4228, otc=None)
Agg(open=10.325, high=10.33, low=10.25, close=10.285, volume=446616, vwap=10.2825, timestamp=1689087600000, transactions=2475, otc=None)
Agg(open=10.285, high=10.44, low=10.275, close=10.44, volume=559594, vwap=10.3614, timestamp=1689091200000, transactions=2597, otc=None)
Agg(open=10.44, high=10.54, low=10.44, close=10.53, volume=564269, vwap=10.4972, timestamp=1689094800000, transactions=3205, otc=None)
Agg(open=10.53, high=10.66, low=10.515, close=10.6401, volume=1036214.0, vwap=10.5891, timestamp=1689098400000, transactions=6077, otc=None)
Agg(open=10.645, high=10.68, low=10.47, close=10.495, volume=1331292.0, vwap=10.5515, timestamp=1689102000000, transactions=7340, otc=None)
Agg(open=10.5, high=10.5, low=10.32, close=10.34, volume=60627, vwap=10.4983, timestamp=1689105600000, transactions=21, otc=None)
Agg(open=10.59, high=10.59, low=10.55, close=10.55, volume=200, vwap=10.57, timestamp=1689109200000, transactions=2, otc=None)
Agg(open=10.8, high=10.8, low=10.8, close=10.8, volume=1100, vwap=10.8, timestamp=1689163200000, transactions=1, otc=None)
Agg(open=10.779, high=10.779, low=10.365, close=10.39, volume=332254, vwap=10.5582, timestamp=1689166800000, transactions=2228, otc=None)
