Agg(open=10.7, high=10.81, low=10.52, close=10.525, volume=179640, vwap=10.6203, timestamp=1699884000000, transactions=1323, otc=None)
Agg(open=10.52, high=10.61, low=10.42, close=10.585, volume=527133, vwap=10.5313, timestamp=1699887600000, transactions=4627, otc=None)
Agg(open=10.59, high=10.67, low=10.51, close=10.575, volume=701160, vwap=10.5854, timestamp=1699891200000, transactions=5255, otc=None)
Agg(open=10.57, high=10.59, low=10.495, close=10.56, volume=544592, vwap=10.5378, timestamp=1699894800000, transactions=3843, otc=None)
Agg(open=10.55, high=10.615, low=10.52, close=10.6, volume=250031, vwap=10.5587, timestamp=1699898400000, transactions=2419, otc=None)
Agg(open=10.6, high=10.61, low=10.495, close=10.53, volume=406214, vwap=10.5185, timestamp=1699902000000, transactions=3096, otc=None)
Agg(open=10.53, high=10.59, low=10.5, close=10.55, volume=1403210.0, vwap=10.5407, timestamp=1699905600000, transactions=7719, otc=None)
Agg(open=10.55, high=10.55, low=10.55, close=10.55, volume=652363, vwap=10.55, timestamp=1699909200000, transactions=27, otc=None)
Agg(open=10.9, high=11.39, low=10.9, close=11.355, volume=818459, vwap=11.2298, timestamp=1699970400000, transactions=5352, otc=None)
Agg(open=11.355, high=11.44, low=11.23, close=11.385, volume=539982, vwap=11.3281, timestamp=1699974000000, transactions=5655, otc=None)
Agg(open=11.39, high=11.535, low=11.38, close=11.425, volume=501966, vwap=11.4679, timestamp=1699977600000, transactions=5069, otc=None)
Agg(open=11.425, high=11.48, low=11.35, close=11.455, volume=448705, vwap=11.4171, timestamp=1699981200000, transactions=4328, otc=None)
Agg(open=11.455, high=11.51, low=11.35, close=11.46, volume=559397, vwap=11.4453, timestamp=1699984800000, transactions=4593, otc=None)
Agg(open=11.455, high=11.465, low=11.345, close=11.36, volume=337699, vwap=11.3836, timestamp=1699988400000, transactions=3388, otc=None)
Agg(open=11.37, high=11.42, low=11.33, close=11.33, volume=1013834.0, vwap=11.3654, timestamp=1699992000000, transactions=7265, otc=None)
Agg(open=11.34, high=11.34, low=11.34, close=11.34, volume=116780, vwap=11.34, timestamp=1699995600000, transactions=35, otc=None)
Agg(open=11.2, high=11.49, low=11.2, close=11.385, volume=218923, vwap=11.4206, timestamp=1700056800000, transactions=2048, otc=None)
Agg(open=11.38, high=11.615, low=11.38, close=11.6, volume=670584, vwap=11.5171, timestamp=1700060400000, transactions=5502, otc=None)
Agg(open=11.605, high=11.64, low=11.47, close=11.49, volume=478633, vwap=11.5663, timestamp=1700064000000, transactions=4528, otc=None)
Agg(open=11.495, high=11.61, low=11.45, close=11.55, volume=419096, vwap=11.5348, timestamp=1700067600000, transactions=4133, otc=None)
Agg(open=11.545, high=11.59, low=11.46, close=11.57, volume=395805, vwap=11.5367, timestamp=1700071200000, transactions=3599, otc=None)
Agg(open=11.565, high=11.595, low=11.45, close=11.48, volume=357487, vwap=11.4999, timestamp=1700074800000, transactions=3908, otc=None)
Agg(open=11.485, high=11.54, low=11.41, close=11.41, volume=1700644.0, vwap=11.455, timestamp=1700078400000, transactions=10402, otc=None)
Agg(open=11.41, high=11.41, low=11.41, close=11.41, volume=80177, vwap=11.41, timestamp=1700082000000, transactions=22, otc=None)
Agg(open=11.48, high=11.53, low=11.28, close=11.2819, volume=138267, vwap=11.4308, timestamp=1700143200000, transactions=1456, otc=None)
Agg(open=11.29, high=11.33, low=11.2, close=11.255, volume=660771, vwap=11.2584, timestamp=1700146800000, transactions=5663, otc=None)
Agg(open=11.26, high=11.33, low=11.24, close=11.305, volume=297350, vwap=11.2884, timestamp=1700150400000, transactions=3060, otc=None)
Agg(open=11.31, high=11.405, low=11.3, close=11.325, volume=256381, vwap=11.3436, timestamp=1700154000000, transactions=2557, otc=None)
Agg(open=11.32, high=11.345, low=11.25, close=11.315, volume=313101, vwap=11.2942, timestamp=1700157600000, transactions=2558, otc=None)
Agg(open=11.315, high=11.41, low=11.3, close=11.41, volume=384091, vwap=11.3486, timestamp=1700161200000, transactions=3428, otc=None)
Agg(open=11.405, high=11.51, low=11.39, close=11.505, volume=1251510.0, vwap=11.4703, timestamp=1700164800000, transactions=7785, otc=None)
Agg(open=11.49, high=11.49, low=11.49, close=11.49, volume=161119, vwap=11.49, timestamp=1700168400000, transactions=23, otc=None)
Agg(open=11.49, high=11.72, low=11.49, close=11.71, volume=293418, vwap=11.6391, timestamp=1700229600000, transactions=2949, otc=None)
Agg(open=11.7, high=11.82, low=11.685, close=11.77, volume=662061, vwap=11.7683, timestamp=1700233200000, transactions=6651, otc=None)
Agg(open=11.77, high=11.775, low=11.65, close=11.72, volume=418665, vwap=11.7162, timestamp=1700236800000, transactions=3785, otc=None)
Agg(open=11.715, high=11.75, low=11.68, close=11.73, volume=391130, vwap=11.7132, timestamp=1700240400000, transactions=3645, otc=None)
Agg(open=11.725, high=11.805, low=11.72, close=11.795, volume=277322, vwap=11.7484, timestamp=1700244000000, transactions=2739, otc=None)
Agg(open=11.8, high=11.835, low=11.72, close=11.745, volume=602977, vwap=11.7895, timestamp=1700247600000, transactions=5217, otc=None)
Agg(open=11.745, high=11.83, low=11.72, close=11.825, volume=1201124.0, vwap=11.7851, timestamp=1700251200000, transactions=9221, otc=None)
Agg(open=11.82, high=11.82, low=11.58, close=11.58, volume=182231, vwap=11.8199, timestamp=1700254800000, transactions=25, otc=None)
