Agg(open=10.16, high=10.23, low=10.155, close=10.22, volume=60740, vwap=10.1896, timestamp=1682341200000, transactions=411, otc=None)
Agg(open=10.23, high=10.295, low=10.18, close=10.18, volume=235099, vwap=10.2589, timestamp=1682344800000, transactions=1389, otc=None)
Agg(open=10.19, high=10.27, low=10.17, close=10.255, volume=104393, vwap=10.2102, timestamp=1682348400000, transactions=872, otc=None)
Agg(open=10.255, high=10.285, low=10.235, close=10.255, volume=627665, vwap=10.2595, timestamp=1682352000000, transactions=3956, otc=None)
Agg(open=10.25, high=10.265, low=10.22, close=10.265, volume=136679, vwap=10.2469, timestamp=1682355600000, transactions=1020, otc=None)
Agg(open=10.265, high=10.27, low=10.2, close=10.215, volume=216503, vwap=10.2423, timestamp=1682359200000, transactions=1411, otc=None)
Agg(open=10.22, high=10.25, low=10.19, close=10.22, volume=467205, vwap=10.2132, timestamp=1682362800000, transactions=2566, otc=None)
Agg(open=10.21, high=10.21, low=10.21, close=10.21, volume=45998, vwap=10.21, timestamp=1682366400000, transactions=8, otc=None)
Agg(open=10.1, high=10.14, low=9.915, close=9.92, volume=64373, vwap=10.0003, timestamp=1682427600000, transactions=457, otc=None)
Agg(open=9.91, high=9.94, low=9.78, close=9.82, volume=256645, vwap=9.8296, timestamp=1682431200000, transactions=1764, otc=None)
Agg(open=9.825, high=9.85, low=9.775, close=9.78, volume=190472, vwap=9.8161, timestamp=1682434800000, transactions=1386, otc=None)
Agg(open=9.785, high=9.88, low=9.78, close=9.865, volume=149275, vwap=9.8356, timestamp=1682438400000, transactions=1036, otc=None)
Agg(open=9.8666, high=9.875, low=9.8, close=9.845, volume=201823, vwap=9.8345, timestamp=1682442000000, transactions=1197, otc=None)
Agg(open=9.845, high=9.86, low=9.81, close=9.81, volume=151890, vwap=9.8418, timestamp=1682445600000, transactions=961, otc=None)
Agg(open=9.81, high=9.82, low=9.7, close=9.71, volume=434542, vwap=9.7443, timestamp=1682449200000, transactions=2895, otc=None)
Agg(open=9.72, high=9.72, low=9.72, close=9.72, volume=72310, vwap=9.72, timestamp=1682452800000, transactions=14, otc=None)
Agg(open=9.99, high=9.99, low=9.8, close=9.8, volume=600, vwap=9.9583, timestamp=1682463600000, transactions=2, otc=None)
Agg(open=9.8, high=9.8, low=9.7, close=9.7, volume=3017, vwap=9.7665, timestamp=1682506800000, transactions=7, otc=None)
Agg(open=9.71, high=9.71, low=9.71, close=9.71, volume=1000, vwap=9.71, timestamp=1682510400000, transactions=3, otc=None)
Agg(open=9.72, high=9.82, low=9.71, close=9.715, volume=53320, vwap=9.7714, timestamp=1682514000000, transactions=511, otc=None)
Agg(open=9.7, high=9.86, low=9.69, close=9.845, volume=187074, vwap=9.7808, timestamp=1682517600000, transactions=1500, otc=None)
Agg(open=9.845, high=9.89, low=9.83, close=9.855, volume=149476, vwap=9.864, timestamp=1682521200000, transactions=1153, otc=None)
Agg(open=9.855, high=9.88, low=9.82, close=9.83, volume=91372, vwap=9.8483, timestamp=1682524800000, transactions=910, otc=None)
Agg(open=9.83, high=9.86, low=9.8, close=9.8, volume=353640, vwap=9.8368, timestamp=1682528400000, transactions=1682, otc=None)
Agg(open=9.805, high=9.82, low=9.72, close=9.755, volume=220108, vwap=9.768, timestamp=1682532000000, transactions=1503, otc=None)
Agg(open=9.755, high=9.83, low=9.72, close=9.8, volume=484271, vwap=9.775, timestamp=1682535600000, transactions=3361, otc=None)
Agg(open=9.8, high=9.8, low=9.8, close=9.8, volume=17603, vwap=9.8, timestamp=1682539200000, transactions=8, otc=None)
Agg(open=9.67, high=9.815, low=9.67, close=9.8, volume=46502, vwap=9.7523, timestamp=1682600400000, transactions=374, otc=None)
Agg(open=9.8, high=9.825, low=9.68, close=9.695, volume=103667, vwap=9.7624, timestamp=1682604000000, transactions=725, otc=None)
Agg(open=9.695, high=9.77, low=9.64, close=9.74, volume=132683, vwap=9.7101, timestamp=1682607600000, transactions=975, otc=None)
Agg(open=9.745, high=9.76, low=9.71, close=9.74, volume=94609, vwap=9.7302, timestamp=1682611200000, transactions=658, otc=None)
Agg(open=9.74, high=9.8, low=9.735, close=9.76, volume=104980, vwap=9.7655, timestamp=1682614800000, transactions=640, otc=None)
Agg(open=9.76, high=9.81, low=9.74, close=9.78, volume=130322, vwap=9.7832, timestamp=1682618400000, transactions=823, otc=None)
Agg(open=9.785, high=9.795, low=9.73, close=9.73, volume=351927, vwap=9.759, timestamp=1682622000000, transactions=1886, otc=None)
Agg(open=9.73, high=9.73, low=9.73, close=9.73, volume=57525, vwap=9.73, timestamp=1682625600000, transactions=13, otc=None)
Agg(open=9.67, high=9.76, low=9.65, close=9.69, volume=85286, vwap=9.7194, timestamp=1682686800000, transactions=751, otc=None)
Agg(open=9.675, high=9.805, low=9.65, close=9.745, volume=344356, vwap=9.7437, timestamp=1682690400000, transactions=3098, otc=None)
Agg(open=9.75, high=9.85, low=9.71, close=9.82, volume=282463, vwap=9.7886, timestamp=1682694000000, transactions=2683, otc=None)
Agg(open=9.82, high=9.835, low=9.77, close=9.79, volume=195322, vwap=9.8005, timestamp=1682697600000, transactions=2169, otc=None)
Agg(open=9.795, high=9.82, low=9.78, close=9.8, volume=121835, vwap=9.8055, timestamp=1682701200000, transactions=1621, otc=None)
Agg(open=9.8, high=9.83, low=9.785, close=9.815, volume=125722, vwap=9.8057, timestamp=1682704800000, transactions=1580, otc=None)
Agg(open=9.81, high=9.875, low=9.8, close=9.81, volume=284771, vwap=9.8303, timestamp=1682708400000, transactions=2677, otc=None)
Agg(open=9.81, high=9.81, low=9.81, close=9.81, volume=17918, vwap=9.81, timestamp=1682712000000, transactions=11, otc=None)
