Agg(open=19.99, high=19.99, low=19.73, close=19.76, volume=45541, vwap=19.8329, timestamp=1690808400000, transactions=600, otc=None)
Agg(open=19.76, high=19.87, low=19.7, close=19.71, volume=158928, vwap=19.7638, timestamp=1690812000000, transactions=1744, otc=None)
Agg(open=19.715, high=19.78, low=19.65, close=19.67, volume=102125, vwap=19.7093, timestamp=1690815600000, transactions=1195, otc=None)
Agg(open=19.66, high=19.66, low=19.525, close=19.63, volume=96559, vwap=19.5718, timestamp=1690819200000, transactions=1242, otc=None)
Agg(open=19.63, high=19.655, low=19.6046, close=19.615, volume=100255, vwap=19.6326, timestamp=1690822800000, transactions=1107, otc=None)
Agg(open=19.615, high=19.63, low=19.561, close=19.59, volume=87649, vwap=19.5967, timestamp=1690826400000, transactions=1153, otc=None)
Agg(open=19.595, high=19.61, low=19.5, close=19.59, volume=406656, vwap=19.5752, timestamp=1690830000000, transactions=3638, otc=None)
Agg(open=19.59, high=19.59, low=19.59, close=19.59, volume=97746, vwap=19.59, timestamp=1690833600000, transactions=25, otc=None)
Agg(open=19.61, high=19.68, low=19.48, close=19.61, volume=171207, vwap=19.5962, timestamp=1690894800000, transactions=781, otc=None)
Agg(open=19.62, high=19.63, low=19.4, close=19.57, volume=100915, vwap=19.5207, timestamp=1690898400000, transactions=1376, otc=None)
Agg(open=19.575, high=19.64, low=19.57, close=19.62, volume=110453, vwap=19.6017, timestamp=1690902000000, transactions=1314, otc=None)
Agg(open=19.625, high=19.635, low=19.57, close=19.59, volume=82602, vwap=19.6098, timestamp=1690905600000, transactions=1189, otc=None)
Agg(open=19.585, high=19.69, low=19.585, close=19.625, volume=87247, vwap=19.6512, timestamp=1690909200000, transactions=1173, otc=None)
Agg(open=19.625, high=19.79, low=19.625, close=19.755, volume=102159, vwap=19.7134, timestamp=1690912800000, transactions=1512, otc=None)
Agg(open=19.755, high=19.78, low=19.66, close=19.75, volume=247378, vwap=19.7295, timestamp=1690916400000, transactions=2805, otc=None)
Agg(open=19.73, high=19.73, low=19.73, close=19.73, volume=15063, vwap=19.73, timestamp=1690920000000, transactions=15, otc=None)
Agg(open=19.69, high=19.72, low=19.64, close=19.69, volume=19616, vwap=19.6911, timestamp=1690981200000, transactions=357, otc=None)
Agg(open=19.67, high=19.67, low=19.54, close=19.58, volume=84799, vwap=19.5894, timestamp=1690984800000, transactions=1378, otc=None)
Agg(open=19.58, high=19.6, low=19.455, close=19.59, volume=62142, vwap=19.5202, timestamp=1690988400000, transactions=1009, otc=None)
Agg(open=19.5906, high=19.605, low=19.475, close=19.488, volume=53038, vwap=19.5453, timestamp=1690992000000, transactions=1000, otc=None)
Agg(open=19.485, high=19.51, low=19.47, close=19.495, volume=40577, vwap=19.4908, timestamp=1690995600000, transactions=877, otc=None)
Agg(open=19.495, high=19.62, low=19.475, close=19.62, volume=169158, vwap=19.5129, timestamp=1690999200000, transactions=1216, otc=None)
Agg(open=19.62, high=19.64, low=19.56, close=19.575, volume=162273, vwap=19.5988, timestamp=1691002800000, transactions=2205, otc=None)
Agg(open=19.57, high=19.57, low=19.57, close=19.57, volume=6665, vwap=19.57, timestamp=1691006400000, transactions=10, otc=None)
Agg(open=19.47, high=19.5, low=19.345, close=19.43, volume=36575, vwap=19.4109, timestamp=1691067600000, transactions=530, otc=None)
Agg(open=19.435, high=19.48, low=19.385, close=19.415, volume=85387, vwap=19.4237, timestamp=1691071200000, transactions=1308, otc=None)
Agg(open=19.415, high=19.445, low=19.27, close=19.3459, volume=120151, vwap=19.3574, timestamp=1691074800000, transactions=1397, otc=None)
Agg(open=19.34, high=19.45, low=19.34, close=19.43, volume=161340, vwap=19.4113, timestamp=1691078400000, transactions=1833, otc=None)
Agg(open=19.43, high=19.49, low=19.395, close=19.4, volume=92605, vwap=19.4438, timestamp=1691082000000, transactions=1217, otc=None)
Agg(open=19.41, high=19.52, low=19.41, close=19.515, volume=66562, vwap=19.4833, timestamp=1691085600000, transactions=1205, otc=None)
Agg(open=19.52, high=19.55, low=19.485, close=19.505, volume=294560, vwap=19.5154, timestamp=1691089200000, transactions=3315, otc=None)
Agg(open=19.44, high=19.59, low=19.44, close=19.5, volume=54737, vwap=19.5354, timestamp=1691154000000, transactions=581, otc=None)
Agg(open=19.508, high=19.52, low=19.39, close=19.4, volume=88834, vwap=19.479, timestamp=1691157600000, transactions=1118, otc=None)
Agg(open=19.41, high=19.43, low=19.355, close=19.395, volume=60635, vwap=19.3912, timestamp=1691161200000, transactions=898, otc=None)
Agg(open=19.395, high=19.41, low=19.36, close=19.365, volume=82704, vwap=19.3895, timestamp=1691164800000, transactions=1018, otc=None)
Agg(open=19.365, high=19.405, low=19.325, close=19.34, volume=58547, vwap=19.381, timestamp=1691168400000, transactions=795, otc=None)
Agg(open=19.33, high=19.33, low=19.2, close=19.24, volume=134020, vwap=19.2466, timestamp=1691172000000, transactions=1545, otc=None)
Agg(open=19.25, high=19.35, low=19.1735, close=19.348, volume=393154, vwap=19.2645, timestamp=1691175600000, transactions=3637, otc=None)
Agg(open=19.33, high=19.33, low=19.33, close=19.33, volume=12286, vwap=19.33, timestamp=1691179200000, transactions=19, otc=None)
