Agg(open=15.8, high=15.8, low=15.8, close=15.8, volume=2521, vwap=15.8, timestamp=1676984400000, transactions=12, otc=None)
Agg(open=15.77, high=15.875, low=15.63, close=15.74, volume=113213, vwap=15.7566, timestamp=1676988000000, transactions=995, otc=None)
Agg(open=15.74, high=15.855, low=15.63, close=15.83, volume=146590, vwap=15.7536, timestamp=1676991600000, transactions=1574, otc=None)
Agg(open=15.83, high=15.9, low=15.735, close=15.76, volume=166098, vwap=15.8066, timestamp=1676995200000, transactions=1383, otc=None)
Agg(open=15.75, high=15.86, low=15.74, close=15.855, volume=122215, vwap=15.7983, timestamp=1676998800000, transactions=836, otc=None)
Agg(open=15.86, high=15.87, low=15.68, close=15.69, volume=71657, vwap=15.7716, timestamp=1677002400000, transactions=781, otc=None)
Agg(open=15.7, high=15.735, low=15.62, close=15.695, volume=110850, vwap=15.6938, timestamp=1677006000000, transactions=929, otc=None)
Agg(open=15.695, high=15.7, low=15.565, close=15.61, volume=370533, vwap=15.6213, timestamp=1677009600000, transactions=3495, otc=None)
Agg(open=15.6, high=15.92, low=15.5, close=15.77, volume=112397, vwap=15.7383, timestamp=1677074400000, transactions=1026, otc=None)
Agg(open=15.77, high=15.77, low=15.39, close=15.475, volume=145202, vwap=15.5218, timestamp=1677078000000, transactions=1458, otc=None)
Agg(open=15.46, high=15.55, low=15.34, close=15.53, volume=119798, vwap=15.4385, timestamp=1677081600000, transactions=1039, otc=None)
Agg(open=15.54, high=15.6833, low=15.485, close=15.65, volume=94458, vwap=15.5927, timestamp=1677085200000, transactions=947, otc=None)
Agg(open=15.65, high=15.72, low=15.62, close=15.66, volume=86276, vwap=15.6675, timestamp=1677088800000, transactions=1180, otc=None)
Agg(open=15.65, high=15.735, low=15.43, close=15.43, volume=117053, vwap=15.5648, timestamp=1677092400000, transactions=1594, otc=None)
Agg(open=15.4225, high=15.52, low=15.36, close=15.51, volume=393574, vwap=15.4336, timestamp=1677096000000, transactions=3734, otc=None)
Agg(open=15.52, high=15.52, low=15.52, close=15.52, volume=4995, vwap=15.52, timestamp=1677099600000, transactions=4, otc=None)
Agg(open=15.64, high=15.64, low=15.64, close=15.64, volume=300, vwap=15.64, timestamp=1677153600000, transactions=1, otc=None)
Agg(open=15.85, high=15.98, low=15.7, close=15.77, volume=134039, vwap=15.8295, timestamp=1677160800000, transactions=1311, otc=None)
Agg(open=15.78, high=15.8025, low=15.58, close=15.71, volume=265218, vwap=15.6903, timestamp=1677164400000, transactions=2418, otc=None)
Agg(open=15.715, high=15.799, low=15.595, close=15.6, volume=94978, vwap=15.7268, timestamp=1677168000000, transactions=1248, otc=None)
Agg(open=15.59, high=15.825, low=15.5714, close=15.82, volume=455254, vwap=15.6138, timestamp=1677171600000, transactions=961, otc=None)
Agg(open=15.82, high=15.92, low=15.79, close=15.91, volume=160806, vwap=15.8599, timestamp=1677175200000, transactions=1356, otc=None)
Agg(open=15.915, high=16.035, low=15.88, close=15.995, volume=145324, vwap=15.9596, timestamp=1677178800000, transactions=1452, otc=None)
Agg(open=15.995, high=16.07, low=15.975, close=15.98, volume=271393, vwap=16.0059, timestamp=1677182400000, transactions=2757, otc=None)
Agg(open=15.99, high=15.99, low=15.99, close=15.99, volume=8442, vwap=15.99, timestamp=1677186000000, transactions=4, otc=None)
Agg(open=15.82, high=16.17, low=15.58, close=15.74, volume=219639, vwap=15.9, timestamp=1677247200000, transactions=1770, otc=None)
Agg(open=15.74, high=15.9, low=15.61, close=15.8, volume=321916, vwap=15.764, timestamp=1677250800000, transactions=2547, otc=None)
Agg(open=15.81, high=16.025, low=15.79, close=15.97, volume=193254, vwap=15.915, timestamp=1677254400000, transactions=1838, otc=None)
Agg(open=15.965, high=16.085, low=15.915, close=15.97, volume=202317, vwap=15.9772, timestamp=1677258000000, transactions=1523, otc=None)
Agg(open=15.96, high=16, low=15.89, close=15.93, volume=107652, vwap=15.9463, timestamp=1677261600000, transactions=1076, otc=None)
Agg(open=15.93, high=16.03, low=15.905, close=16.01, volume=180289, vwap=15.9637, timestamp=1677265200000, transactions=1996, otc=None)
Agg(open=16.01, high=16.1, low=15.92, close=16.05, volume=520107, vwap=16.0164, timestamp=1677268800000, transactions=4229, otc=None)
Agg(open=16.06, high=16.06, low=16.06, close=16.06, volume=676, vwap=16.06, timestamp=1677272400000, transactions=2, otc=None)
