Agg(open=16.07, high=16.2, low=16.07, close=16.2, volume=1500, vwap=16.1368, timestamp=1692007200000, transactions=7, otc=None)
Agg(open=16.16, high=16.22, low=16.15, close=16.22, volume=2013, vwap=16.1568, timestamp=1692010800000, transactions=18, otc=None)
Agg(open=16.5321, high=16.5321, low=15.85, close=16.15, volume=11002, vwap=16.0869, timestamp=1692014400000, transactions=36, otc=None)
Agg(open=16.15, high=16.15, low=14.1941, close=14.335, volume=908226, vwap=14.8649, timestamp=1692018000000, transactions=6323, otc=None)
Agg(open=14.34, high=14.59, low=14.11, close=14.27, volume=599552, vwap=14.3381, timestamp=1692021600000, transactions=4425, otc=None)
Agg(open=14.27, high=14.5, low=14.15, close=14.4808, volume=363845, vwap=14.2956, timestamp=1692025200000, transactions=3102, otc=None)
Agg(open=14.47, high=14.74, low=14.43, close=14.74, volume=289971, vwap=14.5788, timestamp=1692028800000, transactions=2255, otc=None)
Agg(open=14.75, high=14.8, low=14.62, close=14.688, volume=287578, vwap=14.7099, timestamp=1692032400000, transactions=2367, otc=None)
Agg(open=14.69, high=14.7, low=14.52, close=14.59, volume=172638, vwap=14.601, timestamp=1692036000000, transactions=2004, otc=None)
Agg(open=14.6, high=14.69, low=14.5514, close=14.685, volume=527426, vwap=14.641, timestamp=1692039600000, transactions=4280, otc=None)
Agg(open=14.58, high=14.58, low=14.58, close=14.58, volume=174, vwap=14.58, timestamp=1692043200000, transactions=1, otc=None)
Agg(open=14.71, high=14.72, low=14.35, close=14.36, volume=118783, vwap=14.4639, timestamp=1692104400000, transactions=1148, otc=None)
Agg(open=14.38, high=14.77, low=14.365, close=14.605, volume=229065, vwap=14.6186, timestamp=1692108000000, transactions=2399, otc=None)
Agg(open=14.61, high=14.76, low=14.6, close=14.72, volume=159386, vwap=14.6999, timestamp=1692111600000, transactions=1670, otc=None)
Agg(open=14.72, high=14.74, low=14.49, close=14.55, volume=165146, vwap=14.576, timestamp=1692115200000, transactions=1454, otc=None)
Agg(open=14.545, high=14.64, low=14.515, close=14.56, volume=96434, vwap=14.5633, timestamp=1692118800000, transactions=1119, otc=None)
Agg(open=14.56, high=14.65, low=14.545, close=14.645, volume=115124, vwap=14.5865, timestamp=1692122400000, transactions=1242, otc=None)
Agg(open=14.65, high=14.67, low=14.54, close=14.575, volume=397562, vwap=14.5902, timestamp=1692126000000, transactions=3007, otc=None)
Agg(open=14.58, high=14.58, low=14.58, close=14.58, volume=19009, vwap=14.58, timestamp=1692129600000, transactions=5, otc=None)
Agg(open=14.49, high=14.49, low=14.17, close=14.335, volume=161791, vwap=14.2863, timestamp=1692190800000, transactions=1552, otc=None)
Agg(open=14.34, high=14.575, low=14.335, close=14.55, volume=148814, vwap=14.4879, timestamp=1692194400000, transactions=1863, otc=None)
Agg(open=14.545, high=14.67, low=14.53, close=14.615, volume=151256, vwap=14.6089, timestamp=1692198000000, transactions=1594, otc=None)
Agg(open=14.615, high=14.72, low=14.56, close=14.69, volume=84471, vwap=14.6281, timestamp=1692201600000, transactions=1309, otc=None)
Agg(open=14.68, high=14.71, low=14.545, close=14.58, volume=91230, vwap=14.6208, timestamp=1692205200000, transactions=1247, otc=None)
Agg(open=14.57, high=14.65, low=14.52, close=14.57, volume=302692, vwap=14.5938, timestamp=1692208800000, transactions=1537, otc=None)
Agg(open=14.58, high=14.67, low=14.565, close=14.645, volume=643045, vwap=14.6218, timestamp=1692212400000, transactions=4299, otc=None)
Agg(open=14.64, high=14.64, low=14.64, close=14.64, volume=10773, vwap=14.64, timestamp=1692216000000, transactions=1, otc=None)
Agg(open=14.61, high=14.61, low=14.61, close=14.61, volume=150, vwap=14.61, timestamp=1692223200000, transactions=2, otc=None)
Agg(open=14.39, high=14.39, low=14.36, close=14.39, volume=781, vwap=14.368, timestamp=1692266400000, transactions=7, otc=None)
Agg(open=14.62, high=14.755, low=14.59, close=14.63, volume=114792, vwap=14.6442, timestamp=1692277200000, transactions=953, otc=None)
Agg(open=14.63, high=14.71, low=14.425, close=14.425, volume=225831, vwap=14.632, timestamp=1692280800000, transactions=2242, otc=None)
Agg(open=14.42, high=14.475, low=14.33, close=14.435, volume=187123, vwap=14.3965, timestamp=1692284400000, transactions=1880, otc=None)
