Agg(open=14.14, high=14.14, low=14, close=14.05, volume=67098, vwap=14.0503, timestamp=1695646800000, transactions=477, otc=None)
Agg(open=14.05, high=14.06, low=13.835, close=13.835, volume=123321, vwap=13.9401, timestamp=1695650400000, transactions=1116, otc=None)
Agg(open=13.8386, high=13.95, low=13.825, close=13.865, volume=108508, vwap=13.8843, timestamp=1695654000000, transactions=1008, otc=None)
Agg(open=13.86, high=13.9, low=13.79, close=13.8, volume=102157, vwap=13.8501, timestamp=1695657600000, transactions=1205, otc=None)
Agg(open=13.805, high=13.86, low=13.805, close=13.8405, volume=86152, vwap=13.8338, timestamp=1695661200000, transactions=1030, otc=None)
Agg(open=13.84, high=13.855, low=13.75, close=13.75, volume=113639, vwap=13.796, timestamp=1695664800000, transactions=1338, otc=None)
Agg(open=13.75, high=13.82, low=13.75, close=13.79, volume=394386, vwap=13.786, timestamp=1695668400000, transactions=3205, otc=None)
Agg(open=13.81, high=13.81, low=13.81, close=13.81, volume=21439, vwap=13.81, timestamp=1695672000000, transactions=7, otc=None)
Agg(open=13.78, high=14.03, low=13.77, close=13.82, volume=75439, vwap=13.9027, timestamp=1695733200000, transactions=688, otc=None)
Agg(open=13.82, high=13.85, low=13.675, close=13.815, volume=85266, vwap=13.7664, timestamp=1695736800000, transactions=1007, otc=None)
Agg(open=13.82, high=13.85, low=13.7, close=13.72, volume=167041, vwap=13.808, timestamp=1695740400000, transactions=1468, otc=None)
Agg(open=13.725, high=13.82, low=13.72, close=13.79, volume=141886, vwap=13.7774, timestamp=1695744000000, transactions=1219, otc=None)
Agg(open=13.7808, high=13.7808, low=13.68, close=13.7498, volume=126624, vwap=13.7334, timestamp=1695747600000, transactions=1082, otc=None)
Agg(open=13.74, high=13.77, low=13.7, close=13.71, volume=56891, vwap=13.7433, timestamp=1695751200000, transactions=704, otc=None)
Agg(open=13.71, high=13.725, low=13.66, close=13.68, volume=305959, vwap=13.6859, timestamp=1695754800000, transactions=2641, otc=None)
Agg(open=13.65, high=13.68, low=13.65, close=13.65, volume=11917, vwap=13.6737, timestamp=1695758400000, transactions=14, otc=None)
Agg(open=13.74, high=13.74, low=13.53, close=13.55, volume=95070, vwap=13.6115, timestamp=1695819600000, transactions=772, otc=None)
Agg(open=13.56, high=13.575, low=13.42, close=13.43, volume=128559, vwap=13.5114, timestamp=1695823200000, transactions=1454, otc=None)
Agg(open=13.44, high=13.4914, low=13.3702, close=13.3887, volume=84716, vwap=13.4487, timestamp=1695826800000, transactions=913, otc=None)
Agg(open=13.3801, high=13.3801, low=13.26, close=13.2702, volume=190713, vwap=13.313, timestamp=1695830400000, transactions=1915, otc=None)
Agg(open=13.28, high=13.285, low=13.07, close=13.22, volume=249590, vwap=13.1657, timestamp=1695834000000, transactions=2389, otc=None)
Agg(open=13.21, high=13.445, low=13.21, close=13.38, volume=241340, vwap=13.2996, timestamp=1695837600000, transactions=2302, otc=None)
Agg(open=13.38, high=13.475, low=13.375, close=13.445, volume=555687, vwap=13.4235, timestamp=1695841200000, transactions=4307, otc=None)
Agg(open=13.39, high=13.45, low=13.39, close=13.45, volume=10682, vwap=13.4388, timestamp=1695844800000, transactions=4, otc=None)
Agg(open=13.38, high=13.47, low=13.235, close=13.44, volume=83065, vwap=13.367, timestamp=1695906000000, transactions=684, otc=None)
Agg(open=13.4407, high=13.52, low=13.3711, close=13.44, volume=83670, vwap=13.4462, timestamp=1695909600000, transactions=1065, otc=None)
Agg(open=13.44, high=13.59, low=13.405, close=13.55, volume=72725, vwap=13.4979, timestamp=1695913200000, transactions=1009, otc=None)
Agg(open=13.55, high=13.6152, low=13.52, close=13.5508, volume=62154, vwap=13.5592, timestamp=1695916800000, transactions=766, otc=None)
Agg(open=13.55, high=13.5775, low=13.515, close=13.575, volume=52531, vwap=13.5454, timestamp=1695920400000, transactions=741, otc=None)
Agg(open=13.575, high=13.58, low=13.51, close=13.54, volume=56000, vwap=13.5481, timestamp=1695924000000, transactions=856, otc=None)
Agg(open=13.535, high=13.68, low=13.535, close=13.58, volume=258559, vwap=13.6222, timestamp=1695927600000, transactions=2560, otc=None)
Agg(open=13.58, high=13.58, low=13.58, close=13.58, volume=20789, vwap=13.58, timestamp=1695931200000, transactions=8, otc=None)
Agg(open=13.84, high=13.98, low=13.79, close=13.905, volume=81912, vwap=13.8688, timestamp=1695992400000, transactions=626, otc=None)
Agg(open=13.9, high=13.9, low=13.74, close=13.81, volume=57571, vwap=13.8127, timestamp=1695996000000, transactions=616, otc=None)
Agg(open=13.81, high=13.89, low=13.78, close=13.86, volume=53815, vwap=13.8299, timestamp=1695999600000, transactions=610, otc=None)
Agg(open=13.86, high=13.86, low=13.77, close=13.785, volume=31187, vwap=13.8142, timestamp=1696003200000, transactions=439, otc=None)
Agg(open=13.795, high=13.8, low=13.72, close=13.73, volume=56796, vwap=13.7677, timestamp=1696006800000, transactions=692, otc=None)
Agg(open=13.74, high=13.79, low=13.725, close=13.78, volume=85260, vwap=13.7622, timestamp=1696010400000, transactions=1336, otc=None)
Agg(open=13.79, high=13.835, low=13.72, close=13.73, volume=170305, vwap=13.7701, timestamp=1696014000000, transactions=1856, otc=None)
Agg(open=13.72, high=13.72, low=13.72, close=13.72, volume=36867, vwap=13.72, timestamp=1696017600000, transactions=11, otc=None)
