Agg(open=10, high=10, low=9.96, close=9.96, volume=656, vwap=9.9905, timestamp=1692014400000, transactions=2, otc=None)
Agg(open=9.98, high=9.98, low=9.46, close=9.52, volume=1612708.0, vwap=9.6541, timestamp=1692018000000, transactions=6334, otc=None)
Agg(open=9.52, high=9.53, low=9.08, close=9.3699, volume=3500666.0, vwap=9.3147, timestamp=1692021600000, transactions=12641, otc=None)
Agg(open=9.365, high=9.49, low=9.3, close=9.33, volume=1380942.0, vwap=9.3663, timestamp=1692025200000, transactions=6041, otc=None)
Agg(open=9.34, high=9.56, low=9.34, close=9.535, volume=876127, vwap=9.4379, timestamp=1692028800000, transactions=4546, otc=None)
Agg(open=9.53, high=9.55, low=9.45, close=9.53, volume=481935, vwap=9.4959, timestamp=1692032400000, transactions=3491, otc=None)
Agg(open=9.52, high=9.56, low=9.51, close=9.545, volume=434832, vwap=9.5413, timestamp=1692036000000, transactions=3103, otc=None)
Agg(open=9.545, high=9.61, low=9.49, close=9.57, volume=1648523.0, vwap=9.5696, timestamp=1692039600000, transactions=9004, otc=None)
Agg(open=9.56, high=9.56, low=9.56, close=9.56, volume=77875, vwap=9.56, timestamp=1692043200000, transactions=26, otc=None)
Agg(open=9.62, high=9.62, low=9.62, close=9.62, volume=250, vwap=9.62, timestamp=1692050400000, transactions=1, otc=None)
Agg(open=9.6, high=9.6, low=9.6, close=9.6, volume=103, vwap=9.6002, timestamp=1692090000000, transactions=3, otc=None)
Agg(open=9.3, high=9.3, low=9.3, close=9.3, volume=200, vwap=9.3, timestamp=1692093600000, transactions=1, otc=None)
Agg(open=9.49, high=9.49, low=9.49, close=9.49, volume=2357, vwap=9.49, timestamp=1692097200000, transactions=13, otc=None)
Agg(open=9.45, high=9.45, low=9.45, close=9.45, volume=1500, vwap=9.45, timestamp=1692100800000, transactions=4, otc=None)
Agg(open=9.4, high=9.705, low=9.4, close=9.63, volume=267314, vwap=9.6208, timestamp=1692104400000, transactions=2525, otc=None)
Agg(open=9.62, high=9.64, low=9.51, close=9.52, volume=790126, vwap=9.5686, timestamp=1692108000000, transactions=5814, otc=None)
Agg(open=9.52, high=9.57, low=9.49, close=9.525, volume=322288, vwap=9.5457, timestamp=1692111600000, transactions=3208, otc=None)
Agg(open=9.525, high=9.5875, low=9.51, close=9.565, volume=373344, vwap=9.5453, timestamp=1692115200000, transactions=2665, otc=None)
Agg(open=9.565, high=9.615, low=9.555, close=9.615, volume=274305, vwap=9.5888, timestamp=1692118800000, transactions=2704, otc=None)
