Agg(open=8.76, high=8.81, low=8.69, close=8.785, volume=180833, vwap=8.7585, timestamp=1699884000000, transactions=1384, otc=None)
Agg(open=8.78, high=8.84, low=8.77, close=8.83, volume=218918, vwap=8.8023, timestamp=1699887600000, transactions=2139, otc=None)
Agg(open=8.825, high=8.835, low=8.805, close=8.825, volume=174210, vwap=8.8246, timestamp=1699891200000, transactions=1899, otc=None)
Agg(open=8.83, high=8.83, low=8.8, close=8.83, volume=129396, vwap=8.8133, timestamp=1699894800000, transactions=1274, otc=None)
Agg(open=8.83, high=8.86, low=8.82, close=8.83, volume=380678, vwap=8.8345, timestamp=1699898400000, transactions=2310, otc=None)
Agg(open=8.83, high=8.875, low=8.81, close=8.87, volume=302761, vwap=8.8459, timestamp=1699902000000, transactions=2295, otc=None)
Agg(open=8.865, high=8.8775, low=8.84, close=8.855, volume=496171, vwap=8.8565, timestamp=1699905600000, transactions=4122, otc=None)
Agg(open=8.85, high=8.85, low=8.85, close=8.85, volume=51447, vwap=8.85, timestamp=1699909200000, transactions=26, otc=None)
Agg(open=8.88, high=8.88, low=8.86, close=8.86, volume=400, vwap=8.87, timestamp=1699963200000, transactions=5, otc=None)
Agg(open=8.88, high=8.88, low=8.88, close=8.88, volume=272, vwap=8.8784, timestamp=1699966800000, transactions=3, otc=None)
Agg(open=8.86, high=9.03, low=8.86, close=8.905, volume=218015, vwap=8.9753, timestamp=1699970400000, transactions=1386, otc=None)
Agg(open=8.905, high=9, low=8.895, close=8.98, volume=265282, vwap=8.953, timestamp=1699974000000, transactions=2661, otc=None)
Agg(open=8.98, high=9.01, low=8.97, close=8.99, volume=509414, vwap=8.9911, timestamp=1699977600000, transactions=3089, otc=None)
Agg(open=8.985, high=8.995, low=8.925, close=8.925, volume=196055, vwap=8.957, timestamp=1699981200000, transactions=1780, otc=None)
Agg(open=8.92, high=8.99, low=8.92, close=8.98, volume=187390, vwap=8.9704, timestamp=1699984800000, transactions=1562, otc=None)
Agg(open=8.98, high=8.99, low=8.95, close=8.97, volume=219311, vwap=8.9657, timestamp=1699988400000, transactions=1985, otc=None)
Agg(open=8.965, high=9, low=8.94, close=8.97, volume=1078149.0, vwap=8.9668, timestamp=1699992000000, transactions=6015, otc=None)
Agg(open=8.98, high=8.98, low=8.98, close=8.98, volume=79655, vwap=8.98, timestamp=1699995600000, transactions=25, otc=None)
Agg(open=9.01, high=9.1, low=8.97, close=9.09, volume=145960, vwap=9.0348, timestamp=1700056800000, transactions=1381, otc=None)
Agg(open=9.09, high=9.17, low=9.085, close=9.105, volume=435716, vwap=9.1191, timestamp=1700060400000, transactions=3154, otc=None)
Agg(open=9.1, high=9.13, low=9.07, close=9.095, volume=283882, vwap=9.0947, timestamp=1700064000000, transactions=2240, otc=None)
Agg(open=9.099, high=9.1, low=9.02, close=9.025, volume=218245, vwap=9.0465, timestamp=1700067600000, transactions=2099, otc=None)
Agg(open=9.02, high=9.025, low=8.975, close=9, volume=201870, vwap=8.9979, timestamp=1700071200000, transactions=1730, otc=None)
Agg(open=9.005, high=9.02, low=8.97, close=8.97, volume=195747, vwap=8.9999, timestamp=1700074800000, transactions=1553, otc=None)
Agg(open=8.97, high=8.99, low=8.93, close=8.975, volume=768993, vwap=8.954, timestamp=1700078400000, transactions=4315, otc=None)
Agg(open=8.98, high=8.98, low=8.98, close=8.98, volume=136675, vwap=8.98, timestamp=1700082000000, transactions=25, otc=None)
Agg(open=8.94, high=9.03, low=8.915, close=8.915, volume=118908, vwap=8.9716, timestamp=1700143200000, transactions=1470, otc=None)
Agg(open=8.91, high=8.93, low=8.765, close=8.795, volume=217748, vwap=8.8457, timestamp=1700146800000, transactions=2348, otc=None)
Agg(open=8.8, high=8.82, low=8.75, close=8.82, volume=308402, vwap=8.7908, timestamp=1700150400000, transactions=2558, otc=None)
Agg(open=8.815, high=8.835, low=8.78, close=8.83, volume=228520, vwap=8.8106, timestamp=1700154000000, transactions=2026, otc=None)
Agg(open=8.825, high=8.87, low=8.8, close=8.855, volume=265256, vwap=8.8341, timestamp=1700157600000, transactions=2149, otc=None)
Agg(open=8.86, high=8.955, low=8.85, close=8.955, volume=477640, vwap=8.9106, timestamp=1700161200000, transactions=3125, otc=None)
Agg(open=8.955, high=9.02, low=8.94, close=8.965, volume=678188, vwap=8.9725, timestamp=1700164800000, transactions=4703, otc=None)
Agg(open=8.96, high=8.96, low=8.96, close=8.96, volume=52860, vwap=8.96, timestamp=1700168400000, transactions=27, otc=None)
Agg(open=8.96, high=8.96, low=8.96, close=8.96, volume=800, vwap=8.9599, timestamp=1700211600000, transactions=5, otc=None)
Agg(open=8.96, high=8.96, low=8.96, close=8.96, volume=449, vwap=8.96, timestamp=1700215200000, transactions=5, otc=None)
Agg(open=8.97, high=8.97, low=8.97, close=8.97, volume=700, vwap=8.97, timestamp=1700218800000, transactions=7, otc=None)
Agg(open=8.97, high=8.97, low=8.97, close=8.97, volume=2000, vwap=8.97, timestamp=1700226000000, transactions=5, otc=None)
Agg(open=9.01, high=9.12, low=8.96, close=9.0575, volume=353020, vwap=9.0156, timestamp=1700229600000, transactions=1221, otc=None)
Agg(open=9.05, high=9.1, low=9.05, close=9.08, volume=276116, vwap=9.0776, timestamp=1700233200000, transactions=2737, otc=None)
Agg(open=9.075, high=9.075, low=9.025, close=9.045, volume=130039, vwap=9.0502, timestamp=1700236800000, transactions=1650, otc=None)
Agg(open=9.045, high=9.09, low=9.04, close=9.0775, volume=126845, vwap=9.07, timestamp=1700240400000, transactions=1533, otc=None)
Agg(open=9.075, high=9.09, low=9.06, close=9.085, volume=155574, vwap=9.0811, timestamp=1700244000000, transactions=1407, otc=None)
Agg(open=9.08, high=9.12, low=9.07, close=9.095, volume=241392, vwap=9.0931, timestamp=1700247600000, transactions=2203, otc=None)
Agg(open=9.095, high=9.12, low=9.07, close=9.115, volume=658181, vwap=9.096, timestamp=1700251200000, transactions=4554, otc=None)
Agg(open=9.12, high=9.12, low=9.12, close=9.12, volume=118052, vwap=9.12, timestamp=1700254800000, transactions=27, otc=None)
