Agg(open=16.52, high=16.67, low=16.52, close=16.67, volume=2000, vwap=16.6335, timestamp=1684742400000, transactions=20, otc=None)
Agg(open=16.67, high=16.79, low=16.67, close=16.79, volume=2000, vwap=16.7085, timestamp=1684746000000, transactions=20, otc=None)
Agg(open=16.66, high=16.7, low=16.66, close=16.66, volume=2372, vwap=16.6766, timestamp=1684749600000, transactions=26, otc=None)
Agg(open=16.74, high=16.74, low=16.73, close=16.73, volume=3146, vwap=16.7397, timestamp=1684753200000, transactions=5, otc=None)
Agg(open=16.78, high=16.78, low=16.65, close=16.65, volume=1441, vwap=16.7181, timestamp=1684756800000, transactions=18, otc=None)
Agg(open=16.61, high=16.82, low=16.55, close=16.56, volume=154185, vwap=16.7083, timestamp=1684760400000, transactions=1226, otc=None)
Agg(open=16.555, high=16.65, low=16.44, close=16.645, volume=208861, vwap=16.5482, timestamp=1684764000000, transactions=1898, otc=None)
Agg(open=16.65, high=16.75, low=16.635, close=16.66, volume=118119, vwap=16.6921, timestamp=1684767600000, transactions=1610, otc=None)
Agg(open=16.65, high=16.67, low=16.53, close=16.56, volume=75200, vwap=16.5766, timestamp=1684771200000, transactions=1188, otc=None)
Agg(open=16.57, high=16.64, low=16.57, close=16.595, volume=79150, vwap=16.6131, timestamp=1684774800000, transactions=1121, otc=None)
Agg(open=16.595, high=16.63, low=16.55, close=16.615, volume=66136, vwap=16.5946, timestamp=1684778400000, transactions=937, otc=None)
Agg(open=16.62, high=16.645, low=16.51, close=16.51, volume=254510, vwap=16.574, timestamp=1684782000000, transactions=3041, otc=None)
Agg(open=16.51, high=16.51, low=16.51, close=16.51, volume=3441, vwap=16.51, timestamp=1684785600000, transactions=3, otc=None)
Agg(open=16.26, high=16.28, low=16.23, close=16.24, volume=1552, vwap=16.2672, timestamp=1684828800000, transactions=18, otc=None)
Agg(open=16.26, high=16.3, low=16.26, close=16.3, volume=3048, vwap=16.2819, timestamp=1684832400000, transactions=32, otc=None)
Agg(open=16.28, high=16.39, low=16.28, close=16.31, volume=3584, vwap=16.3277, timestamp=1684836000000, transactions=46, otc=None)
Agg(open=16.41, high=16.58, low=16.4, close=16.5, volume=7505, vwap=16.471, timestamp=1684839600000, transactions=63, otc=None)
Agg(open=16.38, high=16.42, low=16.33, close=16.33, volume=2198, vwap=16.3901, timestamp=1684843200000, transactions=26, otc=None)
Agg(open=16.38, high=16.43, low=16.16, close=16.3, volume=121083, vwap=16.2851, timestamp=1684846800000, transactions=1205, otc=None)
Agg(open=16.3, high=16.34, low=16.13, close=16.15, volume=110855, vwap=16.207, timestamp=1684850400000, transactions=1254, otc=None)
Agg(open=16.16, high=16.385, low=16.13, close=16.365, volume=142937, vwap=16.2119, timestamp=1684854000000, transactions=1608, otc=None)
Agg(open=16.37, high=16.435, low=16.185, close=16.2, volume=79554, vwap=16.2815, timestamp=1684857600000, transactions=1185, otc=None)
Agg(open=16.2, high=16.205, low=16.1, close=16.135, volume=79120, vwap=16.1553, timestamp=1684861200000, transactions=1126, otc=None)
Agg(open=16.13, high=16.14, low=16.04, close=16.09, volume=84456, vwap=16.0883, timestamp=1684864800000, transactions=1173, otc=None)
Agg(open=16.09, high=16.11, low=16.015, close=16.04, volume=230714, vwap=16.0542, timestamp=1684868400000, transactions=2033, otc=None)
Agg(open=16.04, high=16.04, low=16.04, close=16.04, volume=9539, vwap=16.04, timestamp=1684872000000, transactions=8, otc=None)
Agg(open=15.81, high=15.81, low=15.8, close=15.8, volume=526, vwap=15.8021, timestamp=1684915200000, transactions=8, otc=None)
Agg(open=15.79, high=15.85, low=15.71, close=15.73, volume=1302, vwap=15.7424, timestamp=1684918800000, transactions=18, otc=None)
Agg(open=15.73, high=15.73, low=15.7, close=15.71, volume=3155, vwap=15.7113, timestamp=1684922400000, transactions=38, otc=None)
Agg(open=15.71, high=15.85, low=15.71, close=15.79, volume=1497, vwap=15.7868, timestamp=1684926000000, transactions=16, otc=None)
Agg(open=15.84, high=15.85, low=15.8, close=15.8, volume=954, vwap=15.8204, timestamp=1684929600000, transactions=8, otc=None)
Agg(open=15.84, high=15.92, low=15.75, close=15.88, volume=396816, vwap=15.8411, timestamp=1684933200000, transactions=3614, otc=None)
Agg(open=15.88, high=16.02, low=15.88, close=16, volume=170636, vwap=15.9158, timestamp=1684936800000, transactions=1786, otc=None)
Agg(open=16, high=16.14, low=15.99, close=16.06, volume=99942, vwap=16.0856, timestamp=1684940400000, transactions=1419, otc=None)
Agg(open=16.0695, high=16.1, low=15.99, close=16.025, volume=72865, vwap=16.0573, timestamp=1684944000000, transactions=870, otc=None)
Agg(open=16.02, high=16.02, low=15.985, close=15.995, volume=53408, vwap=15.998, timestamp=1684947600000, transactions=695, otc=None)
Agg(open=16, high=16.03, low=15.985, close=16.005, volume=76582, vwap=16, timestamp=1684951200000, transactions=914, otc=None)
Agg(open=16, high=16.05, low=15.995, close=16.01, volume=168054, vwap=16.0147, timestamp=1684954800000, transactions=1842, otc=None)
Agg(open=15.9, high=15.93, low=15.9, close=15.92, volume=1715, vwap=15.9198, timestamp=1685001600000, transactions=21, otc=None)
Agg(open=15.91, high=15.95, low=15.9, close=15.95, volume=1750, vwap=15.9287, timestamp=1685005200000, transactions=13, otc=None)
Agg(open=15.93, high=15.94, low=15.93, close=15.93, volume=600, vwap=15.9317, timestamp=1685008800000, transactions=6, otc=None)
Agg(open=15.92, high=15.97, low=15.92, close=15.94, volume=2259, vwap=15.9525, timestamp=1685016000000, transactions=12, otc=None)
Agg(open=15.94, high=16.04, low=15.85, close=16.015, volume=369393, vwap=15.9549, timestamp=1685019600000, transactions=3625, otc=None)
Agg(open=16.02, high=16.03, low=15.855, close=15.865, volume=267396, vwap=15.9685, timestamp=1685023200000, transactions=2821, otc=None)
Agg(open=15.865, high=15.88, low=15.56, close=15.595, volume=151478, vwap=15.7363, timestamp=1685026800000, transactions=1434, otc=None)
Agg(open=15.58, high=15.76, low=15.57, close=15.7, volume=118019, vwap=15.6699, timestamp=1685030400000, transactions=1299, otc=None)
Agg(open=15.71, high=15.76, low=15.7, close=15.73, volume=69008, vwap=15.7243, timestamp=1685034000000, transactions=794, otc=None)
Agg(open=15.73, high=15.76, low=15.7, close=15.71, volume=55317, vwap=15.7215, timestamp=1685037600000, transactions=717, otc=None)
Agg(open=15.71, high=15.73, low=15.58, close=15.59, volume=280998, vwap=15.6557, timestamp=1685041200000, transactions=2819, otc=None)
Agg(open=15.59, high=15.59, low=15.59, close=15.59, volume=6284, vwap=15.59, timestamp=1685044800000, transactions=6, otc=None)
Agg(open=15.68, high=15.69, low=15.66, close=15.66, volume=3000, vwap=15.6753, timestamp=1685088000000, transactions=21, otc=None)
Agg(open=15.69, high=15.69, low=15.69, close=15.69, volume=1000, vwap=15.69, timestamp=1685091600000, transactions=2, otc=None)
Agg(open=15.79, high=15.88, low=15.79, close=15.87, volume=3201, vwap=15.8471, timestamp=1685098800000, transactions=30, otc=None)
Agg(open=15.88, high=15.88, low=15.77, close=15.79, volume=4179, vwap=15.8097, timestamp=1685102400000, transactions=7, otc=None)
Agg(open=15.85, high=15.95, low=15.63, close=15.675, volume=139864, vwap=15.7475, timestamp=1685106000000, transactions=1343, otc=None)
Agg(open=15.68, high=15.775, low=15.66, close=15.73, volume=107466, vwap=15.7216, timestamp=1685109600000, transactions=1333, otc=None)
Agg(open=15.73, high=15.77, low=15.64, close=15.75, volume=88066, vwap=15.704, timestamp=1685113200000, transactions=1064, otc=None)
