Agg(open=16, high=16, low=15.96, close=15.96, volume=1160, vwap=15.9947, timestamp=1696233600000, transactions=10, otc=None)
Agg(open=15.92, high=15.92, low=15.69, close=15.69, volume=3735, vwap=15.8165, timestamp=1696237200000, transactions=27, otc=None)
Agg(open=15.71, high=15.75, low=15.65, close=15.65, volume=7710, vwap=15.7043, timestamp=1696240800000, transactions=72, otc=None)
Agg(open=15.76, high=15.76, low=15.74, close=15.74, volume=525, vwap=15.7543, timestamp=1696244400000, transactions=4, otc=None)
Agg(open=15.689, high=15.83, low=15.6701, close=15.83, volume=6853, vwap=15.7553, timestamp=1696248000000, transactions=52, otc=None)
Agg(open=15.78, high=16.1012, low=15.56, close=15.615, volume=444236, vwap=15.7727, timestamp=1696251600000, transactions=3484, otc=None)
Agg(open=15.615, high=15.84, low=15.61, close=15.725, volume=355970, vwap=15.7346, timestamp=1696255200000, transactions=3693, otc=None)
Agg(open=15.722, high=15.825, low=15.65, close=15.755, volume=549334, vwap=15.7147, timestamp=1696258800000, transactions=5081, otc=None)
Agg(open=15.755, high=15.8, low=15.58, close=15.74, volume=117925, vwap=15.7095, timestamp=1696262400000, transactions=1360, otc=None)
Agg(open=15.735, high=15.8173, low=15.55, close=15.565, volume=122121, vwap=15.7106, timestamp=1696266000000, transactions=1099, otc=None)
Agg(open=15.565, high=15.65, low=15.5, close=15.61, volume=248223, vwap=15.5792, timestamp=1696269600000, transactions=1873, otc=None)
Agg(open=15.61, high=15.615, low=15.43, close=15.435, volume=528596, vwap=15.4853, timestamp=1696273200000, transactions=4242, otc=None)
Agg(open=15.44, high=15.44, low=15.44, close=15.44, volume=370, vwap=15.44, timestamp=1696276800000, transactions=1, otc=None)
Agg(open=15.3208, high=15.3208, low=15.3208, close=15.3208, volume=1000, vwap=15.3208, timestamp=1696280400000, transactions=1, otc=None)
Agg(open=15.52, high=15.52, low=15.44, close=15.44, volume=950, vwap=15.4798, timestamp=1696320000000, transactions=5, otc=None)
Agg(open=15.46, high=15.5, low=15.46, close=15.5, volume=1100, vwap=15.4636, timestamp=1696323600000, transactions=3, otc=None)
Agg(open=15.49, high=15.49, low=15.49, close=15.49, volume=300, vwap=15.49, timestamp=1696327200000, transactions=1, otc=None)
Agg(open=15.49, high=15.49, low=15.29, close=15.29, volume=1200, vwap=15.3233, timestamp=1696330800000, transactions=2, otc=None)
Agg(open=15.29, high=15.33, low=15.22, close=15.22, volume=5213, vwap=15.2814, timestamp=1696334400000, transactions=31, otc=None)
Agg(open=15.3, high=15.46, low=15.195, close=15.215, volume=217364, vwap=15.2998, timestamp=1696338000000, transactions=1937, otc=None)
Agg(open=15.21, high=15.31, low=15.16, close=15.29, volume=203078, vwap=15.2543, timestamp=1696341600000, transactions=1960, otc=None)
Agg(open=15.28, high=15.31, low=14.975, close=15, volume=196579, vwap=15.1477, timestamp=1696345200000, transactions=1823, otc=None)
Agg(open=14.995, high=15.17, low=14.995, close=15.09, volume=299122, vwap=15.0844, timestamp=1696348800000, transactions=2712, otc=None)
Agg(open=15.09, high=15.145, low=14.975, close=15.02, volume=194489, vwap=15.0457, timestamp=1696352400000, transactions=2066, otc=None)
Agg(open=15.02, high=15.04, low=14.925, close=15.025, volume=208576, vwap=14.9689, timestamp=1696356000000, transactions=2423, otc=None)
Agg(open=15.03, high=15.2, low=15.03, close=15.16, volume=402051, vwap=15.151, timestamp=1696359600000, transactions=3176, otc=None)
Agg(open=15.16, high=15.16, low=15, close=15, volume=8316, vwap=15.1542, timestamp=1696363200000, transactions=6, otc=None)
Agg(open=14.8, high=14.8, low=14.8, close=14.8, volume=100, vwap=14.8, timestamp=1696374000000, transactions=1, otc=None)
Agg(open=14.9, high=14.9, low=14.9, close=14.9, volume=1000, vwap=14.9, timestamp=1696406400000, transactions=6, otc=None)
Agg(open=14.96, high=14.96, low=14.9, close=14.95, volume=5265, vwap=14.9326, timestamp=1696413600000, transactions=29, otc=None)
Agg(open=14.91, high=14.92, low=14.91, close=14.91, volume=1432, vwap=14.9111, timestamp=1696417200000, transactions=9, otc=None)
Agg(open=14.9, high=14.97, low=14.89, close=14.95, volume=3167, vwap=14.9298, timestamp=1696420800000, transactions=18, otc=None)
Agg(open=14.97, high=14.98, low=14.59, close=14.66, volume=253442, vwap=14.7397, timestamp=1696424400000, transactions=2067, otc=None)
Agg(open=14.67, high=14.69, low=14.45, close=14.625, volume=276292, vwap=14.5522, timestamp=1696428000000, transactions=2802, otc=None)
Agg(open=14.635, high=14.635, low=14.52, close=14.575, volume=189092, vwap=14.5795, timestamp=1696431600000, transactions=2006, otc=None)
Agg(open=14.571, high=14.79, low=14.56, close=14.775, volume=77904, vwap=14.6883, timestamp=1696435200000, transactions=902, otc=None)
