Agg(open=15.15, high=15.15, low=15.15, close=15.15, volume=138, vwap=15.1783, timestamp=1685448000000, transactions=2, otc=None)
Agg(open=15.46, high=15.7953, low=15.11, close=15.11, volume=132514, vwap=15.5186, timestamp=1685451600000, transactions=1099, otc=None)
Agg(open=15.1, high=15.1, low=14.85, close=14.96, volume=140118, vwap=14.9693, timestamp=1685455200000, transactions=1885, otc=None)
Agg(open=14.97, high=15.075, low=14.81, close=15.004, volume=83885, vwap=14.968, timestamp=1685458800000, transactions=1451, otc=None)
Agg(open=15.01, high=15.05, low=14.91, close=15.02, volume=64220, vwap=14.98, timestamp=1685462400000, transactions=1164, otc=None)
Agg(open=15.02, high=15.1617, low=14.995, close=15.14, volume=53350, vwap=15.1061, timestamp=1685466000000, transactions=1010, otc=None)
Agg(open=15.14, high=15.4, low=15.102, close=15.34, volume=61367, vwap=15.2685, timestamp=1685469600000, transactions=1177, otc=None)
Agg(open=15.35, high=15.37, low=15.25, close=15.3, volume=141475, vwap=15.3082, timestamp=1685473200000, transactions=2229, otc=None)
Agg(open=15.3, high=15.3, low=15.3, close=15.3, volume=11731, vwap=15.3, timestamp=1685476800000, transactions=9, otc=None)
Agg(open=15.22, high=15.54, low=15.22, close=15.5005, volume=47256, vwap=15.3689, timestamp=1685538000000, transactions=511, otc=None)
Agg(open=15.5, high=15.66, low=15.36, close=15.615, volume=106293, vwap=15.5294, timestamp=1685541600000, transactions=1415, otc=None)
Agg(open=15.6071, high=15.8, low=15.49, close=15.51, volume=68296, vwap=15.6405, timestamp=1685545200000, transactions=1430, otc=None)
Agg(open=15.5075, high=15.5075, low=15.275, close=15.31, volume=74919, vwap=15.3772, timestamp=1685548800000, transactions=1499, otc=None)
Agg(open=15.309, high=15.47, low=15.3066, close=15.45, volume=67580, vwap=15.4042, timestamp=1685552400000, transactions=1053, otc=None)
Agg(open=15.48, high=15.53, low=15.415, close=15.42, volume=80777, vwap=15.4615, timestamp=1685556000000, transactions=1380, otc=None)
Agg(open=15.44, high=15.44, low=15.27, close=15.37, volume=242604, vwap=15.354, timestamp=1685559600000, transactions=3405, otc=None)
Agg(open=15.39, high=15.39, low=15.39, close=15.39, volume=16567, vwap=15.39, timestamp=1685563200000, transactions=10, otc=None)
Agg(open=15.55, high=15.55, low=15.55, close=15.55, volume=1000, vwap=15.5502, timestamp=1685606400000, transactions=4, otc=None)
Agg(open=15.33, high=15.38, low=15.14, close=15.17, volume=65538, vwap=15.2723, timestamp=1685624400000, transactions=802, otc=None)
Agg(open=15.17, high=15.28, low=15.08, close=15.16, volume=95395, vwap=15.1857, timestamp=1685628000000, transactions=1682, otc=None)
Agg(open=15.17, high=15.375, low=15.1, close=15.31, volume=68325, vwap=15.2441, timestamp=1685631600000, transactions=1354, otc=None)
Agg(open=15.31, high=15.63, low=15.31, close=15.6, volume=36788, vwap=15.5301, timestamp=1685635200000, transactions=890, otc=None)
Agg(open=15.59, high=15.6914, low=15.54, close=15.64, volume=52014, vwap=15.6307, timestamp=1685638800000, transactions=897, otc=None)
Agg(open=15.63, high=15.66, low=15.56, close=15.61, volume=47431, vwap=15.5971, timestamp=1685642400000, transactions=841, otc=None)
Agg(open=15.6099, high=15.69, low=15.505, close=15.53, volume=99998, vwap=15.5847, timestamp=1685646000000, transactions=1847, otc=None)
Agg(open=15.53, high=15.53, low=15.53, close=15.53, volume=16499, vwap=15.53, timestamp=1685649600000, transactions=14, otc=None)
Agg(open=15.5, high=15.5, low=15.5, close=15.5, volume=200, vwap=15.5, timestamp=1685656800000, transactions=2, otc=None)
Agg(open=15.6, high=15.6, low=15.6, close=15.6, volume=101, vwap=15.5999, timestamp=1685660400000, transactions=2, otc=None)
Agg(open=15.1, high=15.1, low=15.1, close=15.1, volume=187, vwap=15.1241, timestamp=1685707200000, transactions=5, otc=None)
Agg(open=15.79, high=16.189, low=15.61, close=15.64, volume=120923, vwap=15.9576, timestamp=1685710800000, transactions=923, otc=None)
Agg(open=15.64, high=16.02, low=15.61, close=16, volume=93580, vwap=15.8326, timestamp=1685714400000, transactions=1328, otc=None)
Agg(open=16.01, high=16.08, low=15.89, close=15.95, volume=67345, vwap=15.9925, timestamp=1685718000000, transactions=1035, otc=None)
Agg(open=15.955, high=15.955, low=15.77, close=15.835, volume=50868, vwap=15.8284, timestamp=1685721600000, transactions=925, otc=None)
Agg(open=15.83, high=15.97, low=15.815, close=15.96, volume=47774, vwap=15.9069, timestamp=1685725200000, transactions=940, otc=None)
Agg(open=15.95, high=15.96, low=15.85, close=15.925, volume=48034, vwap=15.9036, timestamp=1685728800000, transactions=1129, otc=None)
Agg(open=15.922, high=16.085, low=15.91, close=16.03, volume=163458, vwap=16.0046, timestamp=1685732400000, transactions=2591, otc=None)
Agg(open=16.01, high=16.01, low=16.01, close=16.01, volume=6362, vwap=16.01, timestamp=1685736000000, transactions=6, otc=None)
Agg(open=15.81, high=15.81, low=15.81, close=15.81, volume=155, vwap=15.81, timestamp=1685746800000, transactions=1, otc=None)
