Agg(open=17, high=17, low=16.69, close=16.75, volume=61758, vwap=16.7552, timestamp=1684155600000, transactions=974, otc=None)
Agg(open=16.745, high=16.7973, low=16.61, close=16.675, volume=91440, vwap=16.715, timestamp=1684159200000, transactions=1492, otc=None)
Agg(open=16.67, high=16.7, low=16.6, close=16.63, volume=102401, vwap=16.6649, timestamp=1684162800000, transactions=1592, otc=None)
Agg(open=16.625, high=16.78, low=16.6, close=16.78, volume=91685, vwap=16.6865, timestamp=1684166400000, transactions=1441, otc=None)
Agg(open=16.785, high=16.815, low=16.68, close=16.74, volume=107506, vwap=16.756, timestamp=1684170000000, transactions=1715, otc=None)
Agg(open=16.75, high=16.805, low=16.75, close=16.77, volume=135668, vwap=16.7797, timestamp=1684173600000, transactions=1783, otc=None)
Agg(open=16.775, high=16.85, low=16.77, close=16.81, volume=379912, vwap=16.8044, timestamp=1684177200000, transactions=4652, otc=None)
Agg(open=16.81, high=16.81, low=16.81, close=16.81, volume=8723, vwap=16.81, timestamp=1684180800000, transactions=18, otc=None)
Agg(open=16.53, high=16.53, low=16.53, close=16.53, volume=180, vwap=16.53, timestamp=1684238400000, transactions=1, otc=None)
Agg(open=17.06, high=17.07, low=16.73, close=16.8, volume=85343, vwap=16.8065, timestamp=1684242000000, transactions=1156, otc=None)
Agg(open=16.805, high=16.805, low=16.63, close=16.63, volume=133839, vwap=16.7155, timestamp=1684245600000, transactions=1602, otc=None)
Agg(open=16.635, high=16.805, low=16.59, close=16.775, volume=157347, vwap=16.6735, timestamp=1684249200000, transactions=1660, otc=None)
Agg(open=16.78, high=16.81, low=16.77, close=16.785, volume=80743, vwap=16.795, timestamp=1684252800000, transactions=1105, otc=None)
Agg(open=16.79, high=16.855, low=16.64, close=16.645, volume=156286, vwap=16.737, timestamp=1684256400000, transactions=2139, otc=None)
Agg(open=16.64, high=16.76, low=16.59, close=16.76, volume=191464, vwap=16.6336, timestamp=1684260000000, transactions=1900, otc=None)
Agg(open=16.76, high=16.86, low=16.75, close=16.78, volume=399163, vwap=16.8063, timestamp=1684263600000, transactions=4661, otc=None)
Agg(open=16.78, high=18, low=16.78, close=17.5, volume=59294, vwap=17.1878, timestamp=1684267200000, transactions=157, otc=None)
Agg(open=18, high=18, low=17.5, close=17.79, volume=16315, vwap=17.7167, timestamp=1684270800000, transactions=27, otc=None)
Agg(open=17.79, high=17.9, low=17.79, close=17.9, volume=4962, vwap=17.8853, timestamp=1684274400000, transactions=10, otc=None)
Agg(open=17.99, high=18.29, low=17.99, close=18.29, volume=875, vwap=18.0795, timestamp=1684278000000, transactions=8, otc=None)
Agg(open=18.3, high=18.3, low=18.3, close=18.3, volume=100, vwap=18.3, timestamp=1684310400000, transactions=1, otc=None)
Agg(open=18.25, high=18.25, low=18.25, close=18.25, volume=140, vwap=18.2525, timestamp=1684317600000, transactions=3, otc=None)
Agg(open=18.15, high=18.26, low=18.05, close=18.1, volume=2584, vwap=18.1796, timestamp=1684321200000, transactions=26, otc=None)
Agg(open=18.2, high=18.2, low=17.5, close=17.5, volume=8159, vwap=17.9459, timestamp=1684324800000, transactions=46, otc=None)
Agg(open=17.74, high=17.75, low=17.22, close=17.2695, volume=302425, vwap=17.4535, timestamp=1684328400000, transactions=2200, otc=None)
Agg(open=17.265, high=17.57, low=17.18, close=17.565, volume=275501, vwap=17.3336, timestamp=1684332000000, transactions=3428, otc=None)
Agg(open=17.56, high=17.63, low=17.41, close=17.52, volume=275485, vwap=17.5294, timestamp=1684335600000, transactions=3606, otc=None)
Agg(open=17.52, high=17.71, low=17.485, close=17.68, volume=323251, vwap=17.5968, timestamp=1684339200000, transactions=2475, otc=None)
Agg(open=17.68, high=17.785, low=17.64, close=17.76, volume=172357, vwap=17.7305, timestamp=1684342800000, transactions=2334, otc=None)
Agg(open=17.75, high=17.78, low=17.6543, close=17.66, volume=130277, vwap=17.7089, timestamp=1684346400000, transactions=2153, otc=None)
Agg(open=17.67, high=17.77, low=17.625, close=17.76, volume=400931, vwap=17.701, timestamp=1684350000000, transactions=4748, otc=None)
Agg(open=17.76, high=17.76, low=17.76, close=17.76, volume=23256, vwap=17.76, timestamp=1684353600000, transactions=28, otc=None)
Agg(open=18, high=18, low=17.76, close=17.76, volume=540, vwap=17.8915, timestamp=1684411200000, transactions=6, otc=None)
Agg(open=17.7, high=18.07, low=17.52, close=18.0315, volume=243025, vwap=17.8447, timestamp=1684414800000, transactions=2064, otc=None)
Agg(open=18.045, high=18.245, low=18.035, close=18.155, volume=276300, vwap=18.1515, timestamp=1684418400000, transactions=3265, otc=None)
Agg(open=18.16, high=18.57, low=18.16, close=18.51, volume=239899, vwap=18.3833, timestamp=1684422000000, transactions=3030, otc=None)
Agg(open=18.505, high=18.595, low=18.45, close=18.46, volume=314052, vwap=18.515, timestamp=1684425600000, transactions=3296, otc=None)
Agg(open=18.46, high=18.485, low=18.2, close=18.22, volume=154872, vwap=18.3213, timestamp=1684429200000, transactions=1991, otc=None)
Agg(open=18.22, high=18.41, low=18.2, close=18.38, volume=166402, vwap=18.2979, timestamp=1684432800000, transactions=2309, otc=None)
Agg(open=18.385, high=18.505, low=18.345, close=18.415, volume=473678, vwap=18.4138, timestamp=1684436400000, transactions=5787, otc=None)
Agg(open=18.42, high=18.62, low=18.42, close=18.55, volume=28914, vwap=18.423, timestamp=1684440000000, transactions=18, otc=None)
Agg(open=18.55, high=18.6, low=18.25, close=18.25, volume=2001, vwap=18.4399, timestamp=1684443600000, transactions=3, otc=None)
Agg(open=18.61, high=18.7, low=18.48, close=18.545, volume=150370, vwap=18.5965, timestamp=1684501200000, transactions=1545, otc=None)
Agg(open=18.545, high=18.71, low=18.465, close=18.705, volume=177222, vwap=18.563, timestamp=1684504800000, transactions=2509, otc=None)
Agg(open=18.705, high=18.73, low=18.5815, close=18.64, volume=194091, vwap=18.6484, timestamp=1684508400000, transactions=3073, otc=None)
Agg(open=18.64, high=18.675, low=18.505, close=18.555, volume=157247, vwap=18.6023, timestamp=1684512000000, transactions=2346, otc=None)
Agg(open=18.56, high=18.62, low=18.5313, close=18.575, volume=150158, vwap=18.5711, timestamp=1684515600000, transactions=2079, otc=None)
Agg(open=18.58, high=18.73, low=18.54, close=18.705, volume=181570, vwap=18.6185, timestamp=1684519200000, transactions=2795, otc=None)
Agg(open=18.71, high=18.735, low=18.605, close=18.62, volume=326936, vwap=18.6528, timestamp=1684522800000, transactions=5021, otc=None)
Agg(open=18.62, high=18.74, low=18.62, close=18.74, volume=9129, vwap=18.6213, timestamp=1684526400000, transactions=21, otc=None)
Agg(open=18.73, high=18.74, low=18.73, close=18.74, volume=775, vwap=18.7375, timestamp=1684533600000, transactions=5, otc=None)
