Agg(open=22.05, high=22.05, low=21.75, close=21.75, volume=5050, vwap=21.9915, timestamp=1685962800000, transactions=14, otc=None)
Agg(open=21.9, high=22.0136, low=21.88, close=21.9, volume=2389, vwap=21.9778, timestamp=1685966400000, transactions=22, otc=None)
Agg(open=21.85, high=21.9, low=21.26, close=21.355, volume=301682, vwap=21.5666, timestamp=1685970000000, transactions=2518, otc=None)
Agg(open=21.36, high=21.4399, low=21.005, close=21.296, volume=337750, vwap=21.1636, timestamp=1685973600000, transactions=3705, otc=None)
Agg(open=21.29, high=21.56, low=21.255, close=21.515, volume=229224, vwap=21.4843, timestamp=1685977200000, transactions=2710, otc=None)
Agg(open=21.515, high=21.62, low=21.365, close=21.6, volume=196000, vwap=21.4698, timestamp=1685980800000, transactions=2420, otc=None)
Agg(open=21.61, high=21.67, low=21.41, close=21.465, volume=204288, vwap=21.5291, timestamp=1685984400000, transactions=2423, otc=None)
Agg(open=21.469, high=21.54, low=21.31, close=21.375, volume=263851, vwap=21.4448, timestamp=1685988000000, transactions=3455, otc=None)
Agg(open=21.38, high=21.42, low=21.305, close=21.37, volume=456060, vwap=21.3649, timestamp=1685991600000, transactions=6202, otc=None)
Agg(open=21.36, high=21.38, low=21.36, close=21.38, volume=9882, vwap=21.3604, timestamp=1685995200000, transactions=15, otc=None)
Agg(open=21.4, high=21.4, low=21.4, close=21.4, volume=120, vwap=21.4, timestamp=1685998800000, transactions=1, otc=None)
Agg(open=21.31, high=21.39, low=21.07, close=21.232, volume=188469, vwap=21.2679, timestamp=1686056400000, transactions=1892, otc=None)
Agg(open=21.25, high=21.5, low=21.23, close=21.44, volume=334225, vwap=21.3924, timestamp=1686060000000, transactions=3101, otc=None)
Agg(open=21.45, high=21.72, low=21.39, close=21.64, volume=267233, vwap=21.5612, timestamp=1686063600000, transactions=3074, otc=None)
Agg(open=21.635, high=21.68, low=21.56, close=21.62, volume=222476, vwap=21.6383, timestamp=1686067200000, transactions=2726, otc=None)
Agg(open=21.62, high=21.72, low=21.55, close=21.72, volume=182344, vwap=21.6354, timestamp=1686070800000, transactions=2374, otc=None)
Agg(open=21.72, high=21.895, low=21.7016, close=21.835, volume=226256, vwap=21.7993, timestamp=1686074400000, transactions=3189, otc=None)
Agg(open=21.84, high=21.93, low=21.82, close=21.925, volume=419210, vwap=21.88, timestamp=1686078000000, transactions=5053, otc=None)
Agg(open=21.92, high=21.96, low=21.41, close=21.96, volume=36415, vwap=21.9153, timestamp=1686081600000, transactions=37, otc=None)
Agg(open=21.9599, high=21.96, low=21.9599, close=21.96, volume=600, vwap=21.96, timestamp=1686088800000, transactions=2, otc=None)
Agg(open=21.78, high=21.78, low=21.78, close=21.78, volume=100, vwap=21.78, timestamp=1686128400000, transactions=1, otc=None)
Agg(open=21.78, high=21.92, low=21.78, close=21.92, volume=518, vwap=21.8174, timestamp=1686132000000, transactions=7, otc=None)
Agg(open=21.94, high=21.95, low=21.94, close=21.95, volume=700, vwap=21.9471, timestamp=1686135600000, transactions=5, otc=None)
Agg(open=21.94, high=22.01, low=21.9, close=21.99, volume=6805, vwap=21.9523, timestamp=1686139200000, transactions=39, otc=None)
Agg(open=22.0099, high=23.16, low=22.0099, close=23.1293, volume=546270, vwap=22.7582, timestamp=1686142800000, transactions=3903, otc=None)
Agg(open=23.125, high=23.21, low=22.57, close=22.755, volume=645658, vwap=22.967, timestamp=1686146400000, transactions=6596, otc=None)
Agg(open=22.76, high=23.1, low=22.76, close=22.925, volume=296904, vwap=22.941, timestamp=1686150000000, transactions=3617, otc=None)
Agg(open=22.92, high=23, low=22.63, close=22.8, volume=223171, vwap=22.8132, timestamp=1686153600000, transactions=3277, otc=None)
Agg(open=22.79, high=22.79, low=22.45, close=22.62, volume=232208, vwap=22.6224, timestamp=1686157200000, transactions=2819, otc=None)
Agg(open=22.615, high=22.765, low=22.615, close=22.735, volume=375458, vwap=22.6879, timestamp=1686160800000, transactions=3057, otc=None)
Agg(open=22.74, high=22.925, low=22.66, close=22.675, volume=612843, vwap=22.7328, timestamp=1686164400000, transactions=7579, otc=None)
Agg(open=22.67, high=22.77, low=22.5918, close=22.74, volume=29028, vwap=22.6769, timestamp=1686168000000, transactions=24, otc=None)
Agg(open=22.79, high=22.79, low=22.79, close=22.79, volume=500, vwap=22.79, timestamp=1686175200000, transactions=1, otc=None)
Agg(open=22.74, high=22.74, low=22.74, close=22.74, volume=863, vwap=22.7407, timestamp=1686178800000, transactions=4, otc=None)
Agg(open=22.74, high=22.74, low=22.74, close=22.74, volume=210, vwap=22.7238, timestamp=1686211200000, transactions=2, otc=None)
Agg(open=22.74, high=23.17, low=22.74, close=22.95, volume=1512, vwap=22.9636, timestamp=1686225600000, transactions=7, otc=None)
Agg(open=23, high=23, low=22.5699, close=22.84, volume=103124, vwap=22.7002, timestamp=1686229200000, transactions=1577, otc=None)
Agg(open=22.845, high=23.04, low=22.73, close=22.91, volume=188504, vwap=22.881, timestamp=1686232800000, transactions=2510, otc=None)
Agg(open=22.92, high=23.05, low=22.875, close=22.995, volume=143296, vwap=22.9782, timestamp=1686236400000, transactions=2448, otc=None)
Agg(open=22.975, high=23.06, low=22.66, close=22.73, volume=226404, vwap=22.8646, timestamp=1686240000000, transactions=2836, otc=None)
Agg(open=22.72, high=22.945, low=22.7, close=22.8, volume=130009, vwap=22.8291, timestamp=1686243600000, transactions=2355, otc=None)
Agg(open=22.81, high=22.855, low=22.77, close=22.805, volume=99603, vwap=22.8274, timestamp=1686247200000, transactions=2109, otc=None)
Agg(open=22.81, high=22.95, low=22.79, close=22.82, volume=345588, vwap=22.8512, timestamp=1686250800000, transactions=4973, otc=None)
Agg(open=22.82, high=22.82, low=22.6, close=22.6, volume=19708, vwap=22.8079, timestamp=1686254400000, transactions=18, otc=None)
Agg(open=22.3, high=22.384, low=22.3, close=22.384, volume=900, vwap=22.3467, timestamp=1686258000000, transactions=2, otc=None)
Agg(open=22.83, high=22.83, low=22.83, close=22.83, volume=230, vwap=22.83, timestamp=1686297600000, transactions=2, otc=None)
Agg(open=22.9, high=22.9, low=22.9, close=22.9, volume=499, vwap=22.9, timestamp=1686304800000, transactions=6, otc=None)
Agg(open=23.2, high=23.29, low=23, close=23, volume=2329, vwap=23.1912, timestamp=1686308400000, transactions=14, otc=None)
Agg(open=23.01, high=23.3, low=23.01, close=23.22, volume=5398, vwap=23.2306, timestamp=1686312000000, transactions=36, otc=None)
Agg(open=23.35, high=23.41, low=23, close=23.07, volume=180725, vwap=23.1491, timestamp=1686315600000, transactions=1824, otc=None)
Agg(open=23.07, high=23.38, low=23.07, close=23.105, volume=222910, vwap=23.2461, timestamp=1686319200000, transactions=3199, otc=None)
Agg(open=23.095, high=23.26, low=23.08, close=23.21, volume=169461, vwap=23.1618, timestamp=1686322800000, transactions=1840, otc=None)
Agg(open=23.215, high=23.25, low=23.0502, close=23.09, volume=156503, vwap=23.1411, timestamp=1686326400000, transactions=2016, otc=None)
Agg(open=23.095, high=23.15, low=23.04, close=23.15, volume=138924, vwap=23.1001, timestamp=1686330000000, transactions=1880, otc=None)
Agg(open=23.15, high=23.19, low=23.11, close=23.19, volume=110672, vwap=23.1442, timestamp=1686333600000, transactions=1830, otc=None)
Agg(open=23.19, high=23.225, low=23.145, close=23.22, volume=415836, vwap=23.1917, timestamp=1686337200000, transactions=5284, otc=None)
Agg(open=23.2, high=23.2, low=23, close=23.19, volume=31097, vwap=23.187, timestamp=1686340800000, transactions=42, otc=None)
Agg(open=23.01, high=23.01, low=22.75, close=22.75, volume=2282, vwap=22.8117, timestamp=1686344400000, transactions=8, otc=None)
