Agg(open=12.98, high=13.15, low=12.98, close=13.15, volume=25712, vwap=13.0771, timestamp=1689598800000, transactions=549, otc=None)
Agg(open=13.15, high=13.285, low=13.125, close=13.26, volume=65922, vwap=13.1856, timestamp=1689602400000, transactions=1036, otc=None)
Agg(open=13.265, high=13.32, low=13.225, close=13.285, volume=47688, vwap=13.2635, timestamp=1689606000000, transactions=884, otc=None)
Agg(open=13.285, high=13.315, low=13.27, close=13.28, volume=46492, vwap=13.2951, timestamp=1689609600000, transactions=807, otc=None)
Agg(open=13.28, high=13.32, low=13.28, close=13.29, volume=58086, vwap=13.2961, timestamp=1689613200000, transactions=834, otc=None)
Agg(open=13.29, high=13.35, low=13.28, close=13.285, volume=69956, vwap=13.3183, timestamp=1689616800000, transactions=1109, otc=None)
Agg(open=13.285, high=13.315, low=13.25, close=13.28, volume=299555, vwap=13.2862, timestamp=1689620400000, transactions=2793, otc=None)
Agg(open=13.28, high=13.28, low=13.28, close=13.28, volume=17582, vwap=13.28, timestamp=1689624000000, transactions=25, otc=None)
Agg(open=13.27, high=13.54, low=13.27, close=13.53, volume=213062, vwap=13.419, timestamp=1689685200000, transactions=1648, otc=None)
Agg(open=13.53, high=13.555, low=13.44, close=13.45, volume=259711, vwap=13.5054, timestamp=1689688800000, transactions=1947, otc=None)
Agg(open=13.44, high=13.5201, low=13.43, close=13.5, volume=561508, vwap=13.4672, timestamp=1689692400000, transactions=2996, otc=None)
Agg(open=13.5, high=13.59, low=13.495, close=13.555, volume=61554, vwap=13.5551, timestamp=1689696000000, transactions=865, otc=None)
Agg(open=13.56, high=13.58, low=13.54, close=13.545, volume=38667, vwap=13.5636, timestamp=1689699600000, transactions=697, otc=None)
Agg(open=13.545, high=13.62, low=13.54, close=13.595, volume=57705, vwap=13.5822, timestamp=1689703200000, transactions=853, otc=None)
Agg(open=13.6, high=13.67, low=13.595, close=13.63, volume=253128, vwap=13.6383, timestamp=1689706800000, transactions=2833, otc=None)
Agg(open=13.63, high=13.63, low=13.63, close=13.63, volume=17684, vwap=13.63, timestamp=1689710400000, transactions=33, otc=None)
Agg(open=13.73, high=13.73, low=13.57, close=13.715, volume=78615, vwap=13.6773, timestamp=1689771600000, transactions=932, otc=None)
Agg(open=13.715, high=13.83, low=13.69, close=13.74, volume=119182, vwap=13.7534, timestamp=1689775200000, transactions=1680, otc=None)
Agg(open=13.74, high=13.76, low=13.675, close=13.745, volume=63288, vwap=13.7259, timestamp=1689778800000, transactions=1026, otc=None)
Agg(open=13.745, high=13.835, low=13.66, close=13.835, volume=180432, vwap=13.7539, timestamp=1689782400000, transactions=1881, otc=None)
Agg(open=13.835, high=13.835, low=13.745, close=13.79, volume=131467, vwap=13.7954, timestamp=1689786000000, transactions=1239, otc=None)
Agg(open=13.79, high=13.88, low=13.7891, close=13.835, volume=109071, vwap=13.8369, timestamp=1689789600000, transactions=1142, otc=None)
Agg(open=13.84, high=13.895, low=13.82, close=13.83, volume=318918, vwap=13.8526, timestamp=1689793200000, transactions=3548, otc=None)
Agg(open=13.83, high=13.83, low=13.83, close=13.83, volume=21663, vwap=13.83, timestamp=1689796800000, transactions=24, otc=None)
Agg(open=13.94, high=13.95, low=13.94, close=13.95, volume=2000, vwap=13.949, timestamp=1689854400000, transactions=25, otc=None)
Agg(open=13.79, high=13.895, low=13.67, close=13.85, volume=125694, vwap=13.8163, timestamp=1689858000000, transactions=1094, otc=None)
Agg(open=13.845, high=13.87, low=13.7, close=13.825, volume=193167, vwap=13.7944, timestamp=1689861600000, transactions=2001, otc=None)
Agg(open=13.82, high=13.88, low=13.81, close=13.86, volume=190019, vwap=13.8416, timestamp=1689865200000, transactions=1443, otc=None)
Agg(open=13.86, high=13.91, low=13.815, close=13.83, volume=122046, vwap=13.8615, timestamp=1689868800000, transactions=1209, otc=None)
Agg(open=13.83, high=13.929, low=13.81, close=13.915, volume=125827, vwap=13.8703, timestamp=1689872400000, transactions=1268, otc=None)
Agg(open=13.91, high=13.955, low=13.88, close=13.945, volume=120744, vwap=13.9191, timestamp=1689876000000, transactions=1366, otc=None)
Agg(open=13.95, high=14, low=13.88, close=13.98, volume=270007, vwap=13.9391, timestamp=1689879600000, transactions=3135, otc=None)
Agg(open=13.98, high=13.98, low=13.98, close=13.98, volume=92256, vwap=13.98, timestamp=1689883200000, transactions=29, otc=None)
Agg(open=14.12, high=14.12, low=13.855, close=13.91, volume=195386, vwap=13.9983, timestamp=1689944400000, transactions=972, otc=None)
Agg(open=13.91, high=14.015, low=13.87, close=13.92, volume=167627, vwap=13.9582, timestamp=1689948000000, transactions=1957, otc=None)
Agg(open=13.92, high=13.98, low=13.87, close=13.95, volume=73943, vwap=13.9325, timestamp=1689951600000, transactions=983, otc=None)
Agg(open=13.965, high=13.9699, low=13.87, close=13.89, volume=100766, vwap=13.9252, timestamp=1689955200000, transactions=1102, otc=None)
Agg(open=13.895, high=13.97, low=13.895, close=13.97, volume=38568, vwap=13.941, timestamp=1689958800000, transactions=716, otc=None)
Agg(open=13.97, high=13.975, low=13.92, close=13.93, volume=117244, vwap=13.9462, timestamp=1689962400000, transactions=1041, otc=None)
Agg(open=13.935, high=13.955, low=13.88, close=13.92, volume=190200, vwap=13.9238, timestamp=1689966000000, transactions=2462, otc=None)
Agg(open=13.92, high=13.92, low=13.92, close=13.92, volume=30146, vwap=13.92, timestamp=1689969600000, transactions=8, otc=None)
