Agg(open=12.75, high=12.75, low=12.75, close=12.75, volume=300, vwap=12.75, timestamp=1693915200000, transactions=3, otc=None)
Agg(open=12.67, high=12.77, low=12.555, close=12.615, volume=300066, vwap=12.6385, timestamp=1693918800000, transactions=2420, otc=None)
Agg(open=12.615, high=12.64, low=12.43, close=12.505, volume=1072082.0, vwap=12.4936, timestamp=1693922400000, transactions=6806, otc=None)
Agg(open=12.505, high=12.62, low=12.495, close=12.61, volume=377062, vwap=12.5705, timestamp=1693926000000, transactions=3682, otc=None)
Agg(open=12.605, high=12.645, low=12.58, close=12.6, volume=275370, vwap=12.6111, timestamp=1693929600000, transactions=2660, otc=None)
Agg(open=12.595, high=12.6, low=12.5301, close=12.56, volume=331123, vwap=12.5555, timestamp=1693933200000, transactions=2837, otc=None)
Agg(open=12.555, high=12.58, low=12.53, close=12.565, volume=372046, vwap=12.5548, timestamp=1693936800000, transactions=3238, otc=None)
Agg(open=12.565, high=12.58, low=12.48, close=12.49, volume=1268917.0, vwap=12.5302, timestamp=1693940400000, transactions=8316, otc=None)
Agg(open=12.49, high=12.49, low=12.4, close=12.45, volume=136064, vwap=12.4899, timestamp=1693944000000, transactions=46, otc=None)
Agg(open=12.5, high=12.5, low=12.43, close=12.43, volume=9160, vwap=12.4624, timestamp=1694001600000, transactions=41, otc=None)
Agg(open=12.44, high=12.48, low=12.28, close=12.285, volume=315389, vwap=12.3866, timestamp=1694005200000, transactions=2675, otc=None)
Agg(open=12.28, high=12.35, low=12.07, close=12.15, volume=829424, vwap=12.2154, timestamp=1694008800000, transactions=5649, otc=None)
Agg(open=12.15, high=12.22, low=12.055, close=12.06, volume=479345, vwap=12.1257, timestamp=1694012400000, transactions=3909, otc=None)
Agg(open=12.055, high=12.07, low=11.93, close=11.935, volume=911124, vwap=11.9968, timestamp=1694016000000, transactions=5592, otc=None)
Agg(open=11.93, high=11.97, low=11.88, close=11.92, volume=663065, vwap=11.9224, timestamp=1694019600000, transactions=4943, otc=None)
Agg(open=11.92, high=12.03, low=11.91, close=12.025, volume=770689, vwap=11.9947, timestamp=1694023200000, transactions=5268, otc=None)
Agg(open=12.025, high=12.06, low=11.98, close=11.98, volume=1295001.0, vwap=12.0105, timestamp=1694026800000, transactions=9259, otc=None)
Agg(open=11.98, high=12.24, low=11.98, close=12.02, volume=60816, vwap=11.9805, timestamp=1694030400000, transactions=79, otc=None)
Agg(open=11.98, high=11.98, low=11.98, close=11.98, volume=155, vwap=11.98, timestamp=1694084400000, transactions=3, otc=None)
Agg(open=11.92, high=11.92, low=11.91, close=11.91, volume=4212, vwap=11.911, timestamp=1694088000000, transactions=12, otc=None)
Agg(open=11.9, high=12.05, low=11.82, close=11.8252, volume=540986, vwap=11.9301, timestamp=1694091600000, transactions=3599, otc=None)
Agg(open=11.825, high=11.865, low=11.75, close=11.85, volume=858631, vwap=11.7996, timestamp=1694095200000, transactions=6263, otc=None)
Agg(open=11.845, high=11.87, low=11.72, close=11.735, volume=558647, vwap=11.7906, timestamp=1694098800000, transactions=4122, otc=None)
Agg(open=11.735, high=11.74, low=11.66, close=11.705, volume=682699, vwap=11.6978, timestamp=1694102400000, transactions=4612, otc=None)
Agg(open=11.705, high=11.84, low=11.705, close=11.805, volume=664942, vwap=11.7862, timestamp=1694106000000, transactions=3662, otc=None)
Agg(open=11.805, high=11.82, low=11.71, close=11.725, volume=451664, vwap=11.7592, timestamp=1694109600000, transactions=3510, otc=None)
Agg(open=11.725, high=11.73, low=11.67, close=11.69, volume=3443334.0, vwap=11.6967, timestamp=1694113200000, transactions=12882, otc=None)
Agg(open=11.7, high=11.7, low=11.7, close=11.7, volume=2098674.0, vwap=11.7, timestamp=1694116800000, transactions=26, otc=None)
Agg(open=11.69, high=11.7, low=11.69, close=11.7, volume=1719, vwap=11.6988, timestamp=1694170800000, transactions=6, otc=None)
Agg(open=11.7, high=11.78, low=11.545, close=11.595, volume=349660, vwap=11.6358, timestamp=1694178000000, transactions=2713, otc=None)
Agg(open=11.5932, high=11.775, low=11.5932, close=11.765, volume=557549, vwap=11.6832, timestamp=1694181600000, transactions=3979, otc=None)
Agg(open=11.765, high=11.81, low=11.73, close=11.7401, volume=538924, vwap=11.7546, timestamp=1694185200000, transactions=4048, otc=None)
Agg(open=11.745, high=11.875, low=11.73, close=11.835, volume=938309, vwap=11.834, timestamp=1694188800000, transactions=3539, otc=None)
Agg(open=11.835, high=11.895, low=11.825, close=11.845, volume=666667, vwap=11.8588, timestamp=1694192400000, transactions=3838, otc=None)
Agg(open=11.845, high=11.88, low=11.82, close=11.84, volume=460907, vwap=11.8516, timestamp=1694196000000, transactions=3211, otc=None)
Agg(open=11.83, high=11.84, low=11.78, close=11.84, volume=1083753.0, vwap=11.8118, timestamp=1694199600000, transactions=7117, otc=None)
Agg(open=11.83, high=11.83, low=11.83, close=11.83, volume=505560, vwap=11.83, timestamp=1694203200000, transactions=28, otc=None)
