Agg(open=12, high=12.3, low=12, close=12.3, volume=8000, vwap=12.2963, timestamp=1699268400000, transactions=3, otc=None)
Agg(open=12.09, high=12.1, low=11.95, close=11.96, volume=2194, vwap=12.0567, timestamp=1699272000000, transactions=8, otc=None)
Agg(open=12.1, high=12.1, low=11.9, close=11.9001, volume=2713, vwap=11.9635, timestamp=1699275600000, transactions=11, otc=None)
Agg(open=12.14, high=12.22, low=11.65, close=11.73, volume=627135, vwap=11.76, timestamp=1699279200000, transactions=3285, otc=None)
Agg(open=11.74, high=11.7575, low=11.615, close=11.645, volume=931765, vwap=11.6652, timestamp=1699282800000, transactions=5281, otc=None)
Agg(open=11.65, high=11.73, low=11.625, close=11.665, volume=392888, vwap=11.681, timestamp=1699286400000, transactions=3198, otc=None)
Agg(open=11.665, high=11.68, low=11.575, close=11.59, volume=357828, vwap=11.6208, timestamp=1699290000000, transactions=3182, otc=None)
Agg(open=11.585, high=11.59, low=11.495, close=11.505, volume=447440, vwap=11.5307, timestamp=1699293600000, transactions=3181, otc=None)
Agg(open=11.51, high=11.62, low=11.5, close=11.605, volume=504282, vwap=11.5531, timestamp=1699297200000, transactions=3562, otc=None)
Agg(open=11.61, high=11.6175, low=11.56, close=11.6, volume=917527, vwap=11.5847, timestamp=1699300800000, transactions=6294, otc=None)
Agg(open=11.59, high=11.99, low=11.59, close=11.99, volume=61510, vwap=11.591, timestamp=1699304400000, transactions=37, otc=None)
Agg(open=11.59, high=11.59, low=11.59, close=11.59, volume=559, vwap=11.5917, timestamp=1699315200000, transactions=4, otc=None)
Agg(open=11.53, high=11.57, low=11.39, close=11.57, volume=280534, vwap=11.4762, timestamp=1699365600000, transactions=2125, otc=None)
Agg(open=11.569, high=11.62, low=11.48, close=11.49, volume=302302, vwap=11.542, timestamp=1699369200000, transactions=3057, otc=None)
Agg(open=11.48, high=11.55, low=11.45, close=11.51, volume=234165, vwap=11.504, timestamp=1699372800000, transactions=2024, otc=None)
Agg(open=11.51, high=11.55, low=11.44, close=11.48, volume=315664, vwap=11.493, timestamp=1699376400000, transactions=2801, otc=None)
Agg(open=11.48, high=11.51, low=11.46, close=11.475, volume=190354, vwap=11.4899, timestamp=1699380000000, transactions=1919, otc=None)
Agg(open=11.475, high=11.52, low=11.46, close=11.515, volume=182583, vwap=11.4852, timestamp=1699383600000, transactions=1805, otc=None)
Agg(open=11.52, high=11.56, low=11.49, close=11.49, volume=860663, vwap=11.519, timestamp=1699387200000, transactions=5692, otc=None)
Agg(open=11.49, high=11.49, low=11.49, close=11.49, volume=37032, vwap=11.49, timestamp=1699390800000, transactions=34, otc=None)
Agg(open=11.46, high=11.46, low=11.45, close=11.45, volume=2700, vwap=11.4527, timestamp=1699394400000, transactions=4, otc=None)
Agg(open=11.5, high=11.5, low=11.5, close=11.5, volume=500, vwap=11.5, timestamp=1699448400000, transactions=1, otc=None)
Agg(open=11.49, high=11.52, low=11.38, close=11.48, volume=246846, vwap=11.4604, timestamp=1699452000000, transactions=1902, otc=None)
Agg(open=11.47, high=11.48, low=11.38, close=11.4, volume=279928, vwap=11.4234, timestamp=1699455600000, transactions=3197, otc=None)
Agg(open=11.4002, high=11.41, low=11.34, close=11.35, volume=393394, vwap=11.3658, timestamp=1699459200000, transactions=3447, otc=None)
Agg(open=11.35, high=11.36, low=11.3, close=11.32, volume=289350, vwap=11.3295, timestamp=1699462800000, transactions=2850, otc=None)
Agg(open=11.32, high=11.36, low=11.3, close=11.335, volume=324810, vwap=11.3344, timestamp=1699466400000, transactions=2979, otc=None)
Agg(open=11.33, high=11.38, low=11.315, close=11.325, volume=280059, vwap=11.346, timestamp=1699470000000, transactions=2677, otc=None)
Agg(open=11.33, high=11.37, low=11.295, close=11.34, volume=1163012.0, vwap=11.3451, timestamp=1699473600000, transactions=8035, otc=None)
Agg(open=11.35, high=11.35, low=11.3, close=11.34, volume=790360, vwap=11.34, timestamp=1699477200000, transactions=26, otc=None)
Agg(open=11.3781, high=11.3781, low=11.3781, close=11.3781, volume=242, vwap=11.3781, timestamp=1699488000000, transactions=1, otc=None)
Agg(open=11.7, high=11.7, low=11.21, close=11.3, volume=240296, vwap=11.2999, timestamp=1699538400000, transactions=2126, otc=None)
Agg(open=11.295, high=11.31, low=11.23, close=11.265, volume=532926, vwap=11.2738, timestamp=1699542000000, transactions=4196, otc=None)
Agg(open=11.265, high=11.295, low=11.215, close=11.245, volume=419794, vwap=11.2579, timestamp=1699545600000, transactions=3624, otc=None)
Agg(open=11.25, high=11.325, low=11.235, close=11.295, volume=279937, vwap=11.2835, timestamp=1699549200000, transactions=2717, otc=None)
Agg(open=11.3, high=11.3, low=11.13, close=11.13, volume=576387, vwap=11.2061, timestamp=1699552800000, transactions=4895, otc=None)
Agg(open=11.13, high=11.13, low=11.075, close=11.1, volume=493334, vwap=11.1032, timestamp=1699556400000, transactions=4430, otc=None)
Agg(open=11.1, high=11.15, low=11.08, close=11.11, volume=1320628.0, vwap=11.1147, timestamp=1699560000000, transactions=8674, otc=None)
Agg(open=11.11, high=11.11, low=11.11, close=11.11, volume=35256, vwap=11.11, timestamp=1699563600000, transactions=42, otc=None)
Agg(open=11.11, high=11.11, low=11.11, close=11.11, volume=542, vwap=11.1108, timestamp=1699574400000, transactions=2, otc=None)
Agg(open=11.13, high=11.19, low=10.96, close=11.13, volume=321649, vwap=11.076, timestamp=1699624800000, transactions=2517, otc=None)
Agg(open=11.13, high=11.13, low=11.05, close=11.09, volume=346746, vwap=11.0827, timestamp=1699628400000, transactions=3035, otc=None)
Agg(open=11.08, high=11.13, low=11.07, close=11.08, volume=296359, vwap=11.0986, timestamp=1699632000000, transactions=3209, otc=None)
Agg(open=11.085, high=11.22, low=11.085, close=11.22, volume=281201, vwap=11.1453, timestamp=1699635600000, transactions=3381, otc=None)
Agg(open=11.21, high=11.27, low=11.185, close=11.255, volume=456729, vwap=11.2196, timestamp=1699639200000, transactions=3894, otc=None)
Agg(open=11.255, high=11.325, low=11.255, close=11.275, volume=726000, vwap=11.2911, timestamp=1699642800000, transactions=5608, otc=None)
Agg(open=11.275, high=11.3, low=11.23, close=11.3, volume=1290142.0, vwap=11.2684, timestamp=1699646400000, transactions=7890, otc=None)
Agg(open=11.29, high=11.29, low=11.29, close=11.29, volume=124538, vwap=11.29, timestamp=1699650000000, transactions=36, otc=None)
Agg(open=11.02, high=11.02, low=11.02, close=11.02, volume=100, vwap=11.02, timestamp=1699653600000, transactions=1, otc=None)
