Agg(open=13, high=13, low=13, close=13, volume=300, vwap=13, timestamp=1674478800000, transactions=1, otc=None)
Agg(open=12.88, high=13.1, low=12.88, close=13.06, volume=323036, vwap=13.0245, timestamp=1674482400000, transactions=1978, otc=None)
Agg(open=13.06, high=13.1, low=13.04, close=13.0686, volume=175425, vwap=13.0716, timestamp=1674486000000, transactions=1396, otc=None)
Agg(open=13.065, high=13.12, low=13.06, close=13.105, volume=223248, vwap=13.0854, timestamp=1674489600000, transactions=1731, otc=None)
Agg(open=13.1099, high=13.22, low=13.095, close=13.215, volume=310667, vwap=13.1485, timestamp=1674493200000, transactions=2390, otc=None)
Agg(open=13.215, high=13.27, low=13.19, close=13.19, volume=335795, vwap=13.234, timestamp=1674496800000, transactions=3048, otc=None)
Agg(open=13.195, high=13.2, low=13.095, close=13.12, volume=311410, vwap=13.1534, timestamp=1674500400000, transactions=2867, otc=None)
Agg(open=13.115, high=13.15, low=13.08, close=13.11, volume=1346335.0, vwap=13.1142, timestamp=1674504000000, transactions=9040, otc=None)
Agg(open=13.11, high=13.7144, low=13.11, close=13.25, volume=52785, vwap=13.1228, timestamp=1674507600000, transactions=29, otc=None)
Agg(open=13.45, high=13.45, low=13.25, close=13.25, volume=9266, vwap=13.3996, timestamp=1674511200000, transactions=38, otc=None)
Agg(open=13.26, high=13.3, low=13.26, close=13.3, volume=300, vwap=13.2867, timestamp=1674514800000, transactions=2, otc=None)
Agg(open=13.27, high=13.27, low=13.27, close=13.27, volume=1876, vwap=13.27, timestamp=1674518400000, transactions=20, otc=None)
Agg(open=13.42, high=13.42, low=13.42, close=13.42, volume=130, vwap=13.42, timestamp=1674565200000, transactions=1, otc=None)
Agg(open=13.15, high=13.39, low=12.99, close=13.275, volume=620614, vwap=13.2595, timestamp=1674568800000, transactions=3163, otc=None)
Agg(open=13.29, high=13.7, low=13.21, close=13.65, volume=815965, vwap=13.3838, timestamp=1674572400000, transactions=5408, otc=None)
Agg(open=13.6482, high=13.675, low=13.44, close=13.535, volume=582608, vwap=13.5531, timestamp=1674576000000, transactions=4206, otc=None)
Agg(open=13.535, high=13.59, low=13.41, close=13.465, volume=316714, vwap=13.4849, timestamp=1674579600000, transactions=2314, otc=None)
Agg(open=13.465, high=13.56, low=13.42, close=13.53, volume=362745, vwap=13.4705, timestamp=1674583200000, transactions=2716, otc=None)
Agg(open=13.53, high=13.54, low=13.43, close=13.515, volume=246821, vwap=13.4824, timestamp=1674586800000, transactions=2088, otc=None)
Agg(open=13.515, high=13.61, low=13.495, close=13.56, volume=1095944.0, vwap=13.5659, timestamp=1674590400000, transactions=6654, otc=None)
Agg(open=13.57, high=13.57, low=13.57, close=13.57, volume=49893, vwap=13.57, timestamp=1674594000000, transactions=23, otc=None)
Agg(open=13.57, high=13.57, low=13.57, close=13.57, volume=482, vwap=13.5696, timestamp=1674601200000, transactions=3, otc=None)
Agg(open=13.5, high=13.5164, low=13.38, close=13.42, volume=403444, vwap=13.4365, timestamp=1674655200000, transactions=2661, otc=None)
Agg(open=13.42, high=13.485, low=13.305, close=13.36, volume=377212, vwap=13.3791, timestamp=1674658800000, transactions=3625, otc=None)
Agg(open=13.36, high=13.42, low=13.35, close=13.37, volume=415770, vwap=13.381, timestamp=1674662400000, transactions=3254, otc=None)
Agg(open=13.37, high=13.42, low=13.35, close=13.395, volume=211350, vwap=13.3869, timestamp=1674666000000, transactions=1997, otc=None)
Agg(open=13.39, high=13.45, low=13.385, close=13.445, volume=225690, vwap=13.4211, timestamp=1674669600000, transactions=2124, otc=None)
Agg(open=13.45, high=13.515, low=13.42, close=13.51, volume=398799, vwap=13.4582, timestamp=1674673200000, transactions=2908, otc=None)
Agg(open=13.51, high=13.565, low=13.47, close=13.515, volume=889092, vwap=13.5132, timestamp=1674676800000, transactions=6759, otc=None)
Agg(open=13.52, high=13.52, low=13.52, close=13.52, volume=38926, vwap=13.52, timestamp=1674680400000, transactions=33, otc=None)
Agg(open=13.6, high=13.67, low=13.45, close=13.46, volume=200111, vwap=13.5557, timestamp=1674741600000, transactions=1466, otc=None)
Agg(open=13.47, high=13.6106, low=13.45, close=13.48, volume=491534, vwap=13.5585, timestamp=1674745200000, transactions=2731, otc=None)
Agg(open=13.475, high=13.5388, low=13.47, close=13.525, volume=194775, vwap=13.4974, timestamp=1674748800000, transactions=1662, otc=None)
Agg(open=13.525, high=13.58, low=13.485, close=13.58, volume=179645, vwap=13.5233, timestamp=1674752400000, transactions=1374, otc=None)
Agg(open=13.58, high=13.645, low=13.56, close=13.62, volume=196405, vwap=13.6101, timestamp=1674756000000, transactions=1847, otc=None)
Agg(open=13.62, high=13.635, low=13.58, close=13.6125, volume=190893, vwap=13.6111, timestamp=1674759600000, transactions=1834, otc=None)
Agg(open=13.615, high=13.65, low=13.565, close=13.65, volume=640807, vwap=13.612, timestamp=1674763200000, transactions=4724, otc=None)
Agg(open=13.65, high=13.65, low=13.65, close=13.65, volume=109539, vwap=13.65, timestamp=1674766800000, transactions=24, otc=None)
Agg(open=13.69, high=13.71, low=13.605, close=13.645, volume=108991, vwap=13.6612, timestamp=1674828000000, transactions=878, otc=None)
Agg(open=13.63, high=13.7, low=13.6, close=13.7, volume=154963, vwap=13.6712, timestamp=1674831600000, transactions=1618, otc=None)
Agg(open=13.69, high=13.7, low=13.615, close=13.675, volume=107103, vwap=13.665, timestamp=1674835200000, transactions=1065, otc=None)
Agg(open=13.675, high=13.74, low=13.665, close=13.73, volume=121917, vwap=13.7005, timestamp=1674838800000, transactions=1004, otc=None)
Agg(open=13.725, high=13.73, low=13.68, close=13.715, volume=137772, vwap=13.7062, timestamp=1674842400000, transactions=1261, otc=None)
Agg(open=13.715, high=13.76, low=13.71, close=13.7275, volume=127731, vwap=13.7375, timestamp=1674846000000, transactions=1167, otc=None)
Agg(open=13.725, high=13.76, low=13.7, close=13.75, volume=618064, vwap=13.7252, timestamp=1674849600000, transactions=4339, otc=None)
Agg(open=13.75, high=13.75, low=13.75, close=13.75, volume=33122, vwap=13.75, timestamp=1674853200000, transactions=18, otc=None)
