Agg(open=11.36, high=11.4, low=11.2, close=11.29, volume=163366, vwap=11.2682, timestamp=1685451600000, transactions=983, otc=None)
Agg(open=11.305, high=11.405, low=11.27, close=11.285, volume=219600, vwap=11.3236, timestamp=1685455200000, transactions=2228, otc=None)
Agg(open=11.28, high=11.305, low=11.2, close=11.265, volume=128355, vwap=11.2449, timestamp=1685458800000, transactions=1426, otc=None)
Agg(open=11.265, high=11.325, low=11.24, close=11.325, volume=176282, vwap=11.289, timestamp=1685462400000, transactions=1675, otc=None)
Agg(open=11.325, high=11.33, low=11.29, close=11.31, volume=130857, vwap=11.3116, timestamp=1685466000000, transactions=1487, otc=None)
Agg(open=11.315, high=11.41, low=11.3, close=11.37, volume=235961, vwap=11.3701, timestamp=1685469600000, transactions=1883, otc=None)
Agg(open=11.37, high=11.44, low=11.37, close=11.44, volume=418602, vwap=11.4093, timestamp=1685473200000, transactions=3460, otc=None)
Agg(open=11.43, high=11.43, low=11.43, close=11.43, volume=44183, vwap=11.43, timestamp=1685476800000, transactions=25, otc=None)
Agg(open=11.31, high=11.365, low=11.21, close=11.24, volume=178331, vwap=11.285, timestamp=1685538000000, transactions=1238, otc=None)
Agg(open=11.24, high=11.25, low=10.92, close=10.97, volume=319654, vwap=11.0765, timestamp=1685541600000, transactions=3024, otc=None)
Agg(open=10.97, high=11.01, low=10.91, close=10.935, volume=237273, vwap=10.9508, timestamp=1685545200000, transactions=2251, otc=None)
Agg(open=10.935, high=10.97, low=10.9, close=10.91, volume=204410, vwap=10.9233, timestamp=1685548800000, transactions=1983, otc=None)
Agg(open=10.915, high=10.98, low=10.915, close=10.965, volume=205886, vwap=10.9521, timestamp=1685552400000, transactions=1833, otc=None)
Agg(open=10.965, high=11.02, low=10.94, close=10.975, volume=501887, vwap=10.9788, timestamp=1685556000000, transactions=4713, otc=None)
Agg(open=10.975, high=11.075, low=10.95, close=10.985, volume=732453, vwap=10.9969, timestamp=1685559600000, transactions=5340, otc=None)
Agg(open=10.99, high=10.99, low=10.99, close=10.99, volume=136750, vwap=10.9898, timestamp=1685563200000, transactions=26, otc=None)
Agg(open=10.98, high=11.06, low=10.905, close=10.915, volume=163861, vwap=10.9696, timestamp=1685624400000, transactions=1349, otc=None)
Agg(open=10.915, high=11.16, low=10.915, close=11.105, volume=245270, vwap=11.0628, timestamp=1685628000000, transactions=3249, otc=None)
Agg(open=11.1, high=11.18, low=11.06, close=11.175, volume=139739, vwap=11.1139, timestamp=1685631600000, transactions=1662, otc=None)
Agg(open=11.17, high=11.23, low=11.155, close=11.18, volume=108346, vwap=11.191, timestamp=1685635200000, transactions=1435, otc=None)
Agg(open=11.18, high=11.18, low=11.13, close=11.17, volume=153790, vwap=11.1551, timestamp=1685638800000, transactions=1800, otc=None)
Agg(open=11.165, high=11.17, low=11.11, close=11.13, volume=113938, vwap=11.1449, timestamp=1685642400000, transactions=1399, otc=None)
Agg(open=11.13, high=11.16, low=11.105, close=11.115, volume=350690, vwap=11.1267, timestamp=1685646000000, transactions=3305, otc=None)
Agg(open=11.11, high=11.11, low=11.11, close=11.11, volume=31822, vwap=11.11, timestamp=1685649600000, transactions=22, otc=None)
Agg(open=11.27, high=11.38, low=11.24, close=11.31, volume=122473, vwap=11.3218, timestamp=1685710800000, transactions=1151, otc=None)
Agg(open=11.31, high=11.465, low=11.25, close=11.455, volume=211174, vwap=11.3598, timestamp=1685714400000, transactions=2482, otc=None)
Agg(open=11.46, high=11.52, low=11.44, close=11.51, volume=151807, vwap=11.4757, timestamp=1685718000000, transactions=2079, otc=None)
Agg(open=11.51, high=11.56, low=11.485, close=11.5503, volume=166897, vwap=11.5224, timestamp=1685721600000, transactions=1743, otc=None)
Agg(open=11.56, high=11.61, low=11.54, close=11.57, volume=205278, vwap=11.5765, timestamp=1685725200000, transactions=1826, otc=None)
Agg(open=11.57, high=11.59, low=11.52, close=11.59, volume=209297, vwap=11.5595, timestamp=1685728800000, transactions=1831, otc=None)
Agg(open=11.59, high=11.68, low=11.585, close=11.66, volume=529755, vwap=11.6464, timestamp=1685732400000, transactions=4045, otc=None)
Agg(open=11.66, high=11.66, low=11.66, close=11.66, volume=1026, vwap=11.66, timestamp=1685736000000, transactions=1, otc=None)
