Agg(open=13, high=13.02, low=12.78, close=12.87, volume=76382, vwap=12.8702, timestamp=1687266000000, transactions=1200, otc=None)
Agg(open=12.87, high=12.92, low=12.785, close=12.865, volume=136256, vwap=12.8551, timestamp=1687269600000, transactions=2500, otc=None)
Agg(open=12.8775, high=12.89, low=12.83, close=12.87, volume=97230, vwap=12.8581, timestamp=1687273200000, transactions=1709, otc=None)
Agg(open=12.87, high=12.955, low=12.865, close=12.95, volume=67264, vwap=12.909, timestamp=1687276800000, transactions=1114, otc=None)
Agg(open=12.95, high=13.005, low=12.935, close=12.975, volume=96357, vwap=12.973, timestamp=1687280400000, transactions=1355, otc=None)
Agg(open=12.975, high=13.0175, low=12.965, close=13.01, volume=94623, vwap=12.9887, timestamp=1687284000000, transactions=1470, otc=None)
Agg(open=13.015, high=13.065, low=12.92, close=12.925, volume=327020, vwap=12.9877, timestamp=1687287600000, transactions=3698, otc=None)
Agg(open=12.93, high=12.93, low=12.93, close=12.93, volume=24677, vwap=12.93, timestamp=1687291200000, transactions=18, otc=None)
Agg(open=13.13, high=13.13, low=13.13, close=13.13, volume=1195, vwap=13.13, timestamp=1687294800000, transactions=2, otc=None)
Agg(open=12.98, high=12.98, low=12.98, close=12.98, volume=1000, vwap=12.98, timestamp=1687348800000, transactions=10, otc=None)
Agg(open=12.87, high=12.985, low=12.68, close=12.73, volume=73719, vwap=12.7779, timestamp=1687352400000, transactions=1069, otc=None)
Agg(open=12.725, high=12.725, low=12.58, close=12.665, volume=147496, vwap=12.6535, timestamp=1687356000000, transactions=2210, otc=None)
Agg(open=12.655, high=12.7, low=12.595, close=12.64, volume=137719, vwap=12.6461, timestamp=1687359600000, transactions=1876, otc=None)
Agg(open=12.64, high=12.735, low=12.64, close=12.72, volume=104145, vwap=12.6931, timestamp=1687363200000, transactions=1584, otc=None)
Agg(open=12.71, high=12.76, low=12.67, close=12.75, volume=89873, vwap=12.7102, timestamp=1687366800000, transactions=1466, otc=None)
Agg(open=12.745, high=12.81, low=12.745, close=12.79, volume=69866, vwap=12.7833, timestamp=1687370400000, transactions=1288, otc=None)
Agg(open=12.79, high=12.795, low=12.7, close=12.73, volume=302167, vwap=12.7378, timestamp=1687374000000, transactions=4022, otc=None)
Agg(open=12.73, high=12.73, low=12.73, close=12.73, volume=26885, vwap=12.73, timestamp=1687377600000, transactions=12, otc=None)
Agg(open=12.75, high=12.75, low=12.585, close=12.69, volume=122058, vwap=12.6669, timestamp=1687438800000, transactions=5403, otc=None)
Agg(open=12.6902, high=12.75, low=12.625, close=12.67, volume=97985, vwap=12.6859, timestamp=1687442400000, transactions=2441, otc=None)
Agg(open=12.675, high=12.755, low=12.645, close=12.725, volume=73026, vwap=12.7076, timestamp=1687446000000, transactions=1261, otc=None)
Agg(open=12.725, high=12.77, low=12.715, close=12.735, volume=76120, vwap=12.7389, timestamp=1687449600000, transactions=1135, otc=None)
Agg(open=12.735, high=12.78, low=12.72, close=12.745, volume=98598, vwap=12.7542, timestamp=1687453200000, transactions=1528, otc=None)
Agg(open=12.74, high=12.775, low=12.695, close=12.73, volume=112544, vwap=12.7259, timestamp=1687456800000, transactions=1970, otc=None)
Agg(open=12.725, high=12.73, low=12.62, close=12.645, volume=194106, vwap=12.6657, timestamp=1687460400000, transactions=2630, otc=None)
Agg(open=12.64, high=12.64, low=12.64, close=12.64, volume=24718, vwap=12.64, timestamp=1687464000000, transactions=22, otc=None)
Agg(open=12.52, high=12.56, low=12.45, close=12.53, volume=86116, vwap=12.4998, timestamp=1687525200000, transactions=1445, otc=None)
Agg(open=12.53, high=12.53, low=12.275, close=12.275, volume=148258, vwap=12.3855, timestamp=1687528800000, transactions=2742, otc=None)
Agg(open=12.27, high=12.32, low=12.15, close=12.28, volume=231826, vwap=12.2301, timestamp=1687532400000, transactions=2608, otc=None)
Agg(open=12.275, high=12.4, low=12.27, close=12.375, volume=178529, vwap=12.355, timestamp=1687536000000, transactions=2212, otc=None)
Agg(open=12.375, high=12.39, low=12.335, close=12.37, volume=127465, vwap=12.3649, timestamp=1687539600000, transactions=1536, otc=None)
Agg(open=12.365, high=12.395, low=12.3, close=12.305, volume=152359, vwap=12.3499, timestamp=1687543200000, transactions=2123, otc=None)
Agg(open=12.31, high=12.33, low=12.27, close=12.27, volume=451534, vwap=12.2958, timestamp=1687546800000, transactions=4993, otc=None)
Agg(open=12.28, high=12.28, low=12.28, close=12.28, volume=408387, vwap=12.2799, timestamp=1687550400000, transactions=15, otc=None)
