Agg(open=10.6, high=10.6, low=10.39, close=10.565, volume=158766, vwap=10.4894, timestamp=1701093600000, transactions=1994, otc=None)
Agg(open=10.57, high=10.68, low=10.505, close=10.535, volume=148734, vwap=10.5805, timestamp=1701097200000, transactions=2429, otc=None)
Agg(open=10.53, high=10.535, low=10.465, close=10.49, volume=128627, vwap=10.5064, timestamp=1701100800000, transactions=1764, otc=None)
Agg(open=10.48, high=10.53, low=10.46, close=10.495, volume=103752, vwap=10.4948, timestamp=1701104400000, transactions=1507, otc=None)
Agg(open=10.495, high=10.57, low=10.495, close=10.515, volume=119725, vwap=10.5322, timestamp=1701108000000, transactions=1690, otc=None)
Agg(open=10.515, high=10.57, low=10.515, close=10.555, volume=121374, vwap=10.5415, timestamp=1701111600000, transactions=1854, otc=None)
Agg(open=10.555, high=10.6, low=10.53, close=10.54, volume=397236, vwap=10.5582, timestamp=1701115200000, transactions=4950, otc=None)
Agg(open=10.55, high=10.55, low=10.55, close=10.55, volume=15287, vwap=10.55, timestamp=1701118800000, transactions=14, otc=None)
Agg(open=10.39, high=10.39, low=10.39, close=10.39, volume=200, vwap=10.39, timestamp=1701129600000, transactions=1, otc=None)
Agg(open=10.5, high=10.55, low=10.41, close=10.51, volume=72871, vwap=10.4968, timestamp=1701180000000, transactions=740, otc=None)
Agg(open=10.51, high=10.535, low=10.42, close=10.505, volume=103114, vwap=10.4892, timestamp=1701183600000, transactions=1420, otc=None)
Agg(open=10.51, high=10.5475, low=10.47, close=10.515, volume=117395, vwap=10.5021, timestamp=1701187200000, transactions=1713, otc=None)
Agg(open=10.52, high=10.52, low=10.455, close=10.465, volume=53501, vwap=10.4834, timestamp=1701190800000, transactions=930, otc=None)
Agg(open=10.46, high=10.495, low=10.425, close=10.47, volume=78480, vwap=10.4593, timestamp=1701194400000, transactions=1076, otc=None)
Agg(open=10.48, high=10.53, low=10.46, close=10.51, volume=207237, vwap=10.4912, timestamp=1701198000000, transactions=1630, otc=None)
Agg(open=10.51, high=10.605, low=10.49, close=10.57, volume=381030, vwap=10.5372, timestamp=1701201600000, transactions=4116, otc=None)
Agg(open=10.58, high=10.58, low=10.58, close=10.58, volume=193410, vwap=10.58, timestamp=1701205200000, transactions=18, otc=None)
Agg(open=10.77, high=10.93, low=10.55, close=10.86, volume=127886, vwap=10.8067, timestamp=1701266400000, transactions=1238, otc=None)
Agg(open=10.865, high=10.875, low=10.735, close=10.75, volume=157361, vwap=10.7873, timestamp=1701270000000, transactions=2299, otc=None)
Agg(open=10.75, high=10.83, low=10.66, close=10.795, volume=151422, vwap=10.754, timestamp=1701273600000, transactions=2099, otc=None)
Agg(open=10.8, high=10.85, low=10.78, close=10.83, volume=118606, vwap=10.8171, timestamp=1701277200000, transactions=1650, otc=None)
Agg(open=10.83, high=10.835, low=10.775, close=10.815, volume=111806, vwap=10.8119, timestamp=1701280800000, transactions=1649, otc=None)
Agg(open=10.81, high=10.84, low=10.735, close=10.75, volume=132301, vwap=10.7831, timestamp=1701284400000, transactions=1939, otc=None)
Agg(open=10.75, high=10.785, low=10.715, close=10.76, volume=419888, vwap=10.7558, timestamp=1701288000000, transactions=4632, otc=None)
Agg(open=10.76, high=10.76, low=10.76, close=10.76, volume=52497, vwap=10.76, timestamp=1701291600000, transactions=20, otc=None)
Agg(open=10.88, high=10.89, low=10.86, close=10.89, volume=900, vwap=10.8844, timestamp=1701345600000, transactions=8, otc=None)
Agg(open=10.89, high=10.89, low=10.89, close=10.89, volume=344, vwap=10.89, timestamp=1701349200000, transactions=4, otc=None)
Agg(open=10.87, high=11.11, low=10.85, close=11, volume=164822, vwap=10.9734, timestamp=1701352800000, transactions=1508, otc=None)
Agg(open=11.005, high=11.13, low=10.98, close=11.115, volume=256806, vwap=11.0766, timestamp=1701356400000, transactions=2854, otc=None)
Agg(open=11.125, high=11.21, low=10.885, close=10.89, volume=284523, vwap=11.0599, timestamp=1701360000000, transactions=3124, otc=None)
Agg(open=10.89, high=10.89, low=10.78, close=10.855, volume=121889, vwap=10.8389, timestamp=1701363600000, transactions=1555, otc=None)
Agg(open=10.85, high=10.95, low=10.815, close=10.915, volume=159386, vwap=10.8851, timestamp=1701367200000, transactions=1591, otc=None)
Agg(open=10.91, high=10.9693, low=10.89, close=10.955, volume=226429, vwap=10.9397, timestamp=1701370800000, transactions=1935, otc=None)
Agg(open=10.95, high=11.04, low=10.93, close=11.02, volume=624562, vwap=10.996, timestamp=1701374400000, transactions=5470, otc=None)
Agg(open=11.02, high=11.02, low=11.02, close=11.02, volume=57892, vwap=11.02, timestamp=1701378000000, transactions=16, otc=None)
Agg(open=11.1, high=11.1, low=11.1, close=11.1, volume=220, vwap=11.1, timestamp=1701388800000, transactions=1, otc=None)
Agg(open=11.05, high=11.08, low=10.85, close=10.98, volume=130342, vwap=10.9489, timestamp=1701439200000, transactions=1594, otc=None)
