Agg(open=15.77, high=15.77, low=15.3, close=15.57, volume=9559, vwap=15.5189, timestamp=1679299200000, transactions=72, otc=None)
Agg(open=15.83, high=15.88, low=15.81, close=15.81, volume=3298, vwap=15.839, timestamp=1679302800000, transactions=34, otc=None)
Agg(open=16.07, high=16.12, low=16, close=16.1, volume=7425, vwap=16.0453, timestamp=1679306400000, transactions=62, otc=None)
Agg(open=16.11, high=16.29, low=16.11, close=16.19, volume=6225, vwap=16.2193, timestamp=1679310000000, transactions=77, otc=None)
Agg(open=16.19, high=16.36, low=16.15, close=16.36, volume=30251, vwap=16.2481, timestamp=1679313600000, transactions=246, otc=None)
Agg(open=16.35, high=16.61, low=16.14, close=16.54, volume=535252, vwap=16.3865, timestamp=1679317200000, transactions=3746, otc=None)
Agg(open=16.52, high=16.715, low=16.475, close=16.675, volume=393171, vwap=16.6073, timestamp=1679320800000, transactions=4290, otc=None)
Agg(open=16.68, high=16.84, low=16.68, close=16.7, volume=273831, vwap=16.775, timestamp=1679324400000, transactions=2472, otc=None)
Agg(open=16.7, high=16.72, low=16.38, close=16.65, volume=485489, vwap=16.5425, timestamp=1679328000000, transactions=4620, otc=None)
Agg(open=16.645, high=16.7676, low=16.625, close=16.725, volume=183157, vwap=16.7078, timestamp=1679331600000, transactions=2276, otc=None)
Agg(open=16.725, high=16.84, low=16.7, close=16.82, volume=243520, vwap=16.7732, timestamp=1679335200000, transactions=2589, otc=None)
Agg(open=16.815, high=16.83, low=16.63, close=16.63, volume=791175, vwap=16.7268, timestamp=1679338800000, transactions=6324, otc=None)
Agg(open=16.64, high=16.82, low=16.64, close=16.8, volume=39397, vwap=16.6492, timestamp=1679342400000, transactions=30, otc=None)
Agg(open=16.8, high=16.89, low=16.79, close=16.88, volume=7532, vwap=16.827, timestamp=1679346000000, transactions=25, otc=None)
Agg(open=16.8599, high=16.86, low=16.85, close=16.86, volume=868, vwap=16.8569, timestamp=1679349600000, transactions=5, otc=None)
Agg(open=16.86, high=16.9, low=16.8, close=16.89, volume=1958, vwap=16.871, timestamp=1679353200000, transactions=15, otc=None)
Agg(open=17, high=17.45, low=17, close=17.35, volume=16948, vwap=17.3181, timestamp=1679385600000, transactions=90, otc=None)
Agg(open=17.35, high=17.44, low=17.35, close=17.44, volume=3900, vwap=17.4221, timestamp=1679389200000, transactions=17, otc=None)
Agg(open=17.38, high=17.43, low=17.32, close=17.32, volume=6763, vwap=17.3832, timestamp=1679392800000, transactions=58, otc=None)
Agg(open=17.25, high=17.42, low=17.25, close=17.42, volume=3352, vwap=17.3588, timestamp=1679396400000, transactions=41, otc=None)
Agg(open=17.43, high=17.53, low=17.41, close=17.53, volume=8453, vwap=17.4549, timestamp=1679400000000, transactions=113, otc=None)
Agg(open=17.52, high=17.75, low=17.29, close=17.6497, volume=581608, vwap=17.5468, timestamp=1679403600000, transactions=3498, otc=None)
Agg(open=17.65, high=17.745, low=17.28, close=17.345, volume=659343, vwap=17.4557, timestamp=1679407200000, transactions=4959, otc=None)
Agg(open=17.335, high=17.43, low=17.275, close=17.38, volume=318855, vwap=17.3559, timestamp=1679410800000, transactions=2668, otc=None)
Agg(open=17.375, high=17.495, low=17.335, close=17.47, volume=199195, vwap=17.4202, timestamp=1679414400000, transactions=1838, otc=None)
Agg(open=17.465, high=17.7, low=17.44, close=17.57, volume=288550, vwap=17.5895, timestamp=1679418000000, transactions=2428, otc=None)
Agg(open=17.57, high=17.64, low=17.53, close=17.63, volume=223473, vwap=17.588, timestamp=1679421600000, transactions=2045, otc=None)
Agg(open=17.63, high=17.685, low=17.47, close=17.48, volume=587692, vwap=17.572, timestamp=1679425200000, transactions=4426, otc=None)
Agg(open=17.48, high=17.52, low=17.46, close=17.52, volume=23871, vwap=17.4801, timestamp=1679428800000, transactions=27, otc=None)
Agg(open=17.48, high=17.48, low=17.45, close=17.48, volume=2200, vwap=17.4568, timestamp=1679432400000, transactions=6, otc=None)
Agg(open=17.45, high=17.45, low=17.27, close=17.27, volume=3397, vwap=17.3199, timestamp=1679436000000, transactions=9, otc=None)
Agg(open=17.25, high=17.25, low=17.25, close=17.25, volume=220, vwap=17.25, timestamp=1679439600000, transactions=3, otc=None)
Agg(open=17.59, high=17.64, low=17.37, close=17.37, volume=2969, vwap=17.4685, timestamp=1679472000000, transactions=16, otc=None)
Agg(open=17.32, high=17.4, low=17.3, close=17.35, volume=4021, vwap=17.3338, timestamp=1679479200000, transactions=17, otc=None)
Agg(open=17.32, high=17.35, low=17.31, close=17.31, volume=3808, vwap=17.3337, timestamp=1679482800000, transactions=15, otc=None)
Agg(open=17.32, high=17.35, low=17.3, close=17.32, volume=11470, vwap=17.3192, timestamp=1679486400000, transactions=73, otc=None)
Agg(open=17.32, high=17.32, low=16.905, close=17.08, volume=375054, vwap=17.0708, timestamp=1679490000000, transactions=2502, otc=None)
Agg(open=17.08, high=17.1475, low=17.015, close=17.14, volume=630948, vwap=17.0867, timestamp=1679493600000, transactions=5179, otc=None)
Agg(open=17.1493, high=17.31, low=17.14, close=17.2703, volume=236531, vwap=17.2229, timestamp=1679497200000, transactions=2278, otc=None)
Agg(open=17.2735, high=17.41, low=17.21, close=17.385, volume=141176, vwap=17.3102, timestamp=1679500800000, transactions=1827, otc=None)
Agg(open=17.38, high=17.395, low=17.21, close=17.24, volume=146013, vwap=17.285, timestamp=1679504400000, transactions=1800, otc=None)
Agg(open=17.25, high=17.52, low=17.22, close=17.34, volume=392919, vwap=17.4017, timestamp=1679508000000, transactions=3707, otc=None)
Agg(open=17.3375, high=17.36, low=17.01, close=17.02, volume=851122, vwap=17.1921, timestamp=1679511600000, transactions=7042, otc=None)
Agg(open=17.02, high=17.02, low=17, close=17, volume=28589, vwap=17.0198, timestamp=1679515200000, transactions=19, otc=None)
Agg(open=17.02, high=17.02, low=17.02, close=17.02, volume=200, vwap=16.9757, timestamp=1679518800000, transactions=3, otc=None)
Agg(open=17.19, high=17.2, low=17.18, close=17.2, volume=2500, vwap=17.1908, timestamp=1679558400000, transactions=9, otc=None)
Agg(open=17.2, high=17.2, low=17.19, close=17.19, volume=500, vwap=17.196, timestamp=1679562000000, transactions=5, otc=None)
Agg(open=17.19, high=17.19, low=17.15, close=17.16, volume=3122, vwap=17.173, timestamp=1679565600000, transactions=10, otc=None)
Agg(open=17.16, high=17.2, low=17.1, close=17.1, volume=4700, vwap=17.1664, timestamp=1679569200000, transactions=14, otc=None)
Agg(open=17.1, high=17.22, low=17.1, close=17.19, volume=3753, vwap=17.1968, timestamp=1679572800000, transactions=23, otc=None)
Agg(open=17.18, high=17.7, low=17.16, close=17.665, volume=576581, vwap=17.5233, timestamp=1679576400000, transactions=4256, otc=None)
Agg(open=17.67, high=17.78, low=17.465, close=17.49, volume=518507, vwap=17.5591, timestamp=1679580000000, transactions=4300, otc=None)
Agg(open=17.485, high=17.52, low=17.341, close=17.345, volume=258263, vwap=17.4461, timestamp=1679583600000, transactions=2876, otc=None)
Agg(open=17.34, high=17.375, low=16.995, close=17.015, volume=281819, vwap=17.1921, timestamp=1679587200000, transactions=2336, otc=None)
Agg(open=17.01, high=17.04, low=16.88, close=16.92, volume=231640, vwap=16.967, timestamp=1679590800000, transactions=2514, otc=None)
Agg(open=16.93, high=16.97, low=16.64, close=16.72, volume=318350, vwap=16.7716, timestamp=1679594400000, transactions=3567, otc=None)
Agg(open=16.715, high=16.85, low=16.61, close=16.725, volume=754185, vwap=16.7252, timestamp=1679598000000, transactions=5890, otc=None)
Agg(open=16.72, high=16.97, low=16.72, close=16.72, volume=88733, vwap=16.7341, timestamp=1679601600000, transactions=10, otc=None)
Agg(open=16.9675, high=16.9675, low=16.9675, close=16.9675, volume=200, vwap=16.9675, timestamp=1679605200000, transactions=1, otc=None)
Agg(open=16.85, high=16.93, low=16.65, close=16.65, volume=10884, vwap=16.8345, timestamp=1679644800000, transactions=52, otc=None)
Agg(open=16.55, high=16.55, low=16.42, close=16.42, volume=3226, vwap=16.4795, timestamp=1679648400000, transactions=39, otc=None)
Agg(open=16.3, high=16.37, low=16.3, close=16.36, volume=3985, vwap=16.3452, timestamp=1679652000000, transactions=19, otc=None)
Agg(open=16.24, high=16.33, low=16.19, close=16.29, volume=3943, vwap=16.2429, timestamp=1679655600000, transactions=30, otc=None)
Agg(open=16.26, high=16.44, low=16.19, close=16.44, volume=11940, vwap=16.2459, timestamp=1679659200000, transactions=112, otc=None)
Agg(open=16.49, high=16.53, low=16.06, close=16.15, volume=641755, vwap=16.2452, timestamp=1679662800000, transactions=4816, otc=None)
Agg(open=16.145, high=16.29, low=16.01, close=16.195, volume=1120196.0, vwap=16.1726, timestamp=1679666400000, transactions=9750, otc=None)
Agg(open=16.19, high=16.37, low=16.16, close=16.36, volume=297830, vwap=16.2528, timestamp=1679670000000, transactions=3821, otc=None)
Agg(open=16.35, high=16.41, low=16.205, close=16.28, volume=250379, vwap=16.2709, timestamp=1679673600000, transactions=3353, otc=None)
