Agg(open=19.92, high=19.92, low=19.92, close=19.92, volume=290, vwap=19.92, timestamp=1675072800000, transactions=3, otc=None)
Agg(open=19.75, high=19.75, low=19.75, close=19.75, volume=275, vwap=19.7529, timestamp=1675076400000, transactions=3, otc=None)
Agg(open=19.75, high=19.78, low=19.75, close=19.78, volume=304, vwap=19.7604, timestamp=1675080000000, transactions=6, otc=None)
Agg(open=19.7, high=19.81, low=19.67, close=19.75, volume=76538, vwap=19.7501, timestamp=1675087200000, transactions=425, otc=None)
Agg(open=19.745, high=19.773, low=19.5231, close=19.6047, volume=82637, vwap=19.6785, timestamp=1675090800000, transactions=820, otc=None)
Agg(open=19.5999, high=19.65, low=19.5513, close=19.65, volume=68293, vwap=19.6033, timestamp=1675094400000, transactions=637, otc=None)
Agg(open=19.65, high=19.66, low=19.575, close=19.5835, volume=57410, vwap=19.6024, timestamp=1675098000000, transactions=504, otc=None)
Agg(open=19.58, high=19.63, low=19.57, close=19.605, volume=42865, vwap=19.6014, timestamp=1675101600000, transactions=448, otc=None)
Agg(open=19.6039, high=19.625, low=19.525, close=19.5481, volume=63124, vwap=19.5695, timestamp=1675105200000, transactions=621, otc=None)
Agg(open=19.545, high=19.57, low=19.45, close=19.45, volume=117302, vwap=19.5047, timestamp=1675108800000, transactions=1238, otc=None)
Agg(open=19.5, high=19.84, low=19.5, close=19.84, volume=300, vwap=19.6999, timestamp=1675170000000, transactions=5, otc=None)
Agg(open=19.56, high=19.6, low=19.45, close=19.4671, volume=44534, vwap=19.5214, timestamp=1675173600000, transactions=330, otc=None)
Agg(open=19.45, high=19.55, low=19.355, close=19.545, volume=91110, vwap=19.467, timestamp=1675177200000, transactions=763, otc=None)
Agg(open=19.545, high=19.545, low=19.48, close=19.545, volume=68515, vwap=19.5206, timestamp=1675180800000, transactions=498, otc=None)
Agg(open=19.54, high=19.585, low=19.5201, close=19.575, volume=50010, vwap=19.5617, timestamp=1675184400000, transactions=350, otc=None)
Agg(open=19.5715, high=19.61, low=19.5715, close=19.6, volume=59306, vwap=19.5904, timestamp=1675188000000, transactions=438, otc=None)
Agg(open=19.5984, high=19.6, low=19.56, close=19.595, volume=70682, vwap=19.5795, timestamp=1675191600000, transactions=546, otc=None)
Agg(open=19.595, high=19.66, low=19.545, close=19.66, volume=163073, vwap=19.6037, timestamp=1675195200000, transactions=1499, otc=None)
Agg(open=19.66, high=19.66, low=19.65, close=19.65, volume=205, vwap=19.6549, timestamp=1675256400000, transactions=3, otc=None)
Agg(open=19.62, high=19.78, low=19.62, close=19.7551, volume=60623, vwap=19.7367, timestamp=1675260000000, transactions=256, otc=None)
Agg(open=19.73, high=19.82, low=19.71, close=19.715, volume=91753, vwap=19.7766, timestamp=1675263600000, transactions=534, otc=None)
Agg(open=19.72, high=19.7425, low=19.6667, close=19.6667, volume=52029, vwap=19.705, timestamp=1675267200000, transactions=384, otc=None)
Agg(open=19.665, high=19.71, low=19.66, close=19.68, volume=47606, vwap=19.6832, timestamp=1675270800000, transactions=430, otc=None)
