Agg(open=18.14, high=18.15, low=18, close=18.14, volume=4548, vwap=18.0726, timestamp=1679914800000, transactions=14, otc=None)
Agg(open=18.1, high=18.1, low=18.1, close=18.1, volume=227, vwap=18.1026, timestamp=1679918400000, transactions=2, otc=None)
Agg(open=18.1, high=18.38, low=18.1, close=18.25, volume=127777, vwap=18.2899, timestamp=1679922000000, transactions=921, otc=None)
Agg(open=18.25, high=18.31, low=18.2, close=18.235, volume=201525, vwap=18.2742, timestamp=1679925600000, transactions=1532, otc=None)
Agg(open=18.23, high=18.3, low=18.2199, close=18.29, volume=84318, vwap=18.2578, timestamp=1679929200000, transactions=648, otc=None)
Agg(open=18.29, high=18.39, low=18.255, close=18.375, volume=75941, vwap=18.3142, timestamp=1679932800000, transactions=565, otc=None)
Agg(open=18.375, high=18.41, low=18.36, close=18.3722, volume=73101, vwap=18.3807, timestamp=1679936400000, transactions=637, otc=None)
Agg(open=18.37, high=18.37, low=18.31, close=18.3178, volume=106746, vwap=18.3456, timestamp=1679940000000, transactions=910, otc=None)
Agg(open=18.32, high=18.375, low=18.32, close=18.345, volume=173825, vwap=18.3447, timestamp=1679943600000, transactions=1523, otc=None)
Agg(open=18.35, high=18.35, low=18.35, close=18.35, volume=5314, vwap=18.35, timestamp=1679947200000, transactions=4, otc=None)
Agg(open=18.34, high=18.41, low=18.31, close=18.3419, volume=36043, vwap=18.3595, timestamp=1680008400000, transactions=242, otc=None)
Agg(open=18.34, high=18.38, low=18.27, close=18.3, volume=56502, vwap=18.3237, timestamp=1680012000000, transactions=653, otc=None)
Agg(open=18.31, high=18.4163, low=18.31, close=18.37, volume=64254, vwap=18.3709, timestamp=1680015600000, transactions=625, otc=None)
Agg(open=18.38, high=18.395, low=18.3101, close=18.34, volume=61933, vwap=18.359, timestamp=1680019200000, transactions=560, otc=None)
Agg(open=18.345, high=18.3497, low=18.25, close=18.25, volume=49311, vwap=18.296, timestamp=1680022800000, transactions=411, otc=None)
Agg(open=18.2539, high=18.32, low=18.2504, close=18.32, volume=68437, vwap=18.2893, timestamp=1680026400000, transactions=540, otc=None)
Agg(open=18.32, high=18.35, low=18.255, close=18.32, volume=160895, vwap=18.3051, timestamp=1680030000000, transactions=1402, otc=None)
Agg(open=18.34, high=18.34, low=18.34, close=18.34, volume=200, vwap=18.34, timestamp=1680091200000, transactions=3, otc=None)
Agg(open=18.33, high=18.47, low=18.33, close=18.36, volume=81248, vwap=18.4006, timestamp=1680094800000, transactions=696, otc=None)
