Agg(open=20, high=20.14, low=19.96, close=20.14, volume=1956, vwap=20.0913, timestamp=1693220400000, transactions=20, otc=None)
Agg(open=20.09, high=20.1198, low=20.04, close=20.1, volume=73324, vwap=20.0879, timestamp=1693227600000, transactions=507, otc=None)
Agg(open=20.105, high=20.13, low=20.0601, close=20.105, volume=111929, vwap=20.0997, timestamp=1693231200000, transactions=832, otc=None)
Agg(open=20.11, high=20.1293, low=20.07, close=20.12, volume=76190, vwap=20.0967, timestamp=1693234800000, transactions=594, otc=None)
Agg(open=20.13, high=20.14, low=20.1, close=20.1399, volume=51694, vwap=20.1204, timestamp=1693238400000, transactions=380, otc=None)
Agg(open=20.14, high=20.165, low=20.12, close=20.125, volume=68821, vwap=20.1409, timestamp=1693242000000, transactions=560, otc=None)
Agg(open=20.12, high=20.13, low=20.1, close=20.115, volume=80444, vwap=20.1135, timestamp=1693245600000, transactions=630, otc=None)
Agg(open=20.12, high=20.165, low=20.11, close=20.14, volume=183400, vwap=20.134, timestamp=1693249200000, transactions=1598, otc=None)
Agg(open=20.14, high=20.14, low=20.14, close=20.14, volume=1500, vwap=20.14, timestamp=1693252800000, transactions=3, otc=None)
Agg(open=20.2, high=20.2, low=20.2, close=20.2, volume=100, vwap=20.2, timestamp=1693256400000, transactions=1, otc=None)
Agg(open=20.2, high=20.2, low=20.2, close=20.2, volume=1500, vwap=20.2, timestamp=1693260000000, transactions=1, otc=None)
Agg(open=20.19, high=20.19, low=20.1, close=20.175, volume=40608, vwap=20.1621, timestamp=1693314000000, transactions=217, otc=None)
Agg(open=20.18, high=20.26, low=20.18, close=20.22, volume=110208, vwap=20.2175, timestamp=1693317600000, transactions=822, otc=None)
Agg(open=20.23, high=20.295, low=20.21, close=20.27, volume=106311, vwap=20.251, timestamp=1693321200000, transactions=772, otc=None)
Agg(open=20.28, high=20.365, low=20.2744, close=20.365, volume=154685, vwap=20.3314, timestamp=1693324800000, transactions=1021, otc=None)
Agg(open=20.3625, high=20.38, low=20.34, close=20.3699, volume=118314, vwap=20.3555, timestamp=1693328400000, transactions=790, otc=None)
Agg(open=20.365, high=20.4, low=20.355, close=20.3899, volume=101956, vwap=20.3737, timestamp=1693332000000, transactions=717, otc=None)
Agg(open=20.38, high=20.4, low=20.355, close=20.39, volume=230365, vwap=20.3815, timestamp=1693335600000, transactions=2170, otc=None)
Agg(open=20.39, high=20.39, low=20.39, close=20.39, volume=3172, vwap=20.39, timestamp=1693339200000, transactions=2, otc=None)
Agg(open=20.4, high=20.4, low=20.39, close=20.39, volume=550, vwap=20.3982, timestamp=1693346400000, transactions=4, otc=None)
Agg(open=20.4, high=20.4, low=20.4, close=20.4, volume=3721, vwap=20.4, timestamp=1693396800000, transactions=5, otc=None)
Agg(open=20.4, high=20.5451, low=20.37, close=20.545, volume=181721, vwap=20.4723, timestamp=1693400400000, transactions=880, otc=None)
Agg(open=20.545, high=20.57, low=20.48, close=20.52, volume=139319, vwap=20.5257, timestamp=1693404000000, transactions=1010, otc=None)
Agg(open=20.52, high=20.55, low=20.48, close=20.5287, volume=109305, vwap=20.5072, timestamp=1693407600000, transactions=748, otc=None)
Agg(open=20.53, high=20.56, low=20.515, close=20.535, volume=65096, vwap=20.5381, timestamp=1693411200000, transactions=631, otc=None)
Agg(open=20.54, high=20.57, low=20.52, close=20.54, volume=83351, vwap=20.545, timestamp=1693414800000, transactions=618, otc=None)
Agg(open=20.5412, high=20.5412, low=20.51, close=20.53, volume=61932, vwap=20.5221, timestamp=1693418400000, transactions=712, otc=None)
Agg(open=20.53, high=20.57, low=20.48, close=20.48, volume=174658, vwap=20.5234, timestamp=1693422000000, transactions=2185, otc=None)
Agg(open=20.48, high=20.586, low=20.48, close=20.586, volume=29710, vwap=20.5086, timestamp=1693425600000, transactions=7, otc=None)
Agg(open=20.49, high=20.49, low=20.49, close=20.49, volume=100, vwap=20.49, timestamp=1693429200000, transactions=1, otc=None)
Agg(open=20.59, high=20.59, low=20.59, close=20.59, volume=250, vwap=20.59, timestamp=1693479600000, transactions=2, otc=None)
Agg(open=20.5, high=20.5599, low=20.47, close=20.52, volume=53877, vwap=20.5111, timestamp=1693486800000, transactions=440, otc=None)
Agg(open=20.53, high=20.608, low=20.52, close=20.525, volume=108726, vwap=20.561, timestamp=1693490400000, transactions=947, otc=None)
Agg(open=20.53, high=20.55, low=20.51, close=20.5309, volume=79767, vwap=20.5321, timestamp=1693494000000, transactions=780, otc=None)
Agg(open=20.53, high=20.5402, low=20.5, close=20.51, volume=95118, vwap=20.5261, timestamp=1693497600000, transactions=852, otc=None)
Agg(open=20.5154, high=20.535, low=20.48, close=20.5, volume=91488, vwap=20.5128, timestamp=1693501200000, transactions=720, otc=None)
Agg(open=20.5, high=20.54, low=20.47, close=20.48, volume=87852, vwap=20.5039, timestamp=1693504800000, transactions=761, otc=None)
Agg(open=20.485, high=20.5, low=20.46, close=20.46, volume=182967, vwap=20.4784, timestamp=1693508400000, transactions=1899, otc=None)
Agg(open=20.46, high=20.46, low=20.46, close=20.46, volume=2522, vwap=20.46, timestamp=1693512000000, transactions=7, otc=None)
Agg(open=20.55, high=20.62, low=20.55, close=20.62, volume=5266, vwap=20.6007, timestamp=1693515600000, transactions=15, otc=None)
Agg(open=20.62, high=20.62, low=20.62, close=20.62, volume=200, vwap=20.62, timestamp=1693569600000, transactions=4, otc=None)
Agg(open=20.58, high=20.64, low=20.51, close=20.58, volume=101929, vwap=20.5607, timestamp=1693573200000, transactions=568, otc=None)
Agg(open=20.58, high=20.63, low=20.57, close=20.58, volume=86698, vwap=20.5966, timestamp=1693576800000, transactions=838, otc=None)
Agg(open=20.59, high=20.62, low=20.58, close=20.615, volume=70642, vwap=20.6045, timestamp=1693580400000, transactions=630, otc=None)
Agg(open=20.615, high=20.655, low=20.6, close=20.6542, volume=81157, vwap=20.627, timestamp=1693584000000, transactions=640, otc=None)
Agg(open=20.65, high=20.66, low=20.62, close=20.64, volume=52856, vwap=20.6391, timestamp=1693587600000, transactions=493, otc=None)
Agg(open=20.641, high=20.645, low=20.605, close=20.6228, volume=52974, vwap=20.6203, timestamp=1693591200000, transactions=490, otc=None)
Agg(open=20.63, high=20.64, low=20.581, close=20.59, volume=123529, vwap=20.6087, timestamp=1693594800000, transactions=1711, otc=None)
Agg(open=20.59, high=20.59, low=20.59, close=20.59, volume=3270, vwap=20.59, timestamp=1693598400000, transactions=3, otc=None)
Agg(open=20.59, high=20.61, low=20.55, close=20.6099, volume=9628, vwap=20.5653, timestamp=1693602000000, transactions=6, otc=None)
Agg(open=20.64, high=20.64, low=20.64, close=20.64, volume=280, vwap=20.64, timestamp=1693605600000, transactions=2, otc=None)
Agg(open=20.64, high=20.64, low=20.64, close=20.64, volume=110, vwap=20.64, timestamp=1693609200000, transactions=1, otc=None)
