Agg(open=20, high=20, low=20, close=20, volume=202, vwap=20.0001, timestamp=1699264800000, transactions=2, otc=None)
Agg(open=19.95, high=19.95, low=19.95, close=19.95, volume=222, vwap=19.95, timestamp=1699268400000, transactions=3, otc=None)
Agg(open=19.85, high=19.85, low=19.85, close=19.85, volume=1208, vwap=19.8525, timestamp=1699275600000, transactions=6, otc=None)
Agg(open=19.87, high=19.92, low=19.64, close=19.66, volume=96543, vwap=19.7697, timestamp=1699279200000, transactions=810, otc=None)
Agg(open=19.665, high=19.75, low=19.585, close=19.73, volume=159465, vwap=19.6755, timestamp=1699282800000, transactions=1395, otc=None)
Agg(open=19.725, high=19.75, low=19.7, close=19.745, volume=116529, vwap=19.7247, timestamp=1699286400000, transactions=874, otc=None)
Agg(open=19.74, high=19.76, low=19.7, close=19.72, volume=113747, vwap=19.7262, timestamp=1699290000000, transactions=1030, otc=None)
Agg(open=19.72, high=19.72, low=19.63, close=19.66, volume=123167, vwap=19.6728, timestamp=1699293600000, transactions=902, otc=None)
Agg(open=19.67, high=19.7099, low=19.66, close=19.705, volume=100670, vwap=19.6906, timestamp=1699297200000, transactions=916, otc=None)
Agg(open=19.7, high=19.74, low=19.66, close=19.74, volume=320927, vwap=19.6997, timestamp=1699300800000, transactions=2281, otc=None)
Agg(open=19.75, high=19.9, low=19.66, close=19.9, volume=22263, vwap=19.8613, timestamp=1699304400000, transactions=13, otc=None)
Agg(open=19.98, high=20.0599, low=19.98, close=20.0599, volume=19535, vwap=20.0394, timestamp=1699308000000, transactions=42, otc=None)
Agg(open=20.06, high=20.06, low=20.02, close=20.06, volume=4064, vwap=20.0451, timestamp=1699311600000, transactions=11, otc=None)
Agg(open=20.05, high=20.1, low=20.05, close=20.1, volume=8413, vwap=20.0695, timestamp=1699315200000, transactions=9, otc=None)
Agg(open=20.1, high=20.2, low=20.1, close=20.2, volume=815, vwap=20.1274, timestamp=1699358400000, transactions=13, otc=None)
