Agg(open=19.9997, high=20, low=19.8606, close=20, volume=26952, vwap=19.986, timestamp=1700485200000, transactions=44, otc=None)
Agg(open=19.99, high=19.999, low=19.79, close=19.885, volume=150988, vwap=19.8491, timestamp=1700488800000, transactions=965, otc=None)
Agg(open=19.885, high=19.9, low=19.86, close=19.875, volume=181962, vwap=19.8833, timestamp=1700492400000, transactions=1383, otc=None)
Agg(open=19.875, high=19.875, low=19.845, close=19.86, volume=133076, vwap=19.8601, timestamp=1700496000000, transactions=1144, otc=None)
Agg(open=19.865, high=19.8838, low=19.845, close=19.855, volume=143611, vwap=19.8656, timestamp=1700499600000, transactions=1154, otc=None)
Agg(open=19.855, high=19.89, low=19.845, close=19.8798, volume=148618, vwap=19.8708, timestamp=1700503200000, transactions=1141, otc=None)
Agg(open=19.873, high=19.9, low=19.8611, close=19.9, volume=144126, vwap=19.8815, timestamp=1700506800000, transactions=1163, otc=None)
Agg(open=19.8936, high=19.92, low=19.87, close=19.9, volume=340921, vwap=19.8959, timestamp=1700510400000, transactions=2334, otc=None)
Agg(open=19.9, high=19.92, low=19.9, close=19.92, volume=6217, vwap=19.9003, timestamp=1700514000000, transactions=10, otc=None)
Agg(open=19.91, high=19.91, low=19.91, close=19.91, volume=300, vwap=19.9082, timestamp=1700521200000, transactions=3, otc=None)
Agg(open=19.9, high=19.9, low=19.9, close=19.9, volume=100, vwap=19.9, timestamp=1700557200000, transactions=1, otc=None)
Agg(open=20.0853, high=20.0853, low=20.0853, close=20.0853, volume=210, vwap=20.0853, timestamp=1700571600000, transactions=1, otc=None)
Agg(open=19.81, high=19.9, low=19.81, close=19.855, volume=160623, vwap=19.8609, timestamp=1700575200000, transactions=819, otc=None)
Agg(open=19.855, high=19.88, low=19.82, close=19.84, volume=221840, vwap=19.8509, timestamp=1700578800000, transactions=1663, otc=None)
Agg(open=19.84, high=19.9, low=19.825, close=19.84, volume=161054, vwap=19.8583, timestamp=1700582400000, transactions=1367, otc=None)
Agg(open=19.845, high=19.8699, low=19.83, close=19.855, volume=138892, vwap=19.8418, timestamp=1700586000000, transactions=947, otc=None)
Agg(open=19.855, high=19.855, low=19.82, close=19.82, volume=121067, vwap=19.8386, timestamp=1700589600000, transactions=940, otc=None)
Agg(open=19.83, high=19.845, low=19.8, close=19.8, volume=124555, vwap=19.8158, timestamp=1700593200000, transactions=914, otc=None)
Agg(open=19.81, high=19.83, low=19.77, close=19.78, volume=373120, vwap=19.809, timestamp=1700596800000, transactions=2254, otc=None)
Agg(open=19.78, high=19.78, low=19.78, close=19.78, volume=5301, vwap=19.78, timestamp=1700600400000, transactions=15, otc=None)
Agg(open=19.86, high=19.86, low=19.86, close=19.86, volume=310, vwap=19.86, timestamp=1700604000000, transactions=2, otc=None)
Agg(open=19.8, high=19.8, low=19.8, close=19.8, volume=117, vwap=19.8, timestamp=1700607600000, transactions=3, otc=None)
Agg(open=19.8, high=19.8, low=19.8, close=19.8, volume=100, vwap=19.8, timestamp=1700611200000, transactions=1, otc=None)
Agg(open=19.87, high=19.91, low=19.79, close=19.805, volume=143843, vwap=19.8328, timestamp=1700661600000, transactions=878, otc=None)
Agg(open=19.8, high=19.85, low=19.77, close=19.8, volume=155159, vwap=19.8096, timestamp=1700665200000, transactions=1342, otc=None)
Agg(open=19.7999, high=19.81, low=19.78, close=19.795, volume=98633, vwap=19.7949, timestamp=1700668800000, transactions=968, otc=None)
Agg(open=19.79, high=19.81, low=19.76, close=19.76, volume=96705, vwap=19.7841, timestamp=1700672400000, transactions=826, otc=None)
Agg(open=19.76, high=19.81, low=19.76, close=19.785, volume=140999, vwap=19.7867, timestamp=1700676000000, transactions=953, otc=None)
Agg(open=19.7803, high=19.809, low=19.77, close=19.795, volume=119575, vwap=19.7906, timestamp=1700679600000, transactions=759, otc=None)
Agg(open=19.8, high=19.84, low=19.78, close=19.83, volume=190325, vwap=19.8122, timestamp=1700683200000, transactions=1665, otc=None)
Agg(open=19.83, high=19.83, low=19.83, close=19.83, volume=2944, vwap=19.83, timestamp=1700686800000, transactions=10, otc=None)
Agg(open=19.98, high=19.98, low=19.98, close=19.98, volume=151, vwap=19.98, timestamp=1700830800000, transactions=1, otc=None)
Agg(open=19.91, high=19.97, low=19.83, close=19.91, volume=169126, vwap=19.9084, timestamp=1700834400000, transactions=1178, otc=None)
Agg(open=19.91, high=19.975, low=19.9, close=19.91, volume=270887, vwap=19.927, timestamp=1700838000000, transactions=1947, otc=None)
Agg(open=19.91, high=19.92, low=19.87, close=19.8951, volume=230543, vwap=19.8972, timestamp=1700841600000, transactions=1540, otc=None)
Agg(open=19.9, high=19.96, low=19.895, close=19.925, volume=306389, vwap=19.9269, timestamp=1700845200000, transactions=2377, otc=None)
Agg(open=19.96, high=19.96, low=19.95, close=19.95, volume=1008, vwap=19.9519, timestamp=1700848800000, transactions=10, otc=None)
