Agg(open=17.68, high=17.68, low=17.67, close=17.67, volume=791, vwap=17.6767, timestamp=1690797600000, transactions=5, otc=None)
Agg(open=17.79, high=17.79, low=17.79, close=17.79, volume=356, vwap=17.7608, timestamp=1690801200000, transactions=12, otc=None)
Agg(open=17.83, high=17.83, low=17.62, close=17.83, volume=2554, vwap=17.8099, timestamp=1690804800000, transactions=23, otc=None)
Agg(open=17.83, high=18.31, low=17.8, close=18.01, volume=388201, vwap=18.0447, timestamp=1690808400000, transactions=4225, otc=None)
Agg(open=18.015, high=18.25, low=18.015, close=18.13, volume=451340, vwap=18.1283, timestamp=1690812000000, transactions=5479, otc=None)
Agg(open=18.13, high=18.235, low=18.05, close=18.07, volume=300957, vwap=18.1336, timestamp=1690815600000, transactions=3251, otc=None)
Agg(open=18.07, high=18.178, low=18.055, close=18.13, volume=159144, vwap=18.1177, timestamp=1690819200000, transactions=1815, otc=None)
Agg(open=18.12, high=18.465, low=18.075, close=18.445, volume=268687, vwap=18.3285, timestamp=1690822800000, transactions=2581, otc=None)
Agg(open=18.445, high=18.51, low=18.275, close=18.42, volume=356762, vwap=18.3766, timestamp=1690826400000, transactions=3593, otc=None)
Agg(open=18.42, high=18.435, low=18.16, close=18.37, volume=741557, vwap=18.2982, timestamp=1690830000000, transactions=7948, otc=None)
Agg(open=18.37, high=18.48, low=18.37, close=18.48, volume=19639, vwap=18.3734, timestamp=1690833600000, transactions=28, otc=None)
Agg(open=18.4, high=18.48, low=18.4, close=18.48, volume=400, vwap=18.43, timestamp=1690837200000, transactions=4, otc=None)
Agg(open=18.48, high=18.48, low=18.41, close=18.48, volume=3802, vwap=18.4616, timestamp=1690840800000, transactions=8, otc=None)
Agg(open=18.41, high=18.47, low=18.25, close=18.47, volume=1434, vwap=18.3895, timestamp=1690844400000, transactions=12, otc=None)
Agg(open=18.37, high=18.37, low=18.37, close=18.37, volume=249, vwap=18.37, timestamp=1690876800000, transactions=1, otc=None)
Agg(open=18.37, high=18.37, low=18.37, close=18.37, volume=200, vwap=18.37, timestamp=1690880400000, transactions=1, otc=None)
Agg(open=18.35, high=18.42, low=18.3, close=18.3, volume=1947, vwap=18.3562, timestamp=1690887600000, transactions=18, otc=None)
Agg(open=18.25, high=18.4, low=18.14, close=18.2, volume=5629, vwap=18.2177, timestamp=1690891200000, transactions=33, otc=None)
Agg(open=18.19, high=18.31, low=17.89, close=18.0402, volume=243406, vwap=18.1048, timestamp=1690894800000, transactions=2576, otc=None)
Agg(open=18.04, high=18.16, low=17.87, close=18.12, volume=303507, vwap=17.9863, timestamp=1690898400000, transactions=4138, otc=None)
Agg(open=18.12, high=18.22, low=18.06, close=18.1, volume=179046, vwap=18.1466, timestamp=1690902000000, transactions=3048, otc=None)
Agg(open=18.1, high=18.24, low=18.0901, close=18.23, volume=129319, vwap=18.1525, timestamp=1690905600000, transactions=2191, otc=None)
Agg(open=18.235, high=18.28, low=18.1705, close=18.22, volume=137441, vwap=18.2389, timestamp=1690909200000, transactions=2061, otc=None)
Agg(open=18.215, high=18.295, low=17.98, close=18.035, volume=410808, vwap=18.1069, timestamp=1690912800000, transactions=4469, otc=None)
Agg(open=18.04, high=18.07, low=17.905, close=17.94, volume=1085155.0, vwap=17.978, timestamp=1690916400000, transactions=9688, otc=None)
Agg(open=17.94, high=18.24, low=17.93, close=17.93, volume=19584, vwap=17.9555, timestamp=1690920000000, transactions=31, otc=None)
Agg(open=18.11, high=18.11, low=17.85, close=18, volume=832, vwap=18.0252, timestamp=1690923600000, transactions=5, otc=None)
Agg(open=17.75, high=17.75, low=17.71, close=17.71, volume=1449, vwap=17.7289, timestamp=1690927200000, transactions=10, otc=None)
Agg(open=17.77, high=17.95, low=17.75, close=17.75, volume=1869, vwap=17.7732, timestamp=1690930800000, transactions=9, otc=None)
Agg(open=17.79, high=17.79, low=16.85, close=17, volume=1706, vwap=17.0666, timestamp=1690963200000, transactions=14, otc=None)
Agg(open=17.2, high=17.2, low=17.2, close=17.2, volume=110, vwap=17.2, timestamp=1690966800000, transactions=1, otc=None)
Agg(open=17.46, high=17.66, low=17.32, close=17.65, volume=4571, vwap=17.5136, timestamp=1690974000000, transactions=39, otc=None)
Agg(open=17.5004, high=17.7, low=17.3657, close=17.55, volume=18787, vwap=17.4789, timestamp=1690977600000, transactions=85, otc=None)
Agg(open=17.38, high=17.5999, low=16.97, close=17.095, volume=328544, vwap=17.1559, timestamp=1690981200000, transactions=4104, otc=None)
Agg(open=17.12, high=17.215, low=16.75, close=16.77, volume=536077, vwap=16.9558, timestamp=1690984800000, transactions=7237, otc=None)
Agg(open=16.76, high=16.8079, low=16.42, close=16.42, volume=471277, vwap=16.6125, timestamp=1690988400000, transactions=5563, otc=None)
Agg(open=16.43, high=16.59, low=16.26, close=16.58, volume=311488, vwap=16.4558, timestamp=1690992000000, transactions=4521, otc=None)
Agg(open=16.575, high=16.68, low=16.53, close=16.5698, volume=232774, vwap=16.5947, timestamp=1690995600000, transactions=3499, otc=None)
Agg(open=16.57, high=16.72, low=16.5493, close=16.5799, volume=288185, vwap=16.6232, timestamp=1690999200000, transactions=4501, otc=None)
Agg(open=16.575, high=16.615, low=16.39, close=16.44, volume=996599, vwap=16.4712, timestamp=1691002800000, transactions=9901, otc=None)
Agg(open=16.45, high=17.26, low=16.45, close=17.06, volume=99577, vwap=16.8204, timestamp=1691006400000, transactions=321, otc=None)
Agg(open=17.0501, high=17.3258, low=17.0501, close=17.18, volume=15588, vwap=17.1888, timestamp=1691010000000, transactions=65, otc=None)
Agg(open=17.18, high=17.21, low=17.15, close=17.15, volume=2477, vwap=17.1694, timestamp=1691013600000, transactions=17, otc=None)
Agg(open=17.1, high=17.1, low=17.1, close=17.1, volume=1783, vwap=17.1, timestamp=1691017200000, transactions=8, otc=None)
Agg(open=17.15, high=17.99, low=17.15, close=17.99, volume=3739, vwap=17.5821, timestamp=1691049600000, transactions=28, otc=None)
Agg(open=17.72, high=17.72, low=17.59, close=17.6, volume=532, vwap=17.632, timestamp=1691053200000, transactions=5, otc=None)
Agg(open=17.6, high=17.86, low=17.58, close=17.86, volume=1420, vwap=17.6921, timestamp=1691056800000, transactions=16, otc=None)
Agg(open=17.59, high=17.71, low=17.4, close=17.66, volume=6711, vwap=17.5536, timestamp=1691060400000, transactions=85, otc=None)
Agg(open=17.7, high=17.87, low=17.4, close=17.87, volume=74953, vwap=17.645, timestamp=1691064000000, transactions=224, otc=None)
Agg(open=17.75, high=19.89, low=17.55, close=19.28, volume=2270897.0, vwap=19.0196, timestamp=1691067600000, transactions=17560, otc=None)
Agg(open=19.3, high=19.87, low=18.98, close=19.87, volume=1837132.0, vwap=19.4247, timestamp=1691071200000, transactions=16442, otc=None)
Agg(open=19.88, high=19.89, low=19.26, close=19.4955, volume=1055599.0, vwap=19.5115, timestamp=1691074800000, transactions=10270, otc=None)
Agg(open=19.49, high=20.26, low=19.46, close=20.26, volume=1214119.0, vwap=19.8983, timestamp=1691078400000, transactions=8806, otc=None)
Agg(open=20.26, high=20.37, low=19.86, close=20.0799, volume=757601, vwap=20.1462, timestamp=1691082000000, transactions=6476, otc=None)
Agg(open=20.0792, high=20.486, low=19.9, close=20.486, volume=765697, vwap=20.1982, timestamp=1691085600000, transactions=7021, otc=None)
Agg(open=20.48, high=20.58, low=20.18, close=20.235, volume=2045280.0, vwap=20.3313, timestamp=1691089200000, transactions=15623, otc=None)
Agg(open=20.24, high=20.35, low=20.234, close=20.28, volume=83582, vwap=20.2505, timestamp=1691092800000, transactions=140, otc=None)
Agg(open=20.28, high=20.4, low=20.28, close=20.32, volume=19417, vwap=20.318, timestamp=1691096400000, transactions=76, otc=None)
Agg(open=20.33, high=20.45, low=20.33, close=20.45, volume=4801, vwap=20.4069, timestamp=1691100000000, transactions=22, otc=None)
Agg(open=20.45, high=20.6, low=20.4, close=20.5, volume=6079, vwap=20.5344, timestamp=1691103600000, transactions=74, otc=None)
Agg(open=20.96, high=20.96, low=20.62, close=20.62, volume=1202, vwap=20.7513, timestamp=1691136000000, transactions=25, otc=None)
Agg(open=20.74, high=20.74, low=20.74, close=20.74, volume=157, vwap=20.7403, timestamp=1691139600000, transactions=2, otc=None)
Agg(open=20.55, high=20.55, low=20.36, close=20.36, volume=7964, vwap=20.4541, timestamp=1691146800000, transactions=17, otc=None)
Agg(open=20.5011, high=20.56, low=20.0201, close=20.3, volume=16875, vwap=20.2776, timestamp=1691150400000, transactions=97, otc=None)
Agg(open=20.3, high=20.96, low=20.24, close=20.28, volume=754235, vwap=20.527, timestamp=1691154000000, transactions=6541, otc=None)
Agg(open=20.28, high=20.72, low=20.245, close=20.53, volume=749529, vwap=20.4481, timestamp=1691157600000, transactions=8839, otc=None)
Agg(open=20.54, high=20.88, low=20.48, close=20.77, volume=452988, vwap=20.6977, timestamp=1691161200000, transactions=5431, otc=None)
Agg(open=20.76, high=20.915, low=20.7, close=20.8, volume=313927, vwap=20.795, timestamp=1691164800000, transactions=4524, otc=None)
Agg(open=20.795, high=21.19, low=20.795, close=21.1, volume=509775, vwap=21.0437, timestamp=1691168400000, transactions=6287, otc=None)
Agg(open=21.1, high=21.1499, low=20.815, close=20.905, volume=676951, vwap=21.0087, timestamp=1691172000000, transactions=8763, otc=None)
Agg(open=20.91, high=21.15, low=20.91, close=20.98, volume=1610619.0, vwap=21.0055, timestamp=1691175600000, transactions=13744, otc=None)
Agg(open=20.98, high=21.06, low=20.95, close=21.05, volume=88643, vwap=20.9845, timestamp=1691179200000, transactions=80, otc=None)
Agg(open=21.09, high=21.09, low=20.95, close=20.97, volume=2038, vwap=20.9775, timestamp=1691182800000, transactions=10, otc=None)
Agg(open=21, high=21, low=20.97, close=20.97, volume=460, vwap=20.9804, timestamp=1691186400000, transactions=4, otc=None)
Agg(open=21, high=21.2, low=20.81, close=21.03, volume=3374, vwap=21.0986, timestamp=1691190000000, transactions=20, otc=None)
