Agg(open=21.09, high=21.09, low=21, close=21, volume=3904, vwap=21.0067, timestamp=1691395200000, transactions=10, otc=None)
Agg(open=21.03, high=21.17, low=21.03, close=21.1, volume=3736, vwap=21.0935, timestamp=1691406000000, transactions=27, otc=None)
Agg(open=21.1, high=21.17, low=21.05, close=21.12, volume=4633, vwap=21.0895, timestamp=1691409600000, transactions=48, otc=None)
Agg(open=21.17, high=21.26, low=19.471, close=19.57, volume=765313, vwap=20.1676, timestamp=1691413200000, transactions=6687, otc=None)
Agg(open=19.57, high=20.2, low=19.43, close=20.11, volume=716576, vwap=19.7999, timestamp=1691416800000, transactions=8231, otc=None)
Agg(open=20.1, high=20.2, low=19.815, close=20.08, volume=431213, vwap=20.0399, timestamp=1691420400000, transactions=5713, otc=None)
Agg(open=20.085, high=20.49, low=20.05, close=20.395, volume=288712, vwap=20.363, timestamp=1691424000000, transactions=4141, otc=None)
Agg(open=20.39, high=20.53, low=20.17, close=20.255, volume=248914, vwap=20.372, timestamp=1691427600000, transactions=3583, otc=None)
Agg(open=20.25, high=20.53, low=20.2117, close=20.442, volume=305493, vwap=20.4231, timestamp=1691431200000, transactions=4108, otc=None)
Agg(open=20.46, high=20.75, low=20.42, close=20.75, volume=687733, vwap=20.615, timestamp=1691434800000, transactions=9451, otc=None)
Agg(open=20.74, high=21.05, low=20.72, close=21.05, volume=42834, vwap=20.7454, timestamp=1691438400000, transactions=54, otc=None)
Agg(open=20.85, high=20.85, low=20.7, close=20.7, volume=2468, vwap=20.773, timestamp=1691442000000, transactions=7, otc=None)
Agg(open=20.53, high=20.7, low=20.53, close=20.7, volume=441, vwap=20.6306, timestamp=1691445600000, transactions=2, otc=None)
Agg(open=20.72, high=20.8, low=20.7, close=20.8, volume=400, vwap=20.73, timestamp=1691449200000, transactions=3, otc=None)
Agg(open=20.52, high=20.52, low=19.84, close=20.04, volume=8344, vwap=20.0889, timestamp=1691492400000, transactions=52, otc=None)
Agg(open=20.1, high=20.2, low=19.82, close=19.8802, volume=12057, vwap=20.0176, timestamp=1691496000000, transactions=44, otc=None)
Agg(open=20, high=20.5, low=19.9846, close=20.34, volume=277383, vwap=20.2665, timestamp=1691499600000, transactions=3270, otc=None)
Agg(open=20.325, high=20.39, low=19.77, close=19.805, volume=389649, vwap=20.0738, timestamp=1691503200000, transactions=5102, otc=None)
Agg(open=19.805, high=20.52, low=19.73, close=20.48, volume=590408, vwap=20.1974, timestamp=1691506800000, transactions=6689, otc=None)
Agg(open=20.48, high=21.28, low=20.48, close=21.205, volume=775981, vwap=20.8715, timestamp=1691510400000, transactions=6524, otc=None)
Agg(open=21.2, high=21.36, low=20.82, close=21.24, volume=607584, vwap=21.1353, timestamp=1691514000000, transactions=6006, otc=None)
Agg(open=21.25, high=21.36, low=20.96, close=21.12, volume=461741, vwap=21.1622, timestamp=1691517600000, transactions=4665, otc=None)
Agg(open=21.12, high=21.125, low=20.75, close=20.91, volume=806355, vwap=20.9062, timestamp=1691521200000, transactions=8844, otc=None)
Agg(open=20.91, high=21.08, low=20.76, close=20.76, volume=34296, vwap=20.9117, timestamp=1691524800000, transactions=36, otc=None)
Agg(open=20.74, high=20.77, low=20.74, close=20.77, volume=200, vwap=20.755, timestamp=1691528400000, transactions=2, otc=None)
Agg(open=20.75, high=20.75, low=20.7, close=20.7, volume=2860, vwap=20.7224, timestamp=1691532000000, transactions=5, otc=None)
Agg(open=20.56, high=20.56, low=20.56, close=20.56, volume=500, vwap=20.56, timestamp=1691535600000, transactions=1, otc=None)
Agg(open=21, high=21, low=20.96, close=20.96, volume=1231, vwap=20.9744, timestamp=1691578800000, transactions=8, otc=None)
Agg(open=20.8, high=21.09, low=20.8, close=20.85, volume=11589, vwap=20.9932, timestamp=1691582400000, transactions=29, otc=None)
Agg(open=20.8, high=21.22, low=20.695, close=20.99, volume=348286, vwap=20.9507, timestamp=1691586000000, transactions=3288, otc=None)
Agg(open=20.99, high=21.54, low=20.42, close=20.42, volume=1248991.0, vwap=21.1857, timestamp=1691589600000, transactions=10996, otc=None)
Agg(open=20.44, high=20.795, low=20.42, close=20.6699, volume=577094, vwap=20.5837, timestamp=1691593200000, transactions=6382, otc=None)
Agg(open=20.65, high=20.9593, low=20.64, close=20.765, volume=217807, vwap=20.823, timestamp=1691596800000, transactions=3568, otc=None)
Agg(open=20.77, high=20.905, low=20.58, close=20.6, volume=198116, vwap=20.7769, timestamp=1691600400000, transactions=3216, otc=None)
Agg(open=20.6, high=21.15, low=20.55, close=20.8897, volume=436593, vwap=20.882, timestamp=1691604000000, transactions=5638, otc=None)
Agg(open=20.88, high=20.89, low=20.24, close=20.37, volume=1599734.0, vwap=20.4901, timestamp=1691607600000, transactions=13634, otc=None)
Agg(open=20.38, high=20.829, low=20.21, close=20.829, volume=12205, vwap=20.3933, timestamp=1691611200000, transactions=16, otc=None)
Agg(open=20.38, high=20.38, low=20.38, close=20.38, volume=100, vwap=20.38, timestamp=1691614800000, transactions=1, otc=None)
Agg(open=20.39, high=20.39, low=20.39, close=20.39, volume=630, vwap=20.39, timestamp=1691618400000, transactions=4, otc=None)
Agg(open=20.95, high=21.25, low=20.95, close=21.25, volume=500, vwap=21.19, timestamp=1691654400000, transactions=3, otc=None)
Agg(open=21.2, high=21.2, low=20.3701, close=20.63, volume=9492, vwap=20.618, timestamp=1691668800000, transactions=34, otc=None)
Agg(open=20.98, high=20.98, low=20.38, close=20.78, volume=172745, vwap=20.67, timestamp=1691672400000, transactions=2473, otc=None)
Agg(open=20.79, high=20.93, low=20.24, close=20.295, volume=359738, vwap=20.6353, timestamp=1691676000000, transactions=4946, otc=None)
Agg(open=20.295, high=20.31, low=19.67, close=19.78, volume=572559, vwap=19.9428, timestamp=1691679600000, transactions=5414, otc=None)
Agg(open=19.77, high=19.91, low=19.521, close=19.57, volume=271781, vwap=19.7366, timestamp=1691683200000, transactions=3990, otc=None)
Agg(open=19.58, high=19.64, low=19.26, close=19.32, volume=502206, vwap=19.4522, timestamp=1691686800000, transactions=5939, otc=None)
Agg(open=19.3201, high=19.59, low=19.31, close=19.57, volume=258811, vwap=19.3954, timestamp=1691690400000, transactions=4416, otc=None)
Agg(open=19.57, high=19.57, low=19.21, close=19.31, volume=1009608.0, vwap=19.3802, timestamp=1691694000000, transactions=8721, otc=None)
Agg(open=19.31, high=19.34, low=19.2194, close=19.2402, volume=21598, vwap=19.3061, timestamp=1691697600000, transactions=29, otc=None)
Agg(open=19.3, high=19.33, low=19.25, close=19.33, volume=1200, vwap=19.3083, timestamp=1691701200000, transactions=4, otc=None)
Agg(open=19.33, high=19.33, low=19.33, close=19.33, volume=9833, vwap=19.33, timestamp=1691704800000, transactions=2, otc=None)
Agg(open=19.46, high=19.46, low=19.46, close=19.46, volume=360, vwap=19.4599, timestamp=1691708400000, transactions=5, otc=None)
Agg(open=19.23, high=19.23, low=19.21, close=19.21, volume=702, vwap=19.2217, timestamp=1691748000000, transactions=6, otc=None)
Agg(open=19.21, high=19.25, low=19.21, close=19.25, volume=4200, vwap=19.2214, timestamp=1691751600000, transactions=8, otc=None)
Agg(open=19.17, high=19.3565, low=19.01, close=19.1, volume=12550, vwap=19.1468, timestamp=1691755200000, transactions=57, otc=None)
Agg(open=19.1, high=19.36, low=18.85, close=19.24, volume=274661, vwap=19.1043, timestamp=1691758800000, transactions=2526, otc=None)
Agg(open=19.24, high=19.8, low=19.24, close=19.5992, volume=426740, vwap=19.5638, timestamp=1691762400000, transactions=5725, otc=None)
Agg(open=19.6, high=19.625, low=19.37, close=19.61, volume=196808, vwap=19.4868, timestamp=1691766000000, transactions=2999, otc=None)
Agg(open=19.615, high=19.76, low=19.59, close=19.7, volume=147280, vwap=19.6767, timestamp=1691769600000, transactions=2476, otc=None)
Agg(open=19.7007, high=19.795, low=19.6, close=19.695, volume=141021, vwap=19.6945, timestamp=1691773200000, transactions=2366, otc=None)
