Agg(open=13.02, high=13.02, low=13, close=13, volume=1336, vwap=13.0037, timestamp=1682337600000, transactions=13, otc=None)
Agg(open=12.96, high=13.49, low=12.96, close=13.48, volume=739082, vwap=13.2921, timestamp=1682341200000, transactions=6646, otc=None)
Agg(open=13.48, high=13.745, low=13.355, close=13.38, volume=1123781.0, vwap=13.5784, timestamp=1682344800000, transactions=9428, otc=None)
Agg(open=13.38, high=13.6, low=13.35, close=13.6, volume=476619, vwap=13.4904, timestamp=1682348400000, transactions=3695, otc=None)
Agg(open=13.59, high=13.66, low=13.58, close=13.625, volume=472640, vwap=13.6169, timestamp=1682352000000, transactions=4175, otc=None)
Agg(open=13.625, high=13.72, low=13.59, close=13.65, volume=575239, vwap=13.6442, timestamp=1682355600000, transactions=4434, otc=None)
Agg(open=13.645, high=13.785, low=13.63, close=13.705, volume=753332, vwap=13.7163, timestamp=1682359200000, transactions=6327, otc=None)
Agg(open=13.705, high=13.735, low=13.56, close=13.61, volume=1718132.0, vwap=13.6266, timestamp=1682362800000, transactions=9992, otc=None)
Agg(open=13.61, high=13.61, low=13.61, close=13.61, volume=26210, vwap=13.61, timestamp=1682366400000, transactions=12, otc=None)
Agg(open=13.37, high=13.45, low=12.955, close=12.955, volume=339062, vwap=13.1685, timestamp=1682427600000, transactions=2960, otc=None)
Agg(open=12.955, high=13.07, low=12.85, close=12.985, volume=490220, vwap=12.9558, timestamp=1682431200000, transactions=4823, otc=None)
Agg(open=12.99, high=13.04, low=12.945, close=13.01, volume=511934, vwap=12.992, timestamp=1682434800000, transactions=3636, otc=None)
Agg(open=13.01, high=13.14, low=13.005, close=13.01, volume=488772, vwap=13.07, timestamp=1682438400000, transactions=3415, otc=None)
Agg(open=13.015, high=13.07, low=12.895, close=12.99, volume=408805, vwap=12.9728, timestamp=1682442000000, transactions=3080, otc=None)
Agg(open=12.995, high=13.05, low=12.94, close=12.9607, volume=547460, vwap=12.9969, timestamp=1682445600000, transactions=4055, otc=None)
Agg(open=12.965, high=13.01, low=12.82, close=12.83, volume=1199277.0, vwap=12.8845, timestamp=1682449200000, transactions=7149, otc=None)
Agg(open=12.83, high=13.08, low=12.83, close=12.86, volume=19590, vwap=12.8327, timestamp=1682452800000, transactions=18, otc=None)
Agg(open=12.75, high=12.75, low=12.75, close=12.75, volume=109, vwap=12.7492, timestamp=1682496000000, transactions=2, otc=None)
Agg(open=12.84, high=12.85, low=12.8, close=12.8, volume=1576, vwap=12.8321, timestamp=1682506800000, transactions=9, otc=None)
Agg(open=12.77, high=12.97, low=12.7, close=12.81, volume=437342, vwap=12.837, timestamp=1682514000000, transactions=2884, otc=None)
Agg(open=12.8, high=12.905, low=12.73, close=12.845, volume=767761, vwap=12.813, timestamp=1682517600000, transactions=5286, otc=None)
Agg(open=12.845, high=13.13, low=12.84, close=13.11, volume=789712, vwap=13.0034, timestamp=1682521200000, transactions=5201, otc=None)
Agg(open=13.12, high=13.155, low=12.99, close=13.03, volume=543788, vwap=13.0489, timestamp=1682524800000, transactions=3442, otc=None)
Agg(open=13.03, high=13.08, low=12.84, close=12.845, volume=955652, vwap=12.9676, timestamp=1682528400000, transactions=5793, otc=None)
Agg(open=12.84, high=12.875, low=12.695, close=12.8399, volume=654831, vwap=12.7753, timestamp=1682532000000, transactions=5068, otc=None)
Agg(open=12.84, high=12.85, low=12.7, close=12.805, volume=1314327.0, vwap=12.7788, timestamp=1682535600000, transactions=8686, otc=None)
