Agg(open=15, high=15, low=14.97, close=15, volume=3800, vwap=14.9987, timestamp=1685952000000, transactions=18, otc=None)
Agg(open=15.05, high=15.05, low=15.02, close=15.02, volume=400, vwap=15.035, timestamp=1685962800000, transactions=2, otc=None)
Agg(open=15.06, high=15.08, low=15.06, close=15.08, volume=3491, vwap=15.0724, timestamp=1685966400000, transactions=14, otc=None)
Agg(open=15.02, high=15.02, low=14.575, close=14.58, volume=348866, vwap=14.7921, timestamp=1685970000000, transactions=2745, otc=None)
Agg(open=14.58, high=14.645, low=14.365, close=14.385, volume=569241, vwap=14.4499, timestamp=1685973600000, transactions=5112, otc=None)
Agg(open=14.385, high=14.58, low=14.385, close=14.525, volume=437451, vwap=14.4801, timestamp=1685977200000, transactions=4218, otc=None)
Agg(open=14.53, high=14.61, low=14.5, close=14.55, volume=229772, vwap=14.5567, timestamp=1685980800000, transactions=2606, otc=None)
Agg(open=14.56, high=14.575, low=14.46, close=14.55, volume=235591, vwap=14.5147, timestamp=1685984400000, transactions=2413, otc=None)
Agg(open=14.545, high=14.575, low=14.45, close=14.525, volume=340947, vwap=14.5023, timestamp=1685988000000, transactions=3381, otc=None)
Agg(open=14.53, high=14.565, low=14.45, close=14.47, volume=882221, vwap=14.4932, timestamp=1685991600000, transactions=7160, otc=None)
Agg(open=14.46, high=14.46, low=14.46, close=14.46, volume=38664, vwap=14.46, timestamp=1685995200000, transactions=13, otc=None)
Agg(open=14.0974, high=14.0974, low=14.0974, close=14.0974, volume=100, vwap=14.0974, timestamp=1686002400000, transactions=1, otc=None)
Agg(open=14.57, high=14.57, low=14.57, close=14.57, volume=196, vwap=14.7757, timestamp=1686006000000, transactions=2, otc=None)
Agg(open=14.26, high=14.475, low=14.1209, close=14.44, volume=195141, vwap=14.3694, timestamp=1686056400000, transactions=1903, otc=None)
Agg(open=14.45, high=14.67, low=14.45, close=14.57, volume=613909, vwap=14.5398, timestamp=1686060000000, transactions=6282, otc=None)
Agg(open=14.57, high=14.66, low=14.555, close=14.6, volume=240756, vwap=14.6093, timestamp=1686063600000, transactions=2972, otc=None)
Agg(open=14.595, high=14.6, low=14.36, close=14.36, volume=388709, vwap=14.4461, timestamp=1686067200000, transactions=3623, otc=None)
Agg(open=14.36, high=14.4, low=14.33, close=14.36, volume=288691, vwap=14.365, timestamp=1686070800000, transactions=3167, otc=None)
Agg(open=14.36, high=14.39, low=14.3, close=14.31, volume=421715, vwap=14.3387, timestamp=1686074400000, transactions=4389, otc=None)
Agg(open=14.31, high=14.34, low=14.225, close=14.25, volume=1200549.0, vwap=14.2738, timestamp=1686078000000, transactions=9595, otc=None)
Agg(open=14.26, high=14.26, low=14.26, close=14.26, volume=32254, vwap=14.26, timestamp=1686081600000, transactions=11, otc=None)
Agg(open=14.3, high=14.46, low=14.3, close=14.36, volume=935, vwap=14.3659, timestamp=1686135600000, transactions=5, otc=None)
Agg(open=14.34, high=14.35, low=14.34, close=14.35, volume=1194, vwap=14.343, timestamp=1686139200000, transactions=8, otc=None)
Agg(open=14.36, high=14.77, low=14.35, close=14.77, volume=480388, vwap=14.5962, timestamp=1686142800000, transactions=3422, otc=None)
Agg(open=14.77, high=14.915, low=14.725, close=14.825, volume=774309, vwap=14.8265, timestamp=1686146400000, transactions=8401, otc=None)
Agg(open=14.83, high=14.99, low=14.805, close=14.945, volume=858588, vwap=14.8935, timestamp=1686150000000, transactions=5588, otc=None)
Agg(open=14.94, high=14.97, low=14.79, close=14.805, volume=472371, vwap=14.899, timestamp=1686153600000, transactions=4263, otc=None)
Agg(open=14.805, high=14.86, low=14.695, close=14.75, volume=669743, vwap=14.7603, timestamp=1686157200000, transactions=5122, otc=None)
Agg(open=14.75, high=14.83, low=14.73, close=14.83, volume=586163, vwap=14.7719, timestamp=1686160800000, transactions=4858, otc=None)
Agg(open=14.83, high=14.91, low=14.815, close=14.83, volume=1387511.0, vwap=14.8632, timestamp=1686164400000, transactions=9617, otc=None)
Agg(open=14.82, high=14.82, low=14.82, close=14.82, volume=87130, vwap=14.82, timestamp=1686168000000, transactions=18, otc=None)
Agg(open=14.54, high=14.54, low=14.54, close=14.54, volume=330, vwap=14.5879, timestamp=1686171600000, transactions=4, otc=None)
Agg(open=14.98, high=14.98, low=14.98, close=14.98, volume=125, vwap=14.9728, timestamp=1686222000000, transactions=2, otc=None)
Agg(open=14.8, high=14.94, low=14.76, close=14.865, volume=221466, vwap=14.856, timestamp=1686229200000, transactions=2147, otc=None)
Agg(open=14.86, high=15.02, low=14.83, close=14.86, volume=395142, vwap=14.9179, timestamp=1686232800000, transactions=3994, otc=None)
Agg(open=14.86, high=15.045, low=14.74, close=14.74, volume=816934, vwap=14.9311, timestamp=1686236400000, transactions=6304, otc=None)
Agg(open=14.74, high=14.95, low=14.7, close=14.91, volume=445813, vwap=14.8188, timestamp=1686240000000, transactions=3735, otc=None)
Agg(open=14.91, high=14.99, low=14.895, close=14.94, volume=299494, vwap=14.9441, timestamp=1686243600000, transactions=3276, otc=None)
Agg(open=14.95, high=15.01, low=14.92, close=14.97, volume=286441, vwap=14.9669, timestamp=1686247200000, transactions=3137, otc=None)
Agg(open=14.97, high=14.98, low=14.79, close=14.87, volume=1006503.0, vwap=14.858, timestamp=1686250800000, transactions=6963, otc=None)
Agg(open=14.86, high=14.86, low=14.86, close=14.86, volume=49533, vwap=14.86, timestamp=1686254400000, transactions=17, otc=None)
Agg(open=14.65, high=14.65, low=14.57, close=14.57, volume=1000, vwap=14.5953, timestamp=1686258000000, transactions=7, otc=None)
Agg(open=14.91, high=14.97, low=14.9, close=14.96, volume=3171, vwap=14.9499, timestamp=1686312000000, transactions=10, otc=None)
Agg(open=14.84, high=14.915, low=14.78, close=14.83, volume=261835, vwap=14.8541, timestamp=1686315600000, transactions=2125, otc=None)
Agg(open=14.83, high=15.2, low=14.83, close=15.165, volume=1003898.0, vwap=15.097, timestamp=1686319200000, transactions=5628, otc=None)
Agg(open=15.1693, high=15.215, low=14.855, close=14.885, volume=671651, vwap=15.0438, timestamp=1686322800000, transactions=4641, otc=None)
Agg(open=14.89, high=14.93, low=14.86, close=14.915, volume=244389, vwap=14.8927, timestamp=1686326400000, transactions=2512, otc=None)
Agg(open=14.915, high=14.96, low=14.86, close=14.915, volume=244724, vwap=14.9199, timestamp=1686330000000, transactions=2597, otc=None)
Agg(open=14.92, high=14.96, low=14.89, close=14.91, volume=232466, vwap=14.9238, timestamp=1686333600000, transactions=2868, otc=None)
Agg(open=14.905, high=14.93, low=14.87, close=14.91, volume=639320, vwap=14.9008, timestamp=1686337200000, transactions=6602, otc=None)
Agg(open=14.92, high=14.92, low=14.92, close=14.92, volume=26558, vwap=14.92, timestamp=1686340800000, transactions=20, otc=None)
