Agg(open=22.07, high=22.07, low=22.07, close=22.07, volume=397, vwap=22.1235, timestamp=1699272000000, transactions=5, otc=None)
Agg(open=22.05, high=22.09, low=22.05, close=22.09, volume=1130, vwap=22.0612, timestamp=1699275600000, transactions=9, otc=None)
Agg(open=22.18, high=22.25, low=21.82, close=21.915, volume=650471, vwap=22.0224, timestamp=1699279200000, transactions=4951, otc=None)
Agg(open=21.91, high=22.115, low=21.9, close=21.98, volume=988068, vwap=22.007, timestamp=1699282800000, transactions=6155, otc=None)
Agg(open=21.97, high=22.025, low=21.78, close=21.875, volume=534881, vwap=21.9473, timestamp=1699286400000, transactions=4457, otc=None)
Agg(open=21.875, high=21.96, low=21.86, close=21.955, volume=468593, vwap=21.9167, timestamp=1699290000000, transactions=4120, otc=None)
Agg(open=21.955, high=22.01, low=21.78, close=22.01, volume=592168, vwap=21.9217, timestamp=1699293600000, transactions=5090, otc=None)
Agg(open=22.005, high=22.04, low=21.91, close=22.015, volume=596704, vwap=21.9687, timestamp=1699297200000, transactions=5333, otc=None)
Agg(open=22.015, high=22.08, low=21.915, close=21.99, volume=1994589.0, vwap=22.01, timestamp=1699300800000, transactions=12515, otc=None)
Agg(open=21.99, high=22.74, low=21.99, close=22.19, volume=33970, vwap=21.9962, timestamp=1699304400000, transactions=21, otc=None)
Agg(open=21.73, high=21.86, low=21.2, close=21.285, volume=455659, vwap=21.4869, timestamp=1699365600000, transactions=3694, otc=None)
Agg(open=21.28, high=21.535, low=21.27, close=21.435, volume=385424, vwap=21.4138, timestamp=1699369200000, transactions=5126, otc=None)
Agg(open=21.43, high=21.51, low=21.36, close=21.45, volume=479371, vwap=21.4423, timestamp=1699372800000, transactions=4659, otc=None)
Agg(open=21.45, high=21.54, low=21.38, close=21.47, volume=515909, vwap=21.431, timestamp=1699376400000, transactions=4464, otc=None)
Agg(open=21.46, high=21.54, low=21.35, close=21.35, volume=515678, vwap=21.4299, timestamp=1699380000000, transactions=3713, otc=None)
Agg(open=21.355, high=21.435, low=21.28, close=21.28, volume=512121, vwap=21.3543, timestamp=1699383600000, transactions=5137, otc=None)
Agg(open=21.29, high=21.29, low=21.09, close=21.09, volume=1520391.0, vwap=21.148, timestamp=1699387200000, transactions=10476, otc=None)
Agg(open=21.1, high=21.1, low=21.05, close=21.05, volume=49590, vwap=21.0999, timestamp=1699390800000, transactions=35, otc=None)
Agg(open=21.05, high=21.05, low=21.05, close=21.05, volume=150, vwap=21.05, timestamp=1699394400000, transactions=1, otc=None)
Agg(open=21, high=21.01, low=21, close=21.01, volume=730, vwap=21.0085, timestamp=1699401600000, transactions=6, otc=None)
Agg(open=21, high=21, low=21, close=21, volume=300, vwap=21, timestamp=1699444800000, transactions=1, otc=None)
Agg(open=21.1, high=21.1, low=21.1, close=21.1, volume=400, vwap=21.1, timestamp=1699448400000, transactions=1, otc=None)
Agg(open=21.19, high=21.19, low=20.895, close=20.94, volume=349215, vwap=21.009, timestamp=1699452000000, transactions=3753, otc=None)
Agg(open=20.948, high=20.96, low=20.64, close=20.725, volume=872088, vwap=20.7582, timestamp=1699455600000, transactions=8437, otc=None)
Agg(open=20.715, high=20.84, low=20.65, close=20.825, volume=938094, vwap=20.7506, timestamp=1699459200000, transactions=7698, otc=None)
Agg(open=20.825, high=20.96, low=20.75, close=20.8617, volume=398562, vwap=20.8597, timestamp=1699462800000, transactions=4262, otc=None)
Agg(open=20.86, high=20.93, low=20.77, close=20.885, volume=443055, vwap=20.8571, timestamp=1699466400000, transactions=4394, otc=None)
Agg(open=20.88, high=20.88, low=20.715, close=20.835, volume=406826, vwap=20.7872, timestamp=1699470000000, transactions=3977, otc=None)
Agg(open=20.84, high=20.88, low=20.74, close=20.83, volume=1289528.0, vwap=20.8043, timestamp=1699473600000, transactions=9700, otc=None)
Agg(open=20.82, high=20.82, low=20.8, close=20.82, volume=155916, vwap=20.82, timestamp=1699477200000, transactions=24, otc=None)
Agg(open=20.98, high=21.04, low=20.87, close=21.025, volume=175910, vwap=20.9857, timestamp=1699538400000, transactions=1761, otc=None)
Agg(open=21.03, high=21.23, low=21.01, close=21.16, volume=508477, vwap=21.1059, timestamp=1699542000000, transactions=4907, otc=None)
Agg(open=21.15, high=21.17, low=20.97, close=20.975, volume=298384, vwap=21.0589, timestamp=1699545600000, transactions=3265, otc=None)
Agg(open=20.97, high=21.145, low=20.955, close=21.115, volume=147837, vwap=21.0562, timestamp=1699549200000, transactions=2068, otc=None)
Agg(open=21.12, high=21.13, low=20.97, close=20.99, volume=211409, vwap=21.0328, timestamp=1699552800000, transactions=2433, otc=None)
Agg(open=20.98, high=21.045, low=20.87, close=20.875, volume=204135, vwap=20.9591, timestamp=1699556400000, transactions=2485, otc=None)
Agg(open=20.875, high=20.985, low=20.875, close=20.9, volume=488066, vwap=20.9311, timestamp=1699560000000, transactions=5081, otc=None)
Agg(open=20.9, high=20.9, low=20.9, close=20.9, volume=46055, vwap=20.9, timestamp=1699563600000, transactions=19, otc=None)
Agg(open=20.95, high=20.95, low=20.95, close=20.95, volume=793, vwap=20.95, timestamp=1699606800000, transactions=5, otc=None)
Agg(open=21.19, high=21.19, low=21.19, close=21.19, volume=100, vwap=21.19, timestamp=1699621200000, transactions=1, otc=None)
Agg(open=21.25, high=21.505, low=21.22, close=21.35, volume=311976, vwap=21.3861, timestamp=1699624800000, transactions=3363, otc=None)
Agg(open=21.36, high=21.59, low=21.325, close=21.45, volume=457008, vwap=21.4743, timestamp=1699628400000, transactions=4334, otc=None)
Agg(open=21.45, high=21.498, low=21.35, close=21.48, volume=329646, vwap=21.4217, timestamp=1699632000000, transactions=3375, otc=None)
Agg(open=21.49, high=21.515, low=21.3, close=21.515, volume=288616, vwap=21.3977, timestamp=1699635600000, transactions=2915, otc=None)
Agg(open=21.52, high=21.66, low=21.46, close=21.655, volume=349028, vwap=21.5804, timestamp=1699639200000, transactions=3303, otc=None)
Agg(open=21.655, high=21.67, low=21.505, close=21.53, volume=343583, vwap=21.5697, timestamp=1699642800000, transactions=4057, otc=None)
Agg(open=21.525, high=21.605, low=21.5, close=21.56, volume=741981, vwap=21.5488, timestamp=1699646400000, transactions=6480, otc=None)
Agg(open=21.55, high=21.55, low=21.55, close=21.55, volume=34338, vwap=21.55, timestamp=1699650000000, transactions=22, otc=None)
Agg(open=21.77, high=21.77, low=21.77, close=21.77, volume=300, vwap=21.7375, timestamp=1699653600000, transactions=3, otc=None)
