Agg(open=15.64, high=15.78, low=15.63, close=15.7231, volume=72749, vwap=15.7191, timestamp=1674482400000, transactions=917, otc=None)
Agg(open=15.7263, high=15.875, low=15.7263, close=15.87, volume=135352, vwap=15.819, timestamp=1674486000000, transactions=1642, otc=None)
Agg(open=15.875, high=16, low=15.87, close=15.96, volume=163249, vwap=15.9455, timestamp=1674489600000, transactions=1622, otc=None)
Agg(open=15.965, high=16.03, low=15.94, close=16.02, volume=162760, vwap=15.9866, timestamp=1674493200000, transactions=1388, otc=None)
Agg(open=16.015, high=16.06, low=15.95, close=15.95, volume=130683, vwap=16.0177, timestamp=1674496800000, transactions=1655, otc=None)
Agg(open=15.955, high=15.96, low=15.895, close=15.93, volume=187343, vwap=15.9301, timestamp=1674500400000, transactions=2009, otc=None)
Agg(open=15.935, high=15.99, low=15.925, close=15.955, volume=445058, vwap=15.9564, timestamp=1674504000000, transactions=4046, otc=None)
Agg(open=15.96, high=15.96, low=15.96, close=15.96, volume=27063, vwap=15.96, timestamp=1674507600000, transactions=21, otc=None)
Agg(open=15.9, high=15.98, low=15.85, close=15.86, volume=76795, vwap=15.9152, timestamp=1674568800000, transactions=937, otc=None)
Agg(open=15.87, high=16.03, low=15.865, close=16.025, volume=123334, vwap=15.9579, timestamp=1674572400000, transactions=2000, otc=None)
Agg(open=16.03, high=16.03, low=15.94, close=15.955, volume=99829, vwap=15.9895, timestamp=1674576000000, transactions=1500, otc=None)
Agg(open=15.955, high=15.975, low=15.925, close=15.965, volume=93287, vwap=15.9513, timestamp=1674579600000, transactions=1312, otc=None)
Agg(open=15.965, high=16.05, low=15.955, close=16.035, volume=102421, vwap=16.0035, timestamp=1674583200000, transactions=1428, otc=None)
Agg(open=16.035, high=16.035, low=16.005, close=16.035, volume=72287, vwap=16.0182, timestamp=1674586800000, transactions=1164, otc=None)
Agg(open=16.04, high=16.085, low=15.985, close=16.05, volume=483500, vwap=16.0204, timestamp=1674590400000, transactions=4382, otc=None)
Agg(open=16.05, high=16.05, low=16.05, close=16.05, volume=15595, vwap=16.05, timestamp=1674594000000, transactions=17, otc=None)
Agg(open=16.01, high=16.1, low=15.96, close=15.97, volume=55876, vwap=16.0251, timestamp=1674655200000, transactions=861, otc=None)
Agg(open=15.97, high=16.03, low=15.85, close=15.875, volume=102920, vwap=15.945, timestamp=1674658800000, transactions=1761, otc=None)
Agg(open=15.87, high=16.045, low=15.845, close=16.03, volume=153716, vwap=15.9502, timestamp=1674662400000, transactions=1696, otc=None)
Agg(open=16.03, high=16.04, low=15.955, close=15.99, volume=195464, vwap=15.9979, timestamp=1674666000000, transactions=1796, otc=None)
Agg(open=15.99, high=16.045, low=15.99, close=16.02, volume=167560, vwap=16.0106, timestamp=1674669600000, transactions=1791, otc=None)
Agg(open=16.02, high=16.05, low=15.97, close=16.005, volume=161359, vwap=16.0087, timestamp=1674673200000, transactions=1686, otc=None)
Agg(open=16.005, high=16.09, low=15.98, close=16.08, volume=435015, vwap=16.04, timestamp=1674676800000, transactions=3554, otc=None)
Agg(open=16.08, high=16.08, low=16.08, close=16.08, volume=24303, vwap=16.08, timestamp=1674680400000, transactions=25, otc=None)
Agg(open=16.2, high=16.24, low=16.04, close=16.06, volume=49207, vwap=16.151, timestamp=1674741600000, transactions=590, otc=None)
Agg(open=16.07, high=16.235, low=16.06, close=16.15, volume=67381, vwap=16.162, timestamp=1674745200000, transactions=1195, otc=None)
Agg(open=16.145, high=16.23, low=16.125, close=16.23, volume=44719, vwap=16.1653, timestamp=1674748800000, transactions=841, otc=None)
Agg(open=16.225, high=16.28, low=16.215, close=16.22, volume=81380, vwap=16.2527, timestamp=1674752400000, transactions=1006, otc=None)
Agg(open=16.22, high=16.245, low=16.175, close=16.19, volume=49244, vwap=16.2226, timestamp=1674756000000, transactions=881, otc=None)
Agg(open=16.185, high=16.19, low=16.115, close=16.16, volume=69101, vwap=16.1517, timestamp=1674759600000, transactions=906, otc=None)
Agg(open=16.16, high=16.19, low=16.1, close=16.175, volume=264741, vwap=16.1519, timestamp=1674763200000, transactions=3162, otc=None)
Agg(open=16.17, high=16.17, low=16.17, close=16.17, volume=9260, vwap=16.17, timestamp=1674766800000, transactions=13, otc=None)
Agg(open=16, high=16, low=16, close=16, volume=313, vwap=15.9994, timestamp=1674820800000, transactions=2, otc=None)
Agg(open=16.17, high=16.29, low=16.16, close=16.24, volume=34690, vwap=16.2291, timestamp=1674828000000, transactions=453, otc=None)
Agg(open=16.24, high=16.3443, low=16.15, close=16.175, volume=58549, vwap=16.2545, timestamp=1674831600000, transactions=995, otc=None)
Agg(open=16.17, high=16.19, low=16.12, close=16.19, volume=65659, vwap=16.1504, timestamp=1674835200000, transactions=1129, otc=None)
Agg(open=16.19, high=16.215, low=16.17, close=16.195, volume=37510, vwap=16.193, timestamp=1674838800000, transactions=819, otc=None)
Agg(open=16.2, high=16.2, low=16.155, close=16.175, volume=50588, vwap=16.1745, timestamp=1674842400000, transactions=919, otc=None)
Agg(open=16.18, high=16.25, low=16.175, close=16.215, volume=39461, vwap=16.2136, timestamp=1674846000000, transactions=721, otc=None)
Agg(open=16.215, high=16.26, low=16.16, close=16.18, volume=219653, vwap=16.2023, timestamp=1674849600000, transactions=2582, otc=None)
Agg(open=16.18, high=16.18, low=16.18, close=16.18, volume=10651, vwap=16.18, timestamp=1674853200000, transactions=17, otc=None)
