Agg(open=5.48, high=5.49, low=5.45, close=5.45, volume=898, vwap=5.4665, timestamp=1700474400000, transactions=5, otc=None)
Agg(open=5.4, high=5.4, low=5.35, close=5.35, volume=1940, vwap=5.3927, timestamp=1700481600000, transactions=5, otc=None)
Agg(open=5.4, high=5.45, low=5.39, close=5.4, volume=2534, vwap=5.4115, timestamp=1700485200000, transactions=17, otc=None)
Agg(open=5.4, high=5.91, low=5.4, close=5.8701, volume=585083, vwap=5.7015, timestamp=1700488800000, transactions=3233, otc=None)
Agg(open=5.86, high=5.87, low=5.635, close=5.715, volume=302377, vwap=5.7244, timestamp=1700492400000, transactions=2871, otc=None)
Agg(open=5.718, high=5.718, low=5.63, close=5.66, volume=177178, vwap=5.6674, timestamp=1700496000000, transactions=1925, otc=None)
Agg(open=5.65, high=5.7, low=5.64, close=5.67, volume=82311, vwap=5.6726, timestamp=1700499600000, transactions=978, otc=None)
Agg(open=5.675, high=5.83, low=5.67, close=5.8, volume=199724, vwap=5.7606, timestamp=1700503200000, transactions=1560, otc=None)
Agg(open=5.8099, high=5.8159, low=5.72, close=5.73, volume=153628, vwap=5.7752, timestamp=1700506800000, transactions=1871, otc=None)
Agg(open=5.735, high=5.77, low=5.73, close=5.755, volume=356877, vwap=5.7501, timestamp=1700510400000, transactions=3241, otc=None)
Agg(open=5.76, high=5.76, low=5.75, close=5.75, volume=11735, vwap=5.7599, timestamp=1700514000000, transactions=13, otc=None)
Agg(open=5.8, high=5.8, low=5.8, close=5.8, volume=10000, vwap=5.8, timestamp=1700517600000, transactions=2, otc=None)
Agg(open=5.9, high=5.94, low=5.89, close=5.9, volume=2601, vwap=5.8972, timestamp=1700524800000, transactions=22, otc=None)
Agg(open=5.8275, high=5.8275, low=5.76, close=5.76, volume=912, vwap=5.7981, timestamp=1700571600000, transactions=8, otc=None)
Agg(open=5.67, high=5.7954, low=5.61, close=5.68, volume=149599, vwap=5.6977, timestamp=1700575200000, transactions=1331, otc=None)
Agg(open=5.69, high=5.75, low=5.65, close=5.73, volume=197194, vwap=5.6948, timestamp=1700578800000, transactions=2008, otc=None)
Agg(open=5.725, high=5.795, low=5.67, close=5.76, volume=146997, vwap=5.7429, timestamp=1700582400000, transactions=1506, otc=None)
Agg(open=5.755, high=5.775, low=5.71, close=5.71, volume=92112, vwap=5.7469, timestamp=1700586000000, transactions=1183, otc=None)
Agg(open=5.7, high=5.715, low=5.675, close=5.705, volume=95868, vwap=5.6987, timestamp=1700589600000, transactions=1212, otc=None)
Agg(open=5.705, high=5.71, low=5.63, close=5.63, volume=114734, vwap=5.6826, timestamp=1700593200000, transactions=1272, otc=None)
Agg(open=5.63, high=5.645, low=5.57, close=5.595, volume=310217, vwap=5.6052, timestamp=1700596800000, transactions=2617, otc=None)
Agg(open=5.59, high=5.85, low=5.59, close=5.85, volume=31477, vwap=5.5908, timestamp=1700600400000, transactions=17, otc=None)
Agg(open=5.8129, high=5.8129, low=5.8129, close=5.8129, volume=100, vwap=5.8129, timestamp=1700604000000, transactions=1, otc=None)
Agg(open=5.73, high=5.73, low=5.73, close=5.73, volume=100, vwap=5.73, timestamp=1700611200000, transactions=1, otc=None)
Agg(open=5.84, high=5.84, low=5.84, close=5.84, volume=230, vwap=5.8293, timestamp=1700658000000, transactions=2, otc=None)
Agg(open=5.69, high=6, low=5.666, close=5.86, volume=669593, vwap=5.8573, timestamp=1700661600000, transactions=3756, otc=None)
Agg(open=5.85, high=5.88, low=5.74, close=5.84, volume=303052, vwap=5.8189, timestamp=1700665200000, transactions=2634, otc=None)
Agg(open=5.85, high=5.855, low=5.78, close=5.825, volume=112141, vwap=5.8248, timestamp=1700668800000, transactions=1297, otc=None)
Agg(open=5.825, high=5.865, low=5.75, close=5.76, volume=123071, vwap=5.8027, timestamp=1700672400000, transactions=1371, otc=None)
Agg(open=5.77, high=5.85, low=5.75, close=5.825, volume=117813, vwap=5.8199, timestamp=1700676000000, transactions=1541, otc=None)
Agg(open=5.82, high=5.83, low=5.745, close=5.8, volume=143011, vwap=5.7836, timestamp=1700679600000, transactions=1491, otc=None)
Agg(open=5.8, high=5.84, low=5.775, close=5.84, volume=356934, vwap=5.8111, timestamp=1700683200000, transactions=3478, otc=None)
Agg(open=5.84, high=5.85, low=5.84, close=5.85, volume=25172, vwap=5.8402, timestamp=1700686800000, transactions=13, otc=None)
Agg(open=5.85, high=5.85, low=5.76, close=5.78, volume=56894, vwap=5.7843, timestamp=1700834400000, transactions=685, otc=None)
Agg(open=5.775, high=5.93, low=5.77, close=5.88, volume=116781, vwap=5.8721, timestamp=1700838000000, transactions=1405, otc=None)
Agg(open=5.8795, high=5.93, low=5.845, close=5.915, volume=94175, vwap=5.8999, timestamp=1700841600000, transactions=1031, otc=None)
Agg(open=5.915, high=5.94, low=5.89, close=5.89, volume=138277, vwap=5.9148, timestamp=1700845200000, transactions=1741, otc=None)
Agg(open=5.89, high=5.95, low=5.89, close=5.95, volume=220, vwap=5.9218, timestamp=1700848800000, transactions=3, otc=None)
