Agg(open=2.19, high=2.19, low=2.19, close=2.19, volume=208, vwap=2.19, timestamp=1680512400000, transactions=1, otc=None)
Agg(open=2.17, high=2.18, low=2.1, close=2.18, volume=1378, vwap=2.1639, timestamp=1680523200000, transactions=5, otc=None)
Agg(open=2.15, high=2.21, low=2.12, close=2.205, volume=692827, vwap=2.172, timestamp=1680526800000, transactions=1852, otc=None)
Agg(open=2.205, high=2.21, low=2.15, close=2.15, volume=425489, vwap=2.191, timestamp=1680530400000, transactions=2328, otc=None)
Agg(open=2.15, high=2.17, low=2.13, close=2.155, volume=643592, vwap=2.151, timestamp=1680534000000, transactions=2074, otc=None)
Agg(open=2.155, high=2.17, low=2.15, close=2.15, volume=316498, vwap=2.1565, timestamp=1680537600000, transactions=1752, otc=None)
Agg(open=2.15, high=2.17, low=2.14, close=2.165, volume=670118, vwap=2.159, timestamp=1680541200000, transactions=2147, otc=None)
Agg(open=2.165, high=2.17, low=2.15, close=2.15, volume=424098, vwap=2.1599, timestamp=1680544800000, transactions=2354, otc=None)
Agg(open=2.155, high=2.185, low=2.15, close=2.18, volume=1183351.0, vwap=2.169, timestamp=1680548400000, transactions=4143, otc=None)
Agg(open=2.17, high=2.2, low=2.17, close=2.2, volume=57400, vwap=2.1701, timestamp=1680552000000, transactions=5, otc=None)
Agg(open=2.2, high=2.2, low=2.2, close=2.2, volume=465, vwap=2.2, timestamp=1680555600000, transactions=2, otc=None)
Agg(open=2.17, high=2.2, low=2.17, close=2.2, volume=303, vwap=2.1886, timestamp=1680609600000, transactions=5, otc=None)
Agg(open=2.17, high=2.17, low=2.08, close=2.1, volume=521806, vwap=2.1148, timestamp=1680613200000, transactions=1626, otc=None)
Agg(open=2.1, high=2.11, low=2, close=2.01, volume=1201506.0, vwap=2.0446, timestamp=1680616800000, transactions=3468, otc=None)
Agg(open=2.01, high=2.09, low=1.99, close=2.075, volume=2404718.0, vwap=2.0191, timestamp=1680620400000, transactions=3972, otc=None)
Agg(open=2.07, high=2.12, low=2.07, close=2.085, volume=858278, vwap=2.0967, timestamp=1680624000000, transactions=2249, otc=None)
Agg(open=2.085, high=2.11, low=2.08, close=2.08, volume=420464, vwap=2.0897, timestamp=1680627600000, transactions=1730, otc=None)
Agg(open=2.09, high=2.09, low=2.04, close=2.0599, volume=512905, vwap=2.0674, timestamp=1680631200000, transactions=2017, otc=None)
Agg(open=2.05, high=2.085, low=2.03, close=2.075, volume=1729111.0, vwap=2.0619, timestamp=1680634800000, transactions=4812, otc=None)
Agg(open=2.07, high=2.07, low=2.06, close=2.06, volume=246458, vwap=2.07, timestamp=1680638400000, transactions=15, otc=None)
