Agg(open=2.98, high=3, low=2.98, close=3, volume=2508, vwap=2.9959, timestamp=1687262400000, transactions=22, otc=None)
Agg(open=3, high=3.11, low=2.92, close=3.09, volume=790618, vwap=3.0189, timestamp=1687266000000, transactions=2321, otc=None)
Agg(open=3.085, high=3.22, low=3.08, close=3.22, volume=1362767.0, vwap=3.1726, timestamp=1687269600000, transactions=3950, otc=None)
Agg(open=3.22, high=3.23, low=3.15, close=3.19, volume=979252, vwap=3.186, timestamp=1687273200000, transactions=2692, otc=None)
Agg(open=3.19, high=3.21, low=3.17, close=3.175, volume=522055, vwap=3.1934, timestamp=1687276800000, transactions=2256, otc=None)
Agg(open=3.17, high=3.2, low=3.17, close=3.18, volume=507496, vwap=3.1845, timestamp=1687280400000, transactions=2065, otc=None)
Agg(open=3.18, high=3.18, low=3.13, close=3.15, volume=545075, vwap=3.1604, timestamp=1687284000000, transactions=1929, otc=None)
Agg(open=3.1518, high=3.185, low=3.14, close=3.15, volume=1473176.0, vwap=3.1651, timestamp=1687287600000, transactions=4994, otc=None)
Agg(open=3.15, high=3.19, low=3.15, close=3.19, volume=9244, vwap=3.1517, timestamp=1687291200000, transactions=12, otc=None)
Agg(open=3.15, high=3.15, low=3.15, close=3.15, volume=499, vwap=3.15, timestamp=1687294800000, transactions=1, otc=None)
Agg(open=3.19, high=3.19, low=3.19, close=3.19, volume=200, vwap=3.19, timestamp=1687298400000, transactions=1, otc=None)
Agg(open=3.19, high=3.19, low=3.19, close=3.19, volume=400, vwap=3.19, timestamp=1687302000000, transactions=2, otc=None)
Agg(open=3.1993, high=3.1993, low=3.12, close=3.19, volume=5286, vwap=3.1877, timestamp=1687348800000, transactions=8, otc=None)
Agg(open=3.2296, high=3.23, low=3.0336, close=3.105, volume=313899, vwap=3.1416, timestamp=1687352400000, transactions=958, otc=None)
Agg(open=3.1099, high=3.14, low=3.1, close=3.129, volume=474303, vwap=3.118, timestamp=1687356000000, transactions=2281, otc=None)
Agg(open=3.125, high=3.18, low=3.12, close=3.18, volume=438881, vwap=3.1491, timestamp=1687359600000, transactions=2714, otc=None)
Agg(open=3.18, high=3.2, low=3.17, close=3.19, volume=530648, vwap=3.187, timestamp=1687363200000, transactions=2927, otc=None)
Agg(open=3.19, high=3.22, low=3.19, close=3.22, volume=646943, vwap=3.2057, timestamp=1687366800000, transactions=2959, otc=None)
Agg(open=3.22, high=3.245, low=3.21, close=3.24, volume=753537, vwap=3.2247, timestamp=1687370400000, transactions=3540, otc=None)
Agg(open=3.235, high=3.24, low=3.21, close=3.21, volume=1376738.0, vwap=3.2254, timestamp=1687374000000, transactions=4804, otc=None)
Agg(open=3.22, high=3.22, low=3.22, close=3.22, volume=12892, vwap=3.22, timestamp=1687377600000, transactions=3, otc=None)
Agg(open=3.13, high=3.13, low=3.13, close=3.13, volume=100, vwap=3.13, timestamp=1687381200000, transactions=1, otc=None)
Agg(open=3.22, high=3.22, low=3.22, close=3.22, volume=1000, vwap=3.22, timestamp=1687384800000, transactions=1, otc=None)
Agg(open=3.2533, high=3.26, low=3.2533, close=3.26, volume=575, vwap=3.2563, timestamp=1687435200000, transactions=5, otc=None)
Agg(open=3.2, high=3.23, low=3.18, close=3.23, volume=231523, vwap=3.2057, timestamp=1687438800000, transactions=987, otc=None)
Agg(open=3.225, high=3.27, low=3.21, close=3.225, volume=707014, vwap=3.2397, timestamp=1687442400000, transactions=3160, otc=None)
Agg(open=3.225, high=3.24, low=3.18, close=3.185, volume=225949, vwap=3.2209, timestamp=1687446000000, transactions=1425, otc=None)
Agg(open=3.185, high=3.19, low=3.13, close=3.135, volume=385904, vwap=3.1471, timestamp=1687449600000, transactions=1426, otc=None)
Agg(open=3.135, high=3.155, low=3.12, close=3.145, volume=548704, vwap=3.1336, timestamp=1687453200000, transactions=1921, otc=None)
Agg(open=3.145, high=3.15, low=3.13, close=3.135, volume=243388, vwap=3.1383, timestamp=1687456800000, transactions=1446, otc=None)
Agg(open=3.135, high=3.15, low=3.12, close=3.125, volume=774321, vwap=3.1303, timestamp=1687460400000, transactions=3450, otc=None)
Agg(open=3.12, high=3.15, low=3.12, close=3.15, volume=9088, vwap=3.1203, timestamp=1687464000000, transactions=10, otc=None)
Agg(open=3.12, high=3.12, low=3.12, close=3.12, volume=210, vwap=3.12, timestamp=1687471200000, transactions=1, otc=None)
Agg(open=3.11, high=3.11, low=3.11, close=3.11, volume=3000, vwap=3.11, timestamp=1687518000000, transactions=2, otc=None)
Agg(open=3.1101, high=3.1101, low=3.11, close=3.11, volume=4005, vwap=3.1101, timestamp=1687521600000, transactions=3, otc=None)
Agg(open=3.12, high=3.18, low=3.08, close=3.16, volume=358857, vwap=3.1414, timestamp=1687525200000, transactions=1241, otc=None)
Agg(open=3.16, high=3.16, low=3.0918, close=3.0918, volume=456763, vwap=3.124, timestamp=1687528800000, transactions=3254, otc=None)
Agg(open=3.1, high=3.115, low=3.09, close=3.1, volume=553160, vwap=3.1025, timestamp=1687532400000, transactions=2762, otc=None)
Agg(open=3.105, high=3.12, low=3.1, close=3.12, volume=227122, vwap=3.1136, timestamp=1687536000000, transactions=1883, otc=None)
Agg(open=3.12, high=3.14, low=3.11, close=3.14, volume=353482, vwap=3.1244, timestamp=1687539600000, transactions=2223, otc=None)
Agg(open=3.14, high=3.155, low=3.11, close=3.12, volume=886988, vwap=3.1338, timestamp=1687543200000, transactions=3461, otc=None)
Agg(open=3.12, high=3.2, low=3.11, close=3.15, volume=3499411.0, vwap=3.1627, timestamp=1687546800000, transactions=8422, otc=None)
Agg(open=3.16, high=3.16, low=3.11, close=3.16, volume=1939147.0, vwap=3.1597, timestamp=1687550400000, transactions=16, otc=None)
Agg(open=3.07, high=3.16, low=3.07, close=3.16, volume=7200, vwap=3.0725, timestamp=1687561200000, transactions=3, otc=None)
