Agg(open=15.8, high=16.1199, low=15.7001, close=15.7812, volume=18576, vwap=15.8578, timestamp=1695042000000, transactions=206, otc=None)
Agg(open=15.81, high=16.17, low=15.78, close=16.17, volume=46215, vwap=15.9777, timestamp=1695045600000, transactions=591, otc=None)
Agg(open=16.15, high=16.28, low=16.08, close=16.16, volume=49975, vwap=16.1553, timestamp=1695049200000, transactions=505, otc=None)
Agg(open=16.161, high=16.225, low=16.13, close=16.175, volume=14986, vwap=16.1716, timestamp=1695052800000, transactions=253, otc=None)
Agg(open=16.161, high=16.25, low=16.14, close=16.16, volume=37893, vwap=16.1876, timestamp=1695056400000, transactions=478, otc=None)
Agg(open=16.1588, high=16.29, low=16.135, close=16.25, volume=47873, vwap=16.2164, timestamp=1695060000000, transactions=668, otc=None)
Agg(open=16.27, high=16.35, low=16.22, close=16.3, volume=117103, vwap=16.2864, timestamp=1695063600000, transactions=1441, otc=None)
Agg(open=16.31, high=16.31, low=16.31, close=16.31, volume=6991, vwap=16.31, timestamp=1695067200000, transactions=5, otc=None)
Agg(open=16.24, high=16.35, low=15.91, close=15.92, volume=25216, vwap=16.1659, timestamp=1695128400000, transactions=131, otc=None)
Agg(open=15.92, high=16.08, low=15.8, close=15.83, volume=68538, vwap=15.9604, timestamp=1695132000000, transactions=645, otc=None)
Agg(open=15.835, high=15.95, low=15.78, close=15.9, volume=61771, vwap=15.8567, timestamp=1695135600000, transactions=739, otc=None)
Agg(open=15.92, high=15.9699, low=15.8146, close=15.96, volume=46037, vwap=15.8945, timestamp=1695139200000, transactions=481, otc=None)
Agg(open=15.94, high=16.005, low=15.91, close=16, volume=31580, vwap=15.9554, timestamp=1695142800000, transactions=412, otc=None)
Agg(open=16.04, high=16.09, low=15.94, close=16.02, volume=114497, vwap=16.031, timestamp=1695146400000, transactions=684, otc=None)
Agg(open=16, high=16.02, low=15.75, close=15.78, volume=167347, vwap=15.8976, timestamp=1695150000000, transactions=1490, otc=None)
Agg(open=15.79, high=15.9, low=15.79, close=15.9, volume=6765, vwap=15.8151, timestamp=1695153600000, transactions=5, otc=None)
Agg(open=15.9, high=16.21, low=15.82, close=16.0668, volume=30341, vwap=16.0516, timestamp=1695214800000, transactions=146, otc=None)
Agg(open=16.095, high=16.19, low=15.72, close=15.72, volume=52115, vwap=15.8692, timestamp=1695218400000, transactions=432, otc=None)
Agg(open=15.775, high=15.775, low=15.39, close=15.58, volume=58779, vwap=15.505, timestamp=1695222000000, transactions=472, otc=None)
Agg(open=15.58, high=15.76, low=15.58, close=15.725, volume=67988, vwap=15.6924, timestamp=1695225600000, transactions=856, otc=None)
Agg(open=15.74, high=15.8, low=15.63, close=15.63, volume=46425, vwap=15.6923, timestamp=1695229200000, transactions=743, otc=None)
Agg(open=15.63, high=15.705, low=15.5425, close=15.57, volume=67853, vwap=15.6285, timestamp=1695232800000, transactions=964, otc=None)
Agg(open=15.57, high=15.585, low=15.28, close=15.3, volume=189409, vwap=15.3704, timestamp=1695236400000, transactions=2610, otc=None)
Agg(open=15.31, high=15.31, low=15.31, close=15.31, volume=3214, vwap=15.31, timestamp=1695240000000, transactions=5, otc=None)
Agg(open=15.09, high=15.1125, low=14.71, close=14.75, volume=64534, vwap=14.8566, timestamp=1695301200000, transactions=539, otc=None)
Agg(open=14.78, high=15.01, low=14.67, close=14.73, volume=100512, vwap=14.8666, timestamp=1695304800000, transactions=975, otc=None)
Agg(open=14.75, high=14.85, low=14.65, close=14.67, volume=64566, vwap=14.7541, timestamp=1695308400000, transactions=665, otc=None)
Agg(open=14.67, high=15.06, low=14.65, close=14.95, volume=97895, vwap=14.903, timestamp=1695312000000, transactions=846, otc=None)
Agg(open=14.95, high=15.24, low=14.92, close=15, volume=101097, vwap=15.0431, timestamp=1695315600000, transactions=1106, otc=None)
Agg(open=15.01, high=15.03, low=14.86, close=14.89, volume=82470, vwap=14.934, timestamp=1695319200000, transactions=970, otc=None)
Agg(open=14.89, high=15, low=14.77, close=14.96, volume=195194, vwap=14.9014, timestamp=1695322800000, transactions=1949, otc=None)
Agg(open=14.95, high=14.95, low=14.95, close=14.95, volume=4328, vwap=14.95, timestamp=1695326400000, transactions=3, otc=None)
Agg(open=14.98, high=15.095, low=14.805, close=15.08, volume=50441, vwap=14.9668, timestamp=1695387600000, transactions=223, otc=None)
Agg(open=15.045, high=15.18, low=14.825, close=14.95, volume=71281, vwap=14.9662, timestamp=1695391200000, transactions=884, otc=None)
Agg(open=14.95, high=14.96, low=14.85, close=14.85, volume=33152, vwap=14.9173, timestamp=1695394800000, transactions=438, otc=None)
Agg(open=14.86, high=14.87, low=14.712, close=14.8, volume=59384, vwap=14.8058, timestamp=1695398400000, transactions=612, otc=None)
Agg(open=14.8, high=14.845, low=14.74, close=14.8, volume=43998, vwap=14.791, timestamp=1695402000000, transactions=614, otc=None)
Agg(open=14.8, high=14.845, low=14.7237, close=14.76, volume=74905, vwap=14.7874, timestamp=1695405600000, transactions=662, otc=None)
Agg(open=14.77, high=14.77, low=14.62, close=14.64, volume=79290, vwap=14.69, timestamp=1695409200000, transactions=1080, otc=None)
Agg(open=14.64, high=14.64, low=14.64, close=14.64, volume=10819, vwap=14.64, timestamp=1695412800000, transactions=4, otc=None)
