Agg(open=12, high=12.26, low=11.9691, close=12.15, volume=47426, vwap=12.1411, timestamp=1697461200000, transactions=416, otc=None)
Agg(open=12.08, high=12.5, low=12.06, close=12.46, volume=197662, vwap=12.2722, timestamp=1697464800000, transactions=1185, otc=None)
Agg(open=12.42, high=12.5799, low=12.42, close=12.55, volume=43468, vwap=12.5179, timestamp=1697468400000, transactions=590, otc=None)
Agg(open=12.5474, high=12.58, low=12.46, close=12.485, volume=66757, vwap=12.5152, timestamp=1697472000000, transactions=874, otc=None)
Agg(open=12.51, high=12.705, low=12.5, close=12.67, volume=47440, vwap=12.6002, timestamp=1697475600000, transactions=649, otc=None)
Agg(open=12.67, high=12.7, low=12.5401, close=12.56, volume=102252, vwap=12.643, timestamp=1697479200000, transactions=1099, otc=None)
Agg(open=12.56, high=12.68, low=12.54, close=12.61, volume=177922, vwap=12.6203, timestamp=1697482800000, transactions=2042, otc=None)
Agg(open=12.46, high=12.75, low=12.46, close=12.5899, volume=24449, vwap=12.6515, timestamp=1697547600000, transactions=104, otc=None)
Agg(open=12.611, high=12.74, low=12.48, close=12.66, volume=143626, vwap=12.6487, timestamp=1697551200000, transactions=1308, otc=None)
Agg(open=12.655, high=12.66, low=12.245, close=12.32, volume=132711, vwap=12.4318, timestamp=1697554800000, transactions=1306, otc=None)
Agg(open=12.31, high=12.382, low=12.155, close=12.32, volume=86233, vwap=12.2856, timestamp=1697558400000, transactions=981, otc=None)
Agg(open=12.335, high=12.49, low=12.29, close=12.361, volume=69322, vwap=12.3673, timestamp=1697562000000, transactions=745, otc=None)
Agg(open=12.37, high=12.46, low=12.3, close=12.37, volume=91154, vwap=12.3683, timestamp=1697565600000, transactions=1073, otc=None)
Agg(open=12.37, high=12.505, low=12.35, close=12.5, volume=161402, vwap=12.4501, timestamp=1697569200000, transactions=1714, otc=None)
Agg(open=12.49, high=12.49, low=12.49, close=12.49, volume=3262, vwap=12.49, timestamp=1697572800000, transactions=4, otc=None)
Agg(open=12.45, high=12.53, low=12.2, close=12.22, volume=30978, vwap=12.3518, timestamp=1697634000000, transactions=236, otc=None)
Agg(open=12.2, high=12.6, low=12.16, close=12.26, volume=209433, vwap=12.3933, timestamp=1697637600000, transactions=1938, otc=None)
Agg(open=12.26, high=12.26, low=12.04, close=12.19, volume=171175, vwap=12.1492, timestamp=1697641200000, transactions=1772, otc=None)
Agg(open=12.2, high=12.24, low=12.07, close=12.16, volume=95570, vwap=12.1544, timestamp=1697644800000, transactions=1030, otc=None)
Agg(open=12.13, high=12.33, low=12.13, close=12.305, volume=103623, vwap=12.2554, timestamp=1697648400000, transactions=1196, otc=None)
Agg(open=12.305, high=12.3501, low=12.23, close=12.23, volume=138593, vwap=12.2783, timestamp=1697652000000, transactions=1303, otc=None)
Agg(open=12.23, high=12.31, low=12.19, close=12.28, volume=196811, vwap=12.2479, timestamp=1697655600000, transactions=2177, otc=None)
Agg(open=12.29, high=12.29, low=12.29, close=12.29, volume=16481, vwap=12.29, timestamp=1697659200000, transactions=8, otc=None)
Agg(open=12.14, high=12.205, low=11.97, close=11.97, volume=38893, vwap=12.1216, timestamp=1697720400000, transactions=266, otc=None)
Agg(open=11.97, high=12.1, low=11.84, close=11.86, volume=208816, vwap=11.9658, timestamp=1697724000000, transactions=1671, otc=None)
Agg(open=11.87, high=11.98, low=11.77, close=11.85, volume=182788, vwap=11.8897, timestamp=1697727600000, transactions=1701, otc=None)
Agg(open=11.84, high=11.915, low=11.61, close=11.74, volume=224317, vwap=11.8313, timestamp=1697731200000, transactions=2121, otc=None)
Agg(open=11.75, high=11.7899, low=11.67, close=11.7091, volume=178232, vwap=11.7256, timestamp=1697734800000, transactions=1383, otc=None)
Agg(open=11.705, high=11.74, low=11.54, close=11.58, volume=179667, vwap=11.6339, timestamp=1697738400000, transactions=1936, otc=None)
Agg(open=11.57, high=11.71, low=11.48, close=11.67, volume=349440, vwap=11.5901, timestamp=1697742000000, transactions=3155, otc=None)
Agg(open=11.67, high=11.67, low=11.67, close=11.67, volume=11275, vwap=11.67, timestamp=1697745600000, transactions=3, otc=None)
Agg(open=11.67, high=11.67, low=11.67, close=11.67, volume=264, vwap=11.67, timestamp=1697803200000, transactions=1, otc=None)
Agg(open=11.64, high=11.89, low=11.3501, close=11.8, volume=101685, vwap=11.7183, timestamp=1697806800000, transactions=447, otc=None)
Agg(open=11.79, high=11.8, low=11.5, close=11.61, volume=207734, vwap=11.6193, timestamp=1697810400000, transactions=1936, otc=None)
Agg(open=11.595, high=11.66, low=11.26, close=11.27, volume=198178, vwap=11.521, timestamp=1697814000000, transactions=2089, otc=None)
Agg(open=11.28, high=11.355, low=11.03, close=11.16, volume=331460, vwap=11.1777, timestamp=1697817600000, transactions=2615, otc=None)
Agg(open=11.16, high=11.195, low=11.05, close=11.095, volume=281707, vwap=11.1346, timestamp=1697821200000, transactions=3040, otc=None)
Agg(open=11.0901, high=11.115, low=10.92, close=11.085, volume=328724, vwap=11.0267, timestamp=1697824800000, transactions=2830, otc=None)
Agg(open=11.09, high=11.42, low=11.08, close=11.33, volume=574142, vwap=11.3075, timestamp=1697828400000, transactions=4496, otc=None)
Agg(open=11.33, high=11.33, low=11.33, close=11.33, volume=6408, vwap=11.33, timestamp=1697832000000, transactions=4, otc=None)
Agg(open=11.3, high=11.3, low=11.3, close=11.3, volume=400, vwap=11.2998, timestamp=1697839200000, transactions=3, otc=None)
