Agg(open=5.5429, high=5.5429, low=5.4952, close=5.4952, volume=4467.75, vwap=5.5205, timestamp=1673265600000, transactions=15, otc=None)
Agg(open=5.4762, high=5.6652, low=5.4762, close=5.581, volume=4217.85, vwap=5.5753, timestamp=1673269200000, transactions=23, otc=None)
Agg(open=5.5714, high=5.5905, low=5.5286, close=5.5429, volume=863384.5499999999, vwap=5.5634, timestamp=1673272800000, transactions=2308, otc=None)
Agg(open=5.5334, high=5.5905, low=5.519, close=5.5762, volume=1429910.9999999998, vwap=5.5456, timestamp=1673276400000, transactions=3253, otc=None)
Agg(open=5.581, high=5.6952, low=5.5762, close=5.6714, volume=1768543.3500000006, vwap=5.6193, timestamp=1673280000000, transactions=3584, otc=None)
Agg(open=5.6762, high=5.6762, low=5.6286, close=5.6524, volume=1060664.85, vwap=5.6484, timestamp=1673283600000, transactions=2166, otc=None)
Agg(open=5.6524, high=5.6571, low=5.6333, close=5.6429, volume=618353.4, vwap=5.6464, timestamp=1673287200000, transactions=1731, otc=None)
Agg(open=5.6429, high=5.6667, low=5.6333, close=5.6333, volume=539290.5, vwap=5.6486, timestamp=1673290800000, transactions=1787, otc=None)
Agg(open=5.6333, high=5.6476, low=5.5952, close=5.6048, volume=2318524.9499999997, vwap=5.6176, timestamp=1673294400000, transactions=5213, otc=None)
Agg(open=5.6095, high=5.6571, low=5.581, close=5.619, volume=18049.5, vwap=5.6175, timestamp=1673355600000, transactions=49, otc=None)
Agg(open=5.6381, high=5.7095, low=5.6381, close=5.6762, volume=879158.6999999998, vwap=5.6743, timestamp=1673359200000, transactions=1408, otc=None)
Agg(open=5.6667, high=5.7619, low=5.6667, close=5.7476, volume=4994191.649999998, vwap=5.708, timestamp=1673362800000, transactions=5117, otc=None)
Agg(open=5.7429, high=5.7524, low=5.7238, close=5.7476, volume=872773.6500000001, vwap=5.7389, timestamp=1673366400000, transactions=1659, otc=None)
Agg(open=5.7476, high=5.7571, low=5.7143, close=5.7238, volume=858821.2499999999, vwap=5.7367, timestamp=1673370000000, transactions=1935, otc=None)
Agg(open=5.7238, high=5.8667, low=5.7238, close=5.8619, volume=10709367.900000006, vwap=5.7758, timestamp=1673373600000, transactions=7552, otc=None)
Agg(open=5.8619, high=5.9143, low=5.8476, close=5.8667, volume=5669429.85, vwap=5.8842, timestamp=1673377200000, transactions=6940, otc=None)
Agg(open=5.8714, high=5.8857, low=5.8, close=5.8476, volume=10000140.149999999, vwap=5.842, timestamp=1673380800000, transactions=9652, otc=None)
Agg(open=5.8476, high=5.9048, low=5.8476, close=5.8548, volume=62875.05, vwap=5.8493, timestamp=1673384400000, transactions=24, otc=None)
Agg(open=5.8762, high=5.8762, low=5.8571, close=5.8571, volume=637.35, vwap=5.8731, timestamp=1673388000000, transactions=3, otc=None)
Agg(open=5.9048, high=5.9048, low=5.8476, close=5.8952, volume=1037.4, vwap=5.8847, timestamp=1673391600000, transactions=6, otc=None)
Agg(open=5.8952, high=5.8952, low=5.8951, close=5.8952, volume=1260, vwap=5.8951, timestamp=1673395200000, transactions=3, otc=None)
Agg(open=5.9048, high=5.9048, low=5.9048, close=5.9048, volume=525, vwap=5.9048, timestamp=1673427600000, transactions=4, otc=None)
Agg(open=5.9048, high=5.9048, low=5.8952, close=5.8952, volume=1525.65, vwap=5.8965, timestamp=1673434800000, transactions=5, otc=None)
Agg(open=5.9048, high=5.9048, low=5.8381, close=5.8381, volume=8244.6, vwap=5.8828, timestamp=1673438400000, transactions=28, otc=None)
Agg(open=5.9048, high=5.9048, low=5.7048, close=5.7048, volume=228636.45000000004, vwap=5.7445, timestamp=1673442000000, transactions=415, otc=None)
