Agg(open=4.76, high=4.76, low=4.76, close=4.76, volume=100, vwap=4.76, timestamp=1696248000000, transactions=1, otc=None)
Agg(open=4.75, high=4.77, low=4.71, close=4.725, volume=333778, vwap=4.7462, timestamp=1696251600000, transactions=704, otc=None)
Agg(open=4.725, high=4.74, low=4.68, close=4.68, volume=581660, vwap=4.7086, timestamp=1696255200000, transactions=1507, otc=None)
Agg(open=4.685, high=4.69, low=4.64, close=4.64, volume=410154, vwap=4.6645, timestamp=1696258800000, transactions=945, otc=None)
Agg(open=4.645, high=4.66, low=4.63, close=4.655, volume=409760, vwap=4.6446, timestamp=1696262400000, transactions=965, otc=None)
Agg(open=4.655, high=4.67, low=4.6425, close=4.645, volume=358395, vwap=4.6556, timestamp=1696266000000, transactions=827, otc=None)
Agg(open=4.645, high=4.6577, low=4.63, close=4.635, volume=313427, vwap=4.6421, timestamp=1696269600000, transactions=1030, otc=None)
Agg(open=4.635, high=4.67, low=4.6325, close=4.65, volume=1347104.0, vwap=4.6569, timestamp=1696273200000, transactions=3270, otc=None)
Agg(open=4.65, high=4.65, low=4.65, close=4.65, volume=605, vwap=4.65, timestamp=1696287600000, transactions=4, otc=None)
Agg(open=4.61, high=4.61, low=4.6, close=4.6, volume=734, vwap=4.6031, timestamp=1696334400000, transactions=5, otc=None)
Agg(open=4.61, high=4.6679, low=4.61, close=4.65, volume=340590, vwap=4.6447, timestamp=1696338000000, transactions=730, otc=None)
Agg(open=4.645, high=4.66, low=4.59, close=4.595, volume=753917, vwap=4.6263, timestamp=1696341600000, transactions=1688, otc=None)
Agg(open=4.59, high=4.595, low=4.53, close=4.535, volume=1468611.0, vwap=4.5531, timestamp=1696345200000, transactions=1699, otc=None)
Agg(open=4.535, high=4.55, low=4.525, close=4.525, volume=687642, vwap=4.538, timestamp=1696348800000, transactions=1104, otc=None)
Agg(open=4.525, high=4.53, low=4.485, close=4.495, volume=683714, vwap=4.5086, timestamp=1696352400000, transactions=1675, otc=None)
Agg(open=4.495, high=4.5, low=4.445, close=4.485, volume=1466246.0, vwap=4.4637, timestamp=1696356000000, transactions=1923, otc=None)
