Agg(open=22.28, high=22.35, low=22.1, close=22.3, volume=4766, vwap=22.1724, timestamp=1675069200000, transactions=88, otc=None)
Agg(open=22.11, high=22.11, low=22.06, close=22.06, volume=1873, vwap=22.0855, timestamp=1675072800000, transactions=34, otc=None)
Agg(open=22.12, high=22.14, low=22.01, close=22.14, volume=3506, vwap=22.0741, timestamp=1675076400000, transactions=57, otc=None)
Agg(open=22.14, high=22.2, low=22.12, close=22.2, volume=8316, vwap=22.1625, timestamp=1675080000000, transactions=124, otc=None)
Agg(open=22.0949, high=22.39, low=22.0415, close=22.27, volume=15081, vwap=22.2562, timestamp=1675083600000, transactions=258, otc=None)
Agg(open=22.3002, high=23.06, low=21.9, close=22.61, volume=1223126.0, vwap=22.5933, timestamp=1675087200000, transactions=12038, otc=None)
Agg(open=22.62, high=23.48, low=22.01, close=22.25, volume=1261125.0, vwap=22.7716, timestamp=1675090800000, transactions=13294, otc=None)
Agg(open=22.27, high=22.4, low=21.83, close=21.97, volume=445472, vwap=22.1083, timestamp=1675094400000, transactions=5177, otc=None)
Agg(open=21.96, high=22.035, low=21.7404, close=21.97, volume=381475, vwap=21.912, timestamp=1675098000000, transactions=4472, otc=None)
Agg(open=21.95, high=22.1, low=21.42, close=21.5946, volume=538259, vwap=21.7525, timestamp=1675101600000, transactions=5421, otc=None)
Agg(open=21.57, high=21.7, low=21.3428, close=21.41, volume=347280, vwap=21.4784, timestamp=1675105200000, transactions=4041, otc=None)
Agg(open=21.41, high=21.45, low=21.13, close=21.27, volume=622792, vwap=21.2772, timestamp=1675108800000, transactions=7707, otc=None)
Agg(open=21.25, high=21.47, low=21.22, close=21.4, volume=21006, vwap=21.3032, timestamp=1675112400000, transactions=48, otc=None)
Agg(open=21.3, high=21.36, low=21.3, close=21.36, volume=2052, vwap=21.3141, timestamp=1675116000000, transactions=32, otc=None)
Agg(open=21.3599, high=21.36, low=21.26, close=21.28, volume=2808, vwap=21.3297, timestamp=1675119600000, transactions=14, otc=None)
Agg(open=21.28, high=21.28, low=21.27, close=21.27, volume=468, vwap=21.2779, timestamp=1675123200000, transactions=8, otc=None)
Agg(open=21.27, high=21.27, low=21, close=21.2, volume=4299, vwap=21.0736, timestamp=1675155600000, transactions=64, otc=None)
Agg(open=21.23, high=21.23, low=21.16, close=21.16, volume=509, vwap=21.1921, timestamp=1675159200000, transactions=4, otc=None)
Agg(open=21.2, high=21.2, low=21, close=21, volume=1426, vwap=21.1128, timestamp=1675162800000, transactions=48, otc=None)
Agg(open=20.98, high=21.05, low=20.89, close=21.05, volume=2350, vwap=20.9879, timestamp=1675166400000, transactions=64, otc=None)
Agg(open=21, high=21.25, low=20.88, close=21.25, volume=7879, vwap=21.101, timestamp=1675170000000, transactions=100, otc=None)
Agg(open=21.33, high=21.95, low=21.3, close=21.53, volume=405510, vwap=21.6918, timestamp=1675173600000, transactions=4651, otc=None)
Agg(open=21.59, high=22.05, low=21.37, close=21.84, volume=392526, vwap=21.7822, timestamp=1675177200000, transactions=4641, otc=None)
