Agg(open=10.76, high=10.8043, low=10.53, close=10.67, volume=132521, vwap=10.6859, timestamp=1689598800000, transactions=943, otc=None)
Agg(open=10.68, high=10.79, low=10.64, close=10.7408, volume=136383, vwap=10.6977, timestamp=1689602400000, transactions=1464, otc=None)
Agg(open=10.74, high=10.79, low=10.73, close=10.77, volume=91526, vwap=10.7715, timestamp=1689606000000, transactions=996, otc=None)
Agg(open=10.77, high=10.81, low=10.67, close=10.695, volume=108215, vwap=10.7572, timestamp=1689609600000, transactions=1055, otc=None)
Agg(open=10.69, high=10.75, low=10.68, close=10.74, volume=91790, vwap=10.7181, timestamp=1689613200000, transactions=1096, otc=None)
Agg(open=10.74, high=10.85, low=10.74, close=10.85, volume=122717, vwap=10.8041, timestamp=1689616800000, transactions=1427, otc=None)
Agg(open=10.85, high=10.89, low=10.825, close=10.89, volume=280493, vwap=10.8635, timestamp=1689620400000, transactions=2560, otc=None)
Agg(open=10.89, high=10.89, low=10.82, close=10.82, volume=111819, vwap=10.8899, timestamp=1689624000000, transactions=10, otc=None)
Agg(open=10.89, high=10.9, low=10.89, close=10.9, volume=1100, vwap=10.8991, timestamp=1689627600000, transactions=2, otc=None)
Agg(open=10.94, high=11.105, low=10.94, close=11.045, volume=149552, vwap=11.0302, timestamp=1689685200000, transactions=1293, otc=None)
Agg(open=11.05, high=11.11, low=11.015, close=11.05, volume=274307, vwap=11.0553, timestamp=1689688800000, transactions=2281, otc=None)
Agg(open=11.05, high=11.07, low=10.87, close=10.95, volume=147979, vwap=10.9917, timestamp=1689692400000, transactions=1450, otc=None)
Agg(open=10.945, high=10.989, low=10.92, close=10.945, volume=108336, vwap=10.9513, timestamp=1689696000000, transactions=1124, otc=None)
Agg(open=10.95, high=10.96, low=10.86, close=10.865, volume=136907, vwap=10.9079, timestamp=1689699600000, transactions=1388, otc=None)
Agg(open=10.862, high=10.96, low=10.862, close=10.94, volume=136413, vwap=10.9176, timestamp=1689703200000, transactions=1398, otc=None)
Agg(open=10.93, high=10.96, low=10.9, close=10.95, volume=336123, vwap=10.937, timestamp=1689706800000, transactions=2982, otc=None)
Agg(open=10.95, high=10.95, low=10.95, close=10.95, volume=21025, vwap=10.95, timestamp=1689710400000, transactions=9, otc=None)
Agg(open=10.94, high=10.94, low=10.94, close=10.94, volume=211, vwap=10.94, timestamp=1689768000000, transactions=3, otc=None)
Agg(open=10.99, high=11.155, low=10.99, close=11.09, volume=110324, vwap=11.0779, timestamp=1689771600000, transactions=982, otc=None)
Agg(open=11.1, high=11.19, low=11.09, close=11.1201, volume=120809, vwap=11.1428, timestamp=1689775200000, transactions=1530, otc=None)
Agg(open=11.1211, high=11.13, low=11.065, close=11.105, volume=129504, vwap=11.0945, timestamp=1689778800000, transactions=1380, otc=None)
Agg(open=11.11, high=11.19, low=11.035, close=11.185, volume=204146, vwap=11.0846, timestamp=1689782400000, transactions=1687, otc=None)
Agg(open=11.185, high=11.2, low=11.12, close=11.17, volume=229684, vwap=11.1709, timestamp=1689786000000, transactions=1329, otc=None)
Agg(open=11.17, high=11.215, low=11.105, close=11.19, volume=203097, vwap=11.1678, timestamp=1689789600000, transactions=2345, otc=None)
Agg(open=11.195, high=11.21, low=11.13, close=11.19, volume=413456, vwap=11.1775, timestamp=1689793200000, transactions=4144, otc=None)
Agg(open=11.19, high=11.19, low=11.19, close=11.19, volume=8634, vwap=11.19, timestamp=1689796800000, transactions=7, otc=None)
Agg(open=11.25, high=11.25, low=11.25, close=11.25, volume=190, vwap=11.25, timestamp=1689800400000, transactions=1, otc=None)
Agg(open=11.14, high=11.14, low=10.85, close=10.85, volume=4997, vwap=11.0284, timestamp=1689804000000, transactions=20, otc=None)
Agg(open=11.05, high=11.05, low=11.05, close=11.05, volume=976, vwap=11.05, timestamp=1689807600000, transactions=1, otc=None)
Agg(open=11.15, high=11.15, low=11.15, close=11.15, volume=100, vwap=11.15, timestamp=1689854400000, transactions=1, otc=None)
Agg(open=11.15, high=11.21, low=10.92, close=11.07, volume=134162, vwap=11.0396, timestamp=1689858000000, transactions=1203, otc=None)
Agg(open=11.07, high=11.17, low=11.01, close=11.17, volume=233774, vwap=11.1072, timestamp=1689861600000, transactions=2379, otc=None)
Agg(open=11.17, high=11.23, low=11.1, close=11.23, volume=89410, vwap=11.1595, timestamp=1689865200000, transactions=1158, otc=None)
Agg(open=11.23, high=11.3, low=11.21, close=11.215, volume=171299, vwap=11.2438, timestamp=1689868800000, transactions=1974, otc=None)
Agg(open=11.21, high=11.215, low=11.13, close=11.205, volume=112931, vwap=11.1755, timestamp=1689872400000, transactions=1361, otc=None)
Agg(open=11.21, high=11.2175, low=11.1712, close=11.195, volume=131904, vwap=11.194, timestamp=1689876000000, transactions=1624, otc=None)
Agg(open=11.2, high=11.245, low=11.175, close=11.23, volume=310515, vwap=11.2178, timestamp=1689879600000, transactions=3141, otc=None)
Agg(open=11.22, high=11.22, low=11.15, close=11.15, volume=12814, vwap=11.2156, timestamp=1689883200000, transactions=8, otc=None)
Agg(open=11.19, high=11.19, low=11.19, close=11.19, volume=200, vwap=11.19, timestamp=1689890400000, transactions=2, otc=None)
Agg(open=11.3, high=11.37, low=11.005, close=11.075, volume=130985, vwap=11.1663, timestamp=1689944400000, transactions=1038, otc=None)
Agg(open=11.075, high=11.18, low=11.04, close=11.142, volume=126110, vwap=11.1125, timestamp=1689948000000, transactions=1536, otc=None)
Agg(open=11.14, high=11.18, low=11.11, close=11.16, volume=123981, vwap=11.1371, timestamp=1689951600000, transactions=1493, otc=None)
Agg(open=11.16, high=11.19, low=11.105, close=11.125, volume=62699, vwap=11.1506, timestamp=1689955200000, transactions=1025, otc=None)
Agg(open=11.129, high=11.165, low=11.115, close=11.135, volume=60303, vwap=11.1351, timestamp=1689958800000, transactions=874, otc=None)
Agg(open=11.135, high=11.155, low=11.12, close=11.14, volume=69491, vwap=11.1378, timestamp=1689962400000, transactions=990, otc=None)
Agg(open=11.145, high=11.1462, low=11.05, close=11.09, volume=238999, vwap=11.0896, timestamp=1689966000000, transactions=2531, otc=None)
