Agg(open=6.26, high=6.26, low=6.26, close=6.26, volume=161, vwap=6.2599, timestamp=1677492000000, transactions=2, otc=None)
Agg(open=6.22, high=6.38, low=6.22, close=6.38, volume=404476, vwap=6.3189, timestamp=1677506400000, transactions=1368, otc=None)
Agg(open=6.375, high=6.39, low=6.285, close=6.285, volume=290910, vwap=6.3397, timestamp=1677510000000, transactions=1396, otc=None)
Agg(open=6.285, high=6.3, low=6.25, close=6.275, volume=269517, vwap=6.2735, timestamp=1677513600000, transactions=1340, otc=None)
Agg(open=6.275, high=6.29, low=6.26, close=6.265, volume=161272, vwap=6.2775, timestamp=1677517200000, transactions=1033, otc=None)
Agg(open=6.265, high=6.3, low=6.2601, close=6.3, volume=143165, vwap=6.2807, timestamp=1677520800000, transactions=1167, otc=None)
Agg(open=6.295, high=6.3, low=6.28, close=6.285, volume=186117, vwap=6.2906, timestamp=1677524400000, transactions=1334, otc=None)
Agg(open=6.29, high=6.29, low=6.23, close=6.235, volume=651460, vwap=6.2542, timestamp=1677528000000, transactions=2999, otc=None)
Agg(open=6.24, high=6.24, low=6.24, close=6.24, volume=247066, vwap=6.24, timestamp=1677531600000, transactions=11, otc=None)
Agg(open=6.3176, high=6.3176, low=6.3176, close=6.3176, volume=760, vwap=6.3176, timestamp=1677535200000, transactions=1, otc=None)
Agg(open=6.23, high=6.23, low=6.23, close=6.23, volume=200, vwap=6.23, timestamp=1677585600000, transactions=1, otc=None)
Agg(open=6.22, high=6.32, low=6.22, close=6.31, volume=189647, vwap=6.2635, timestamp=1677592800000, transactions=917, otc=None)
Agg(open=6.305, high=6.35, low=6.28, close=6.3095, volume=398587, vwap=6.3026, timestamp=1677596400000, transactions=2237, otc=None)
Agg(open=6.31, high=6.32, low=6.27, close=6.27, volume=210490, vwap=6.3027, timestamp=1677600000000, transactions=1377, otc=None)
Agg(open=6.27, high=6.29, low=6.26, close=6.285, volume=259393, vwap=6.2759, timestamp=1677603600000, transactions=1628, otc=None)
Agg(open=6.285, high=6.29, low=6.26, close=6.26, volume=177698, vwap=6.2754, timestamp=1677607200000, transactions=1037, otc=None)
