Agg(open=1.05, high=1.05, low=1.05, close=1.05, volume=100, vwap=1.05, timestamp=1679299200000, transactions=1, otc=None)
Agg(open=1.12, high=1.13, low=1.12, close=1.13, volume=348, vwap=1.1259, timestamp=1679306400000, transactions=6, otc=None)
Agg(open=1.12, high=1.12, low=1.12, close=1.12, volume=160, vwap=1.12, timestamp=1679310000000, transactions=2, otc=None)
Agg(open=1.1007, high=1.14, low=1.1, close=1.12, volume=3329, vwap=1.1192, timestamp=1679313600000, transactions=24, otc=None)
Agg(open=1.14, high=1.15, low=1.07, close=1.075, volume=429358, vwap=1.1005, timestamp=1679317200000, transactions=1253, otc=None)
Agg(open=1.08, high=1.09, low=1.07, close=1.075, volume=486625, vwap=1.079, timestamp=1679320800000, transactions=1636, otc=None)
Agg(open=1.075, high=1.085, low=1.06, close=1.0699, volume=428729, vwap=1.0723, timestamp=1679324400000, transactions=1298, otc=None)
Agg(open=1.06, high=1.07, low=1.05, close=1.05, volume=440278, vwap=1.0577, timestamp=1679328000000, transactions=1296, otc=None)
Agg(open=1.055, high=1.06, low=1.05, close=1.05, volume=212002, vwap=1.0543, timestamp=1679331600000, transactions=1209, otc=None)
Agg(open=1.05, high=1.06, low=1.03, close=1.04, volume=664966, vwap=1.0434, timestamp=1679335200000, transactions=2095, otc=None)
Agg(open=1.04, high=1.06, low=1.02, close=1.05, volume=1117903.0, vwap=1.038, timestamp=1679338800000, transactions=3444, otc=None)
Agg(open=1.05, high=1.06, low=1.0499, close=1.0499, volume=21498, vwap=1.0521, timestamp=1679342400000, transactions=26, otc=None)
Agg(open=1.05, high=1.06, low=1.05, close=1.06, volume=2212, vwap=1.0537, timestamp=1679346000000, transactions=8, otc=None)
Agg(open=1.06, high=1.06, low=1.06, close=1.06, volume=5620, vwap=1.06, timestamp=1679349600000, transactions=7, otc=None)
Agg(open=1.06, high=1.06, low=1.04, close=1.04, volume=2120, vwap=1.05, timestamp=1679353200000, transactions=5, otc=None)
Agg(open=1.05, high=1.05, low=1.05, close=1.05, volume=3234, vwap=1.05, timestamp=1679392800000, transactions=5, otc=None)
Agg(open=1.07, high=1.07, low=1.05, close=1.05, volume=5421, vwap=1.0515, timestamp=1679396400000, transactions=12, otc=None)
Agg(open=1.04, high=1.07, low=1.04, close=1.07, volume=6210, vwap=1.0644, timestamp=1679400000000, transactions=23, otc=None)
Agg(open=1.07, high=1.07, low=1.06, close=1.065, volume=122485, vwap=1.0652, timestamp=1679403600000, transactions=463, otc=None)
Agg(open=1.0601, high=1.08, low=1.05, close=1.065, volume=415643, vwap=1.064, timestamp=1679407200000, transactions=1152, otc=None)
Agg(open=1.065, high=1.08, low=1.06, close=1.08, volume=233856, vwap=1.0727, timestamp=1679410800000, transactions=664, otc=None)
Agg(open=1.075, high=1.08, low=1.07, close=1.08, volume=99533, vwap=1.0732, timestamp=1679414400000, transactions=487, otc=None)
Agg(open=1.075, high=1.08, low=1.07, close=1.08, volume=91449, vwap=1.0743, timestamp=1679418000000, transactions=405, otc=None)
Agg(open=1.075, high=1.08, low=1.07, close=1.075, volume=299999, vwap=1.0774, timestamp=1679421600000, transactions=1181, otc=None)
Agg(open=1.07, high=1.08, low=1.07, close=1.08, volume=207168, vwap=1.0731, timestamp=1679425200000, transactions=987, otc=None)
Agg(open=1.07, high=1.08, low=1.06, close=1.08, volume=26288, vwap=1.0702, timestamp=1679428800000, transactions=25, otc=None)
Agg(open=1.07, high=1.08, low=1.07, close=1.07, volume=4000, vwap=1.075, timestamp=1679432400000, transactions=3, otc=None)
Agg(open=1.08, high=1.08, low=1.06, close=1.06, volume=1403, vwap=1.0683, timestamp=1679436000000, transactions=6, otc=None)
Agg(open=1.07, high=1.07, low=1.07, close=1.07, volume=958, vwap=1.0699, timestamp=1679439600000, transactions=2, otc=None)
Agg(open=1.08, high=1.09, low=1.06, close=1.08, volume=5520, vwap=1.0795, timestamp=1679486400000, transactions=14, otc=None)
Agg(open=1.07, high=1.08, low=1.04, close=1.045, volume=540635, vwap=1.0488, timestamp=1679490000000, transactions=1134, otc=None)
