Agg(open=10.88, high=10.88, low=10.7, close=10.7, volume=6429, vwap=10.8047, timestamp=1675069200000, transactions=25, otc=None)
Agg(open=10.83, high=10.83, low=10.82, close=10.82, volume=1100, vwap=10.8269, timestamp=1675072800000, transactions=13, otc=None)
Agg(open=10.83, high=10.83, low=10.83, close=10.83, volume=202, vwap=10.8299, timestamp=1675076400000, transactions=4, otc=None)
Agg(open=10.79, high=10.91, low=10.79, close=10.91, volume=7603, vwap=10.8781, timestamp=1675080000000, transactions=62, otc=None)
Agg(open=10.85, high=10.95, low=10.85, close=10.87, volume=24613, vwap=10.8911, timestamp=1675083600000, transactions=66, otc=None)
Agg(open=10.87, high=10.87, low=10.62, close=10.665, volume=1323778.0, vwap=10.7101, timestamp=1675087200000, transactions=7902, otc=None)
Agg(open=10.66, high=10.81, low=10.645, close=10.71, volume=989019, vwap=10.714, timestamp=1675090800000, transactions=6387, otc=None)
Agg(open=10.71, high=10.855, low=10.705, close=10.785, volume=784463, vwap=10.7763, timestamp=1675094400000, transactions=4006, otc=None)
Agg(open=10.78, high=10.8075, low=10.741, close=10.78, volume=250835, vwap=10.7786, timestamp=1675098000000, transactions=2244, otc=None)
Agg(open=10.7775, high=10.83, low=10.73, close=10.77, volume=480525, vwap=10.7649, timestamp=1675101600000, transactions=3482, otc=None)
Agg(open=10.77, high=10.78, low=10.705, close=10.74, volume=409969, vwap=10.7446, timestamp=1675105200000, transactions=2793, otc=None)
Agg(open=10.735, high=10.76, low=10.68, close=10.685, volume=1386541.0, vwap=10.7243, timestamp=1675108800000, transactions=8227, otc=None)
Agg(open=10.68, high=10.7, low=10.68, close=10.7, volume=103130, vwap=10.6802, timestamp=1675112400000, transactions=31, otc=None)
Agg(open=10.71, high=10.71, low=10.69, close=10.7, volume=3100, vwap=10.7075, timestamp=1675116000000, transactions=7, otc=None)
Agg(open=10.69, high=10.69, low=10.69, close=10.69, volume=500, vwap=10.69, timestamp=1675119600000, transactions=1, otc=None)
Agg(open=10.7, high=10.7, low=10.69, close=10.69, volume=2120, vwap=10.6924, timestamp=1675123200000, transactions=10, otc=None)
Agg(open=10.7, high=10.7, low=10.7, close=10.7, volume=124, vwap=10.6998, timestamp=1675166400000, transactions=2, otc=None)
Agg(open=10.76, high=10.83, low=10.66, close=10.79, volume=515036, vwap=10.7612, timestamp=1675173600000, transactions=3239, otc=None)
Agg(open=10.79, high=11.08, low=10.78, close=11.08, volume=527350, vwap=10.9194, timestamp=1675177200000, transactions=4094, otc=None)
Agg(open=11.08, high=11.2, low=11.075, close=11.1699, volume=596057, vwap=11.1405, timestamp=1675180800000, transactions=3940, otc=None)
Agg(open=11.16, high=11.205, low=11.1408, close=11.19, volume=308110, vwap=11.173, timestamp=1675184400000, transactions=2375, otc=None)
Agg(open=11.185, high=11.215, low=11.13, close=11.165, volume=307663, vwap=11.1729, timestamp=1675188000000, transactions=2519, otc=None)
Agg(open=11.17, high=11.25, low=11.1392, close=11.23, volume=648935, vwap=11.19, timestamp=1675191600000, transactions=3800, otc=None)
Agg(open=11.24, high=11.27, low=11.19, close=11.24, volume=1427340.0, vwap=11.2318, timestamp=1675195200000, transactions=8238, otc=None)
Agg(open=11.25, high=11.27, low=11.19, close=11.19, volume=100792, vwap=11.2491, timestamp=1675198800000, transactions=48, otc=None)
Agg(open=11.22, high=11.22, low=11.22, close=11.22, volume=101, vwap=11.22, timestamp=1675249200000, transactions=2, otc=None)
Agg(open=11.25, high=11.26, low=11.1806, close=11.1806, volume=5692, vwap=11.2118, timestamp=1675256400000, transactions=20, otc=None)
Agg(open=11.2, high=11.39, low=11.2, close=11.3, volume=187634, vwap=11.3, timestamp=1675260000000, transactions=1959, otc=None)
Agg(open=11.3, high=11.44, low=11.25, close=11.355, volume=334840, vwap=11.3715, timestamp=1675263600000, transactions=3927, otc=None)
Agg(open=11.357, high=11.43, low=11.3, close=11.315, volume=231470, vwap=11.3862, timestamp=1675267200000, transactions=3040, otc=None)
Agg(open=11.31, high=11.3299, low=11.27, close=11.3025, volume=198381, vwap=11.3056, timestamp=1675270800000, transactions=2393, otc=None)
Agg(open=11.3, high=11.32, low=11.26, close=11.305, volume=288492, vwap=11.2918, timestamp=1675274400000, transactions=3191, otc=None)
Agg(open=11.305, high=11.51, low=11.235, close=11.475, volume=796082, vwap=11.3844, timestamp=1675278000000, transactions=7304, otc=None)
Agg(open=11.48, high=11.61, low=11.47, close=11.51, volume=1531967.0, vwap=11.5202, timestamp=1675281600000, transactions=13137, otc=None)
Agg(open=11.51, high=11.51, low=11.4812, close=11.51, volume=91408, vwap=11.5097, timestamp=1675285200000, transactions=35, otc=None)
Agg(open=11.52, high=11.53, low=11.52, close=11.53, volume=1062, vwap=11.5291, timestamp=1675288800000, transactions=3, otc=None)
Agg(open=11.55, high=11.56, low=11.55, close=11.56, volume=668, vwap=11.553, timestamp=1675292400000, transactions=2, otc=None)
Agg(open=11.69, high=11.69, low=11.56, close=11.56, volume=298, vwap=11.6464, timestamp=1675296000000, transactions=4, otc=None)
Agg(open=11.68, high=11.68, low=11.68, close=11.68, volume=400, vwap=11.6814, timestamp=1675328400000, transactions=2, otc=None)
Agg(open=11.53, high=11.63, low=11.53, close=11.63, volume=540, vwap=11.587, timestamp=1675339200000, transactions=6, otc=None)
Agg(open=11.62, high=11.62, low=11.62, close=11.62, volume=500, vwap=11.62, timestamp=1675342800000, transactions=1, otc=None)
Agg(open=11.7, high=11.79, low=11.66, close=11.71, volume=473499, vwap=11.7321, timestamp=1675346400000, transactions=2987, otc=None)
Agg(open=11.71, high=12.0201, low=11.68, close=11.96, volume=810550, vwap=11.8372, timestamp=1675350000000, transactions=6116, otc=None)
Agg(open=11.96, high=12.04, low=11.68, close=11.7999, volume=1173242.0, vwap=11.8626, timestamp=1675353600000, transactions=7949, otc=None)
