Agg(open=11, high=11, low=11, close=11, volume=177, vwap=11, timestamp=1680523200000, transactions=1, otc=None)
Agg(open=10.99, high=11.065, low=10.98, close=11, volume=159257, vwap=11.0268, timestamp=1680526800000, transactions=1710, otc=None)
Agg(open=11.01, high=11.055, low=10.895, close=10.9, volume=466342, vwap=10.9591, timestamp=1680530400000, transactions=3616, otc=None)
Agg(open=10.9, high=10.915, low=10.82, close=10.865, volume=329992, vwap=10.8694, timestamp=1680534000000, transactions=3213, otc=None)
Agg(open=10.87, high=10.9, low=10.85, close=10.86, volume=165761, vwap=10.8688, timestamp=1680537600000, transactions=2102, otc=None)
Agg(open=10.86, high=10.89, low=10.84, close=10.855, volume=243342, vwap=10.8639, timestamp=1680541200000, transactions=2600, otc=None)
Agg(open=10.85, high=10.885, low=10.845, close=10.875, volume=301812, vwap=10.8627, timestamp=1680544800000, transactions=3472, otc=None)
Agg(open=10.875, high=10.935, low=10.87, close=10.915, volume=911529, vwap=10.9079, timestamp=1680548400000, transactions=6928, otc=None)
Agg(open=10.92, high=10.92, low=10.92, close=10.92, volume=96397, vwap=10.92, timestamp=1680552000000, transactions=26, otc=None)
Agg(open=10.94, high=10.94, low=10.93, close=10.93, volume=1111, vwap=10.939, timestamp=1680555600000, transactions=2, otc=None)
Agg(open=10.98, high=10.98, low=10.98, close=10.98, volume=900, vwap=10.9809, timestamp=1680562800000, transactions=3, otc=None)
Agg(open=10.93, high=10.97, low=10.93, close=10.97, volume=7130, vwap=10.9695, timestamp=1680609600000, transactions=5, otc=None)
Agg(open=10.98, high=10.995, low=10.775, close=10.78, volume=176349, vwap=10.9, timestamp=1680613200000, transactions=1602, otc=None)
Agg(open=10.79, high=10.82, low=10.5, close=10.5, volume=486908, vwap=10.62, timestamp=1680616800000, transactions=3414, otc=None)
Agg(open=10.5, high=10.5, low=10.415, close=10.45, volume=568176, vwap=10.4623, timestamp=1680620400000, transactions=2929, otc=None)
Agg(open=10.45, high=10.505, low=10.39, close=10.45, volume=372939, vwap=10.4515, timestamp=1680624000000, transactions=2632, otc=None)
Agg(open=10.455, high=10.495, low=10.445, close=10.455, volume=205490, vwap=10.4648, timestamp=1680627600000, transactions=1844, otc=None)
Agg(open=10.455, high=10.535, low=10.4501, close=10.5135, volume=304186, vwap=10.4838, timestamp=1680631200000, transactions=1577, otc=None)
Agg(open=10.515, high=10.57, low=10.47, close=10.56, volume=831913, vwap=10.5226, timestamp=1680634800000, transactions=4846, otc=None)
Agg(open=10.55, high=10.55, low=10.55, close=10.55, volume=38613, vwap=10.55, timestamp=1680638400000, transactions=19, otc=None)
Agg(open=10.56, high=10.56, low=10.56, close=10.56, volume=400, vwap=10.56, timestamp=1680649200000, transactions=2, otc=None)
Agg(open=10.56, high=10.56, low=10.56, close=10.56, volume=690, vwap=10.56, timestamp=1680688800000, transactions=6, otc=None)
Agg(open=10.41, high=10.41, low=10.23, close=10.3, volume=463825, vwap=10.2955, timestamp=1680699600000, transactions=3022, otc=None)
Agg(open=10.31, high=10.31, low=10.165, close=10.225, volume=781168, vwap=10.2388, timestamp=1680703200000, transactions=5400, otc=None)
Agg(open=10.22, high=10.32, low=10.185, close=10.3, volume=620186, vwap=10.2523, timestamp=1680706800000, transactions=4244, otc=None)
Agg(open=10.3, high=10.31, low=10.22, close=10.265, volume=250735, vwap=10.2565, timestamp=1680710400000, transactions=2934, otc=None)
Agg(open=10.265, high=10.335, low=10.25, close=10.265, volume=220508, vwap=10.2926, timestamp=1680714000000, transactions=2304, otc=None)
Agg(open=10.26, high=10.315, low=10.225, close=10.245, volume=332283, vwap=10.2594, timestamp=1680717600000, transactions=2802, otc=None)
Agg(open=10.245, high=10.32, low=10.23, close=10.295, volume=762803, vwap=10.285, timestamp=1680721200000, transactions=6077, otc=None)
Agg(open=10.3, high=10.3, low=10.3, close=10.3, volume=55117, vwap=10.3, timestamp=1680724800000, transactions=16, otc=None)
Agg(open=10.29, high=10.29, low=10.29, close=10.29, volume=325, vwap=10.29, timestamp=1680728400000, transactions=1, otc=None)
Agg(open=10.34, high=10.34, low=10.27, close=10.27, volume=2032, vwap=10.2908, timestamp=1680782400000, transactions=4, otc=None)
Agg(open=10.2515, high=10.34, low=10.24, close=10.255, volume=202696, vwap=10.2819, timestamp=1680786000000, transactions=1273, otc=None)
Agg(open=10.255, high=10.37, low=10.245, close=10.31, volume=534266, vwap=10.2884, timestamp=1680789600000, transactions=2789, otc=None)
Agg(open=10.315, high=10.38, low=10.31, close=10.365, volume=183632, vwap=10.3466, timestamp=1680793200000, transactions=2099, otc=None)
Agg(open=10.37, high=10.38, low=10.3, close=10.315, volume=184540, vwap=10.345, timestamp=1680796800000, transactions=1890, otc=None)
Agg(open=10.31, high=10.35, low=10.3, close=10.315, volume=198588, vwap=10.3247, timestamp=1680800400000, transactions=1930, otc=None)
Agg(open=10.31, high=10.345, low=10.3, close=10.3, volume=190074, vwap=10.3233, timestamp=1680804000000, transactions=1980, otc=None)
Agg(open=10.305, high=10.34, low=10.3, close=10.32, volume=546292, vwap=10.3235, timestamp=1680807600000, transactions=4917, otc=None)
Agg(open=10.33, high=10.33, low=10.33, close=10.33, volume=62830, vwap=10.33, timestamp=1680811200000, transactions=20, otc=None)
Agg(open=10.33, high=10.33, low=10.33, close=10.33, volume=300, vwap=10.33, timestamp=1680814800000, transactions=1, otc=None)
