Agg(open=11.58, high=11.655, low=11.51, close=11.64, volume=92980, vwap=11.5761, timestamp=1696251600000, transactions=1208, otc=None)
Agg(open=11.64, high=11.685, low=11.56, close=11.565, volume=182260, vwap=11.6133, timestamp=1696255200000, transactions=2102, otc=None)
Agg(open=11.5625, high=11.635, low=11.55, close=11.585, volume=389961, vwap=11.5649, timestamp=1696258800000, transactions=1712, otc=None)
Agg(open=11.585, high=11.595, low=11.53, close=11.54, volume=158457, vwap=11.572, timestamp=1696262400000, transactions=1822, otc=None)
Agg(open=11.5425, high=11.59, low=11.52, close=11.575, volume=143679, vwap=11.5626, timestamp=1696266000000, transactions=1496, otc=None)
Agg(open=11.575, high=11.575, low=11.475, close=11.485, volume=532541, vwap=11.51, timestamp=1696269600000, transactions=2434, otc=None)
Agg(open=11.49, high=11.49, low=11.4, close=11.46, volume=1083177.0, vwap=11.4354, timestamp=1696273200000, transactions=5400, otc=None)
Agg(open=11.47, high=11.47, low=11.47, close=11.47, volume=18591, vwap=11.47, timestamp=1696276800000, transactions=12, otc=None)
Agg(open=11.39, high=11.485, low=11.36, close=11.465, volume=171815, vwap=11.4504, timestamp=1696338000000, transactions=1625, otc=None)
Agg(open=11.46, high=11.46, low=11.325, close=11.335, volume=271084, vwap=11.3782, timestamp=1696341600000, transactions=2667, otc=None)
Agg(open=11.335, high=11.345, low=11.26, close=11.295, volume=250697, vwap=11.3034, timestamp=1696345200000, transactions=2416, otc=None)
Agg(open=11.295, high=11.38, low=11.295, close=11.365, volume=244008, vwap=11.349, timestamp=1696348800000, transactions=2219, otc=None)
Agg(open=11.365, high=11.41, low=11.365, close=11.39, volume=228245, vwap=11.3906, timestamp=1696352400000, transactions=2125, otc=None)
Agg(open=11.39, high=11.4, low=11.35, close=11.385, volume=214991, vwap=11.382, timestamp=1696356000000, transactions=2085, otc=None)
Agg(open=11.385, high=11.4, low=11.33, close=11.39, volume=1156955.0, vwap=11.3475, timestamp=1696359600000, transactions=4227, otc=None)
Agg(open=11.39, high=11.39, low=11.39, close=11.39, volume=23250, vwap=11.39, timestamp=1696363200000, transactions=18, otc=None)
Agg(open=11.47, high=11.49, low=11.36, close=11.395, volume=133931, vwap=11.4289, timestamp=1696424400000, transactions=1235, otc=None)
Agg(open=11.39, high=11.435, low=11.33, close=11.345, volume=249606, vwap=11.3815, timestamp=1696428000000, transactions=2267, otc=None)
Agg(open=11.35, high=11.5, low=11.345, close=11.495, volume=226337, vwap=11.4205, timestamp=1696431600000, transactions=2028, otc=None)
Agg(open=11.495, high=11.54, low=11.46, close=11.505, volume=218305, vwap=11.5037, timestamp=1696435200000, transactions=2149, otc=None)
Agg(open=11.505, high=11.505, low=11.45, close=11.465, volume=213947, vwap=11.4687, timestamp=1696438800000, transactions=2302, otc=None)
Agg(open=11.465, high=11.525, low=11.46, close=11.495, volume=304824, vwap=11.4873, timestamp=1696442400000, transactions=2609, otc=None)
Agg(open=11.495, high=11.56, low=11.44, close=11.44, volume=763591, vwap=11.4995, timestamp=1696446000000, transactions=5456, otc=None)
Agg(open=11.45, high=11.45, low=11.45, close=11.45, volume=12556, vwap=11.45, timestamp=1696449600000, transactions=17, otc=None)
Agg(open=11.45, high=11.45, low=11.41, close=11.41, volume=4834, vwap=11.4398, timestamp=1696507200000, transactions=15, otc=None)
Agg(open=11.44, high=11.51, low=11.28, close=11.365, volume=114717, vwap=11.3705, timestamp=1696510800000, transactions=1255, otc=None)
Agg(open=11.36, high=11.365, low=11.28, close=11.285, volume=176289, vwap=11.3197, timestamp=1696514400000, transactions=2308, otc=None)
Agg(open=11.285, high=11.295, low=11.235, close=11.235, volume=135126, vwap=11.2643, timestamp=1696518000000, transactions=1519, otc=None)
Agg(open=11.235, high=11.245, low=11.18, close=11.205, volume=127179, vwap=11.2154, timestamp=1696521600000, transactions=1556, otc=None)
Agg(open=11.205, high=11.33, low=11.17, close=11.325, volume=204287, vwap=11.2624, timestamp=1696525200000, transactions=2148, otc=None)
Agg(open=11.33, high=11.37, low=11.3025, close=11.355, volume=226322, vwap=11.3337, timestamp=1696528800000, transactions=2393, otc=None)
Agg(open=11.355, high=11.36, low=11.3, close=11.32, volume=421301, vwap=11.3312, timestamp=1696532400000, transactions=3572, otc=None)
Agg(open=11.32, high=11.32, low=11.32, close=11.32, volume=7146, vwap=11.32, timestamp=1696536000000, transactions=9, otc=None)
Agg(open=11.33, high=11.33, low=11.22, close=11.29, volume=97724, vwap=11.2728, timestamp=1696597200000, transactions=966, otc=None)
Agg(open=11.28, high=11.38, low=11.22, close=11.315, volume=211660, vwap=11.3044, timestamp=1696600800000, transactions=2215, otc=None)
Agg(open=11.315, high=11.4858, low=11.29, close=11.4858, volume=237781, vwap=11.3677, timestamp=1696604400000, transactions=1926, otc=None)
Agg(open=11.49, high=11.49, low=11.39, close=11.4, volume=169856, vwap=11.4251, timestamp=1696608000000, transactions=1754, otc=None)
Agg(open=11.4, high=11.44, low=11.39, close=11.405, volume=214815, vwap=11.4075, timestamp=1696611600000, transactions=1909, otc=None)
Agg(open=11.405, high=11.45, low=11.39, close=11.435, volume=204661, vwap=11.4181, timestamp=1696615200000, transactions=1898, otc=None)
Agg(open=11.435, high=11.45, low=11.36, close=11.36, volume=484799, vwap=11.3965, timestamp=1696618800000, transactions=3807, otc=None)
Agg(open=11.37, high=11.37, low=11.37, close=11.37, volume=7090, vwap=11.37, timestamp=1696622400000, transactions=12, otc=None)
