Agg(open=7.99, high=8.1, low=7.96, close=8.09, volume=20853, vwap=8.0065, timestamp=1684155600000, transactions=246, otc=None)
Agg(open=8.09, high=8.238, low=8.02, close=8.238, volume=64087, vwap=8.1439, timestamp=1684159200000, transactions=719, otc=None)
Agg(open=8.2174, high=8.2174, low=8.145, close=8.17, volume=18472, vwap=8.1722, timestamp=1684162800000, transactions=289, otc=None)
Agg(open=8.17, high=8.19, low=8.15, close=8.16, volume=19368, vwap=8.1706, timestamp=1684166400000, transactions=365, otc=None)
Agg(open=8.16, high=8.17, low=8.14, close=8.15, volume=15564, vwap=8.1523, timestamp=1684170000000, transactions=262, otc=None)
Agg(open=8.15, high=8.16, low=8.09, close=8.1, volume=20359, vwap=8.1234, timestamp=1684173600000, transactions=391, otc=None)
Agg(open=8.1, high=8.11, low=8.061, close=8.1, volume=60431, vwap=8.0921, timestamp=1684177200000, transactions=1071, otc=None)
Agg(open=8.07, high=8.1999, low=8.05, close=8.16, volume=20477, vwap=8.147, timestamp=1684242000000, transactions=87, otc=None)
Agg(open=8.16, high=8.19, low=8.145, close=8.18, volume=31962, vwap=8.1682, timestamp=1684245600000, transactions=402, otc=None)
Agg(open=8.19, high=8.22, low=8.18, close=8.2, volume=22051, vwap=8.2023, timestamp=1684249200000, transactions=333, otc=None)
Agg(open=8.2095, high=8.28, low=8.2, close=8.25, volume=57112, vwap=8.2616, timestamp=1684252800000, transactions=368, otc=None)
Agg(open=8.25, high=8.27, low=8.24, close=8.25, volume=15199, vwap=8.2469, timestamp=1684256400000, transactions=293, otc=None)
Agg(open=8.255, high=8.26, low=8.22, close=8.23, volume=11029, vwap=8.2421, timestamp=1684260000000, transactions=243, otc=None)
Agg(open=8.23, high=8.23, low=8.2, close=8.21, volume=41696, vwap=8.2186, timestamp=1684263600000, transactions=813, otc=None)
Agg(open=8.22, high=8.22, low=8.22, close=8.22, volume=1278, vwap=8.22, timestamp=1684267200000, transactions=5, otc=None)
Agg(open=8.23, high=8.25, low=8.18, close=8.19, volume=16811, vwap=8.2219, timestamp=1684328400000, transactions=124, otc=None)
Agg(open=8.17, high=8.2, low=8.1602, close=8.17, volume=8494, vwap=8.1769, timestamp=1684332000000, transactions=144, otc=None)
Agg(open=8.18, high=8.215, low=8.16, close=8.18, volume=16844, vwap=8.1837, timestamp=1684335600000, transactions=284, otc=None)
Agg(open=8.18, high=8.2, low=8.16, close=8.16, volume=22477, vwap=8.1789, timestamp=1684339200000, transactions=326, otc=None)
Agg(open=8.1948, high=8.1948, low=8.07, close=8.0706, volume=21357, vwap=8.1053, timestamp=1684342800000, transactions=395, otc=None)
Agg(open=8.0608, high=8.13, low=8.06, close=8.1, volume=61400, vwap=8.0998, timestamp=1684346400000, transactions=679, otc=None)
Agg(open=8.105, high=8.14, low=8.04, close=8.1, volume=149603, vwap=8.0844, timestamp=1684350000000, transactions=2221, otc=None)
Agg(open=8.22, high=8.22, low=8.22, close=8.22, volume=200, vwap=8.22, timestamp=1684411200000, transactions=2, otc=None)
Agg(open=8.13, high=8.31, low=8.08, close=8.31, volume=37106, vwap=8.2282, timestamp=1684414800000, transactions=340, otc=None)
Agg(open=8.3, high=8.4227, low=8.29, close=8.39, volume=60081, vwap=8.3749, timestamp=1684418400000, transactions=882, otc=None)
Agg(open=8.395, high=8.395, low=8.37, close=8.37, volume=21676, vwap=8.3831, timestamp=1684422000000, transactions=447, otc=None)
Agg(open=8.36, high=8.395, low=8.29, close=8.3, volume=44956, vwap=8.3522, timestamp=1684425600000, transactions=561, otc=None)
Agg(open=8.3, high=8.32, low=8.26, close=8.3172, volume=32267, vwap=8.2921, timestamp=1684429200000, transactions=509, otc=None)
Agg(open=8.32, high=8.35, low=8.3, close=8.31, volume=69344, vwap=8.3219, timestamp=1684432800000, transactions=808, otc=None)
Agg(open=8.31, high=8.32, low=8.275, close=8.3, volume=68085, vwap=8.2972, timestamp=1684436400000, transactions=1286, otc=None)
Agg(open=8.29, high=8.3, low=8.29, close=8.3, volume=353, vwap=8.2972, timestamp=1684440000000, transactions=4, otc=None)
Agg(open=8.5, high=8.5, low=8.5, close=8.5, volume=100, vwap=8.5, timestamp=1684497600000, transactions=1, otc=None)
Agg(open=8.37, high=8.37, low=8.25, close=8.25, volume=9167, vwap=8.3264, timestamp=1684501200000, transactions=112, otc=None)
Agg(open=8.255, high=8.26, low=8.17, close=8.19, volume=11113, vwap=8.2215, timestamp=1684504800000, transactions=272, otc=None)
Agg(open=8.19, high=8.19, low=8.09, close=8.12, volume=19985, vwap=8.1317, timestamp=1684508400000, transactions=408, otc=None)
Agg(open=8.125, high=8.15, low=8.11, close=8.13, volume=9687, vwap=8.1263, timestamp=1684512000000, transactions=217, otc=None)
Agg(open=8.13, high=8.145, low=8.1, close=8.11, volume=16705, vwap=8.1106, timestamp=1684515600000, transactions=333, otc=None)
Agg(open=8.11, high=8.135, low=8.105, close=8.12, volume=19565, vwap=8.1205, timestamp=1684519200000, transactions=300, otc=None)
Agg(open=8.11, high=8.14, low=8.105, close=8.125, volume=70129, vwap=8.1246, timestamp=1684522800000, transactions=1059, otc=None)
Agg(open=8.13, high=8.13, low=8.13, close=8.13, volume=277, vwap=8.13, timestamp=1684526400000, transactions=5, otc=None)
