Agg(open=7.96, high=8.03, low=7.94, close=8, volume=39478, vwap=7.9764, timestamp=1693227600000, transactions=392, otc=None)
Agg(open=8, high=8, low=7.96, close=7.98, volume=41204, vwap=7.9759, timestamp=1693231200000, transactions=627, otc=None)
Agg(open=7.975, high=7.98, low=7.885, close=7.8943, volume=131776, vwap=7.9428, timestamp=1693234800000, transactions=1182, otc=None)
Agg(open=7.9, high=7.93, low=7.879, close=7.93, volume=40124, vwap=7.9059, timestamp=1693238400000, transactions=897, otc=None)
Agg(open=7.925, high=7.94, low=7.895, close=7.895, volume=61576, vwap=7.909, timestamp=1693242000000, transactions=1079, otc=None)
Agg(open=7.891, high=7.935, low=7.891, close=7.93, volume=78816, vwap=7.9202, timestamp=1693245600000, transactions=1136, otc=None)
Agg(open=7.93, high=7.94, low=7.88, close=7.91, volume=202972, vwap=7.9075, timestamp=1693249200000, transactions=2371, otc=None)
Agg(open=7.92, high=7.92, low=7.92, close=7.92, volume=5203, vwap=7.92, timestamp=1693252800000, transactions=5, otc=None)
Agg(open=7.9, high=7.9, low=7.9, close=7.9, volume=438, vwap=7.9, timestamp=1693310400000, transactions=1, otc=None)
Agg(open=7.91, high=7.935, low=7.81, close=7.825, volume=45061, vwap=7.8644, timestamp=1693314000000, transactions=496, otc=None)
Agg(open=7.83, high=7.83, low=7.7705, close=7.78, volume=80586, vwap=7.8134, timestamp=1693317600000, transactions=1148, otc=None)
Agg(open=7.775, high=7.79, low=7.74, close=7.745, volume=47134, vwap=7.7604, timestamp=1693321200000, transactions=784, otc=None)
Agg(open=7.745, high=7.75, low=7.74, close=7.745, volume=59174, vwap=7.7481, timestamp=1693324800000, transactions=1252, otc=None)
Agg(open=7.745, high=7.75, low=7.69, close=7.71, volume=79127, vwap=7.7177, timestamp=1693328400000, transactions=942, otc=None)
Agg(open=7.685, high=7.71, low=7.585, close=7.59, volume=215045, vwap=7.6504, timestamp=1693332000000, transactions=1562, otc=None)
Agg(open=7.595, high=7.61, low=7.51, close=7.56, volume=350284, vwap=7.5521, timestamp=1693335600000, transactions=3665, otc=None)
Agg(open=7.56, high=7.56, low=7.56, close=7.56, volume=5110, vwap=7.56, timestamp=1693339200000, transactions=1, otc=None)
Agg(open=7.62, high=7.62, low=7.62, close=7.62, volume=128, vwap=7.62, timestamp=1693393200000, transactions=1, otc=None)
Agg(open=7.53, high=7.695, low=7.53, close=7.6073, volume=112129, vwap=7.6144, timestamp=1693400400000, transactions=863, otc=None)
Agg(open=7.61, high=7.67, low=7.5993, close=7.64, volume=102125, vwap=7.6377, timestamp=1693404000000, transactions=1288, otc=None)
Agg(open=7.63, high=7.67, low=7.63, close=7.635, volume=41284, vwap=7.6584, timestamp=1693407600000, transactions=724, otc=None)
