Agg(open=7.93, high=8, low=7.93, close=7.94, volume=36865, vwap=7.9582, timestamp=1695042000000, transactions=327, otc=None)
Agg(open=7.94, high=7.97, low=7.93, close=7.97, volume=88431, vwap=7.9466, timestamp=1695045600000, transactions=699, otc=None)
Agg(open=7.965, high=7.99, low=7.965, close=7.985, volume=53877, vwap=7.9796, timestamp=1695049200000, transactions=728, otc=None)
Agg(open=7.985, high=7.99, low=7.96, close=7.965, volume=61935, vwap=7.9672, timestamp=1695052800000, transactions=702, otc=None)
Agg(open=7.96, high=7.97, low=7.945, close=7.9501, volume=54211, vwap=7.9553, timestamp=1695056400000, transactions=649, otc=None)
Agg(open=7.95, high=7.9679, low=7.94, close=7.95, volume=57524, vwap=7.9552, timestamp=1695060000000, transactions=661, otc=None)
Agg(open=7.955, high=8, low=7.95, close=7.965, volume=240184, vwap=7.9662, timestamp=1695063600000, transactions=2562, otc=None)
Agg(open=7.97, high=7.97, low=7.97, close=7.97, volume=7983, vwap=7.97, timestamp=1695067200000, transactions=5, otc=None)
Agg(open=7.96, high=7.99, low=7.94, close=7.955, volume=44565, vwap=7.9579, timestamp=1695128400000, transactions=313, otc=None)
Agg(open=7.955, high=7.97, low=7.935, close=7.95, volume=102585, vwap=7.9486, timestamp=1695132000000, transactions=1092, otc=None)
Agg(open=7.955, high=7.98, low=7.95, close=7.965, volume=47511, vwap=7.9651, timestamp=1695135600000, transactions=584, otc=None)
Agg(open=7.965, high=7.965, low=7.94, close=7.94, volume=43610, vwap=7.9476, timestamp=1695139200000, transactions=689, otc=None)
Agg(open=7.94, high=7.96, low=7.94, close=7.955, volume=90755, vwap=7.9469, timestamp=1695142800000, transactions=871, otc=None)
Agg(open=7.97, high=7.975, low=7.94, close=7.94, volume=81062, vwap=7.9502, timestamp=1695146400000, transactions=856, otc=None)
Agg(open=7.95, high=7.99, low=7.94, close=7.99, volume=271151, vwap=7.9597, timestamp=1695150000000, transactions=2812, otc=None)
Agg(open=7.99, high=7.99, low=7.99, close=7.99, volume=289229, vwap=7.99, timestamp=1695153600000, transactions=7, otc=None)
Agg(open=7.98, high=7.995, low=7.955, close=7.99, volume=55106, vwap=7.9871, timestamp=1695214800000, transactions=463, otc=None)
Agg(open=7.99, high=7.99, low=7.95, close=7.98, volume=86499, vwap=7.975, timestamp=1695218400000, transactions=751, otc=None)
Agg(open=7.985, high=8.03, low=7.97, close=7.995, volume=96019, vwap=7.9961, timestamp=1695222000000, transactions=910, otc=None)
Agg(open=8, high=8.015, low=7.99, close=7.99, volume=71448, vwap=7.9967, timestamp=1695225600000, transactions=642, otc=None)
Agg(open=7.995, high=8, low=7.98, close=7.985, volume=16615, vwap=7.9899, timestamp=1695229200000, transactions=270, otc=None)
Agg(open=7.98, high=8.01, low=7.98, close=7.98, volume=79063, vwap=7.9885, timestamp=1695232800000, transactions=870, otc=None)
Agg(open=7.99, high=7.99, low=7.98, close=7.99, volume=184003, vwap=7.9835, timestamp=1695236400000, transactions=2033, otc=None)
Agg(open=7.98, high=7.98, low=7.98, close=7.98, volume=5811, vwap=7.98, timestamp=1695240000000, transactions=10, otc=None)
Agg(open=7.97, high=7.97, low=7.8631, close=7.915, volume=88352, vwap=7.9299, timestamp=1695301200000, transactions=522, otc=None)
Agg(open=7.915, high=7.92, low=7.9, close=7.91, volume=101018, vwap=7.9083, timestamp=1695304800000, transactions=806, otc=None)
Agg(open=7.91, high=7.915, low=7.88, close=7.895, volume=102583, vwap=7.895, timestamp=1695308400000, transactions=784, otc=None)
Agg(open=7.895, high=7.895, low=7.78, close=7.78, volume=85555, vwap=7.8435, timestamp=1695312000000, transactions=799, otc=None)
Agg(open=7.78, high=7.785, low=7.742, close=7.77, volume=62439, vwap=7.7634, timestamp=1695315600000, transactions=738, otc=None)
Agg(open=7.7725, high=7.775, low=7.7, close=7.71, volume=53515, vwap=7.7469, timestamp=1695319200000, transactions=945, otc=None)
Agg(open=7.715, high=7.72, low=7.63, close=7.64, volume=226021, vwap=7.6795, timestamp=1695322800000, transactions=2659, otc=None)
Agg(open=7.64, high=7.64, low=7.64, close=7.64, volume=5309, vwap=7.64, timestamp=1695326400000, transactions=9, otc=None)
Agg(open=7.82, high=7.82, low=7.82, close=7.82, volume=167, vwap=7.824, timestamp=1695380400000, transactions=2, otc=None)
Agg(open=7.65, high=7.69, low=7.59, close=7.615, volume=34236, vwap=7.646, timestamp=1695387600000, transactions=295, otc=None)
Agg(open=7.61, high=7.71, low=7.585, close=7.69, volume=142340, vwap=7.6471, timestamp=1695391200000, transactions=1131, otc=None)
Agg(open=7.7, high=7.74, low=7.671, close=7.675, volume=140729, vwap=7.7115, timestamp=1695394800000, transactions=938, otc=None)
Agg(open=7.67, high=7.73, low=7.665, close=7.7, volume=143890, vwap=7.7016, timestamp=1695398400000, transactions=748, otc=None)
Agg(open=7.695, high=7.7, low=7.65, close=7.65, volume=48745, vwap=7.6706, timestamp=1695402000000, transactions=649, otc=None)
Agg(open=7.655, high=7.66, low=7.63, close=7.645, volume=73532, vwap=7.6482, timestamp=1695405600000, transactions=620, otc=None)
Agg(open=7.645, high=7.65, low=7.58, close=7.58, volume=180520, vwap=7.6188, timestamp=1695409200000, transactions=1719, otc=None)
Agg(open=7.59, high=7.59, low=7.59, close=7.59, volume=6505, vwap=7.59, timestamp=1695412800000, transactions=9, otc=None)
