Agg(open=10.96, high=11.095, low=10.96, close=11.05, volume=47837, vwap=11.0349, timestamp=1681736400000, transactions=484, otc=None)
Agg(open=11.06, high=11.175, low=11.04, close=11.07, volume=117519, vwap=11.1087, timestamp=1681740000000, transactions=1678, otc=None)
Agg(open=11.08, high=11.12, low=11.06, close=11.105, volume=113631, vwap=11.0921, timestamp=1681743600000, transactions=1357, otc=None)
Agg(open=11.11, high=11.11, low=11.07, close=11.095, volume=85988, vwap=11.0925, timestamp=1681747200000, transactions=1196, otc=None)
Agg(open=11.095, high=11.11, low=11.04, close=11.045, volume=79562, vwap=11.084, timestamp=1681750800000, transactions=1190, otc=None)
Agg(open=11.045, high=11.12, low=11.04, close=11.11, volume=73533, vwap=11.0681, timestamp=1681754400000, transactions=1336, otc=None)
Agg(open=11.12, high=11.17, low=11.11, close=11.14, volume=237894, vwap=11.1393, timestamp=1681758000000, transactions=2911, otc=None)
Agg(open=11.14, high=11.14, low=11.14, close=11.14, volume=22909, vwap=11.14, timestamp=1681761600000, transactions=7, otc=None)
Agg(open=11.18, high=11.275, low=11.16, close=11.215, volume=55057, vwap=11.2267, timestamp=1681822800000, transactions=750, otc=None)
Agg(open=11.215, high=11.355, low=11.2, close=11.245, volume=329924, vwap=11.2889, timestamp=1681826400000, transactions=3155, otc=None)
Agg(open=11.24, high=11.245, low=11.17, close=11.185, volume=150568, vwap=11.2093, timestamp=1681830000000, transactions=1463, otc=None)
Agg(open=11.19, high=11.27, low=11.19, close=11.255, volume=231445, vwap=11.238, timestamp=1681833600000, transactions=1694, otc=None)
Agg(open=11.25, high=11.295, low=11.2475, close=11.275, volume=248078, vwap=11.2719, timestamp=1681837200000, transactions=1845, otc=None)
Agg(open=11.28, high=11.28, low=11.2, close=11.255, volume=137974, vwap=11.2354, timestamp=1681840800000, transactions=1649, otc=None)
Agg(open=11.26, high=11.27, low=11.19, close=11.24, volume=486992, vwap=11.2294, timestamp=1681844400000, transactions=3871, otc=None)
Agg(open=11.23, high=11.23, low=11.23, close=11.23, volume=9327, vwap=11.23, timestamp=1681848000000, transactions=4, otc=None)
Agg(open=11.14, high=11.2, low=11.125, close=11.14, volume=76037, vwap=11.1495, timestamp=1681909200000, transactions=716, otc=None)
Agg(open=11.14, high=11.16, low=11.085, close=11.145, volume=153657, vwap=11.1131, timestamp=1681912800000, transactions=1553, otc=None)
Agg(open=11.145, high=11.18, low=11.1, close=11.18, volume=75860, vwap=11.1273, timestamp=1681916400000, transactions=1191, otc=None)
Agg(open=11.175, high=11.25, low=11.175, close=11.245, volume=48327, vwap=11.2188, timestamp=1681920000000, transactions=915, otc=None)
Agg(open=11.245, high=11.26, low=11.225, close=11.245, volume=54285, vwap=11.2393, timestamp=1681923600000, transactions=997, otc=None)
Agg(open=11.25, high=11.26, low=11.225, close=11.25, volume=85030, vwap=11.2382, timestamp=1681927200000, transactions=1188, otc=None)
Agg(open=11.25, high=11.25, low=11.12, close=11.15, volume=373040, vwap=11.1769, timestamp=1681930800000, transactions=3350, otc=None)
Agg(open=11.15, high=11.15, low=11.15, close=11.15, volume=11973, vwap=11.15, timestamp=1681934400000, transactions=16, otc=None)
Agg(open=10.9, high=10.9, low=10.9, close=10.9, volume=2025, vwap=10.8999, timestamp=1681988400000, transactions=6, otc=None)
Agg(open=11.02, high=11.03, low=10.845, close=11.01, volume=142480, vwap=10.948, timestamp=1681995600000, transactions=988, otc=None)
Agg(open=11.01, high=11.15, low=11.01, close=11.12, volume=116577, vwap=11.0777, timestamp=1681999200000, transactions=1248, otc=None)
Agg(open=11.115, high=11.15, low=11.07, close=11.095, volume=155203, vwap=11.1086, timestamp=1682002800000, transactions=1494, otc=None)
Agg(open=11.09, high=11.1, low=11.07, close=11.085, volume=81312, vwap=11.0914, timestamp=1682006400000, transactions=880, otc=None)
Agg(open=11.0825, high=11.17, low=11.0825, close=11.16, volume=90076, vwap=11.1253, timestamp=1682010000000, transactions=1064, otc=None)
Agg(open=11.155, high=11.16, low=11.115, close=11.14, volume=118531, vwap=11.1371, timestamp=1682013600000, transactions=1325, otc=None)
Agg(open=11.14, high=11.19, low=11.11, close=11.18, volume=346964, vwap=11.1521, timestamp=1682017200000, transactions=3128, otc=None)
Agg(open=11.18, high=11.18, low=11.18, close=11.18, volume=17350, vwap=11.18, timestamp=1682020800000, transactions=13, otc=None)
Agg(open=11.27, high=11.32, low=11.21, close=11.265, volume=56358, vwap=11.2478, timestamp=1682082000000, transactions=539, otc=None)
Agg(open=11.26, high=11.325, low=11.245, close=11.265, volume=158377, vwap=11.282, timestamp=1682085600000, transactions=1620, otc=None)
Agg(open=11.265, high=11.45, low=11.26, close=11.445, volume=165530, vwap=11.3863, timestamp=1682089200000, transactions=1798, otc=None)
Agg(open=11.44, high=11.46, low=11.39, close=11.4, volume=85306, vwap=11.4152, timestamp=1682092800000, transactions=1114, otc=None)
Agg(open=11.405, high=11.47, low=11.37, close=11.47, volume=74686, vwap=11.4184, timestamp=1682096400000, transactions=1024, otc=None)
Agg(open=11.47, high=11.605, low=11.47, close=11.595, volume=367470, vwap=11.5674, timestamp=1682100000000, transactions=2650, otc=None)
Agg(open=11.595, high=11.68, low=11.58, close=11.63, volume=665341, vwap=11.6413, timestamp=1682103600000, transactions=5497, otc=None)
Agg(open=11.63, high=11.63, low=11.63, close=11.63, volume=10163, vwap=11.63, timestamp=1682107200000, transactions=10, otc=None)
